Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;65115;35715;15097;15;30;15;0;3;0;3;9599,999999999998;230400,0;50000;290000,0;3488;523200;813200,0;0;"
"
2;64276;15752;4063;15;15;15;0;1;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1469;220350;318350,0;0;-
3;51088;39595;13651;45;0;15;0;4;0;4;28799,999999999996;0;50000;78800,0;3842;576300;655100,0;0;-
4;64316;17154;4767;15;30;0;0;2;0;2;9599,999999999998;230400,0;0;240000,0;1612;241800;481800,0;0;-
5;57918;23686;7114;30;15;30;0;3;0;3;19199,999999999996;192000;50000;261200,0;2258;338700;599900,0;0;-
6;57728;18995;6780;30;30;15;0;3;0;3;19199,999999999996;230400,0;50000;299600,0;1813;271950;571550,0;0;-
7;70816;16776;5091;0;15;15;0;1;0;1;0;192000;50000;242000;1598;239700;481700;0;-
8;64344;15612;3999;15;15;30;0;2;0;2;9599,999999999998;192000;50000;251600,0;1460;219000;470600,0;0;-
9;64801;17894;5348;15;0;30;0;2;0;2;9599,999999999998;0;50000;59600,0;1707;256050;315650,0;0; 
10;65053;18593;5540;15;15;30;0;1;1;2;9599,999999999998;38399,99999999999;50000;98000,0;1772;265800;363800,0;0;E
11;64454;23983;7163;15;0;30;1;2;0;3;9599,999999999998;0;50000;59600,0;2291;343650;403250,0;0;p
12;51331;24020;7928;45;30;15;3;0;0;3;28799,999999999996;76799,99999999999;50000;155600,0;2300;345000;500600,0;0;o
13;71173;17841;5336;0;15;30;2;0;0;2;0;192000;50000;242000;1697;254550;496550;0;c
14;56896;59584;23534;30;0;30;3;2;0;5;19199,999999999996;0;50000;69200,0;5859;878850;948050,0;0;h
15;57477;15925;4326;30;30;15;2;0;0;2;19199,999999999996;76799,99999999999;50000;146000,0;1484;222600;368600,0;0;s
16;64522;17782;5176;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1686;252900;312500,0;0;:
17;64409;17353;4621;15;15;15;0;0;1;1;9599,999999999998;38399,99999999999;50000;98000,0;1627;244050;342050,0;0; 
18;64604;18878;6625;15;30;0;2;0;0;2;9599,999999999998;230400,0;0;240000,0;1798;269700;509700,0;0;2
19;63994;16825;4330;15;15;15;1;0;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1575;236250;334250,0;0;0
20;71301;17940;6235;0;30;15;2;0;0;2;0;384000;50000;434000;1712;256800;690800;0;0
21;71362;13939;4101;0;15;15;0;1;0;1;0;192000;50000;242000;1312;196800;438800;0;,
22;64552;17997;5047;15;15;0;2;0;0;2;9599,999999999998;38399,99999999999;0;47999,99999999999;1689;253350;301350,0;0; 
23;57702;18608;5409;30;15;0;1;0;1;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1756;263400;321000,0;0;S
24;64570;14377;3756;15;15;15;1;0;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1335;200250;298250,0;0;t
25;58251;25278;8393;30;30;15;2;0;1;3;19199,999999999996;230400,0;50000;299600,0;2430;364500;664100,0;0;a
26;64377;24252;7190;15;0;30;1;0;2;3;9599,999999999998;0;50000;59600,0;2318;347700;407300,0;0;r
27;72006;30962;11850;0;30;15;2;1;0;3;0;384000;50000;434000;3012;451800;885800;0;t
28;71301;18357;6517;0;15;15;2;0;0;2;0;192000;50000;242000;1758;263700;505700;0;i
29;63956;16916;4693;15;15;0;0;0;2;2;9599,999999999998;38399,99999999999;0;47999,99999999999;1584;237600;285600,0;0;n
30;70530;17953;5443;0;0;30;2;0;0;2;0;0;50000;50000;1706;255900;305900;0;g
31;57865;17235;4613;30;15;0;1;0;1;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1613;241950;299550,0;0; 
32;70679;16245;4633;0;15;15;1;0;0;1;0;192000;50000;242000;1550;232500;474500;0;E
33;57814;16950;4537;30;15;0;1;0;1;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1588;238200;295800,0;0;p
34;55197;48452;19462;34;34;4;2;3;1;6;21599,999999999996;240000,0;50000;311600,0;4914;737100;1048700,0;0;s
35;64696;16584;5175;15;0;15;1;0;1;2;9599,999999999998;0;50000;59600,0;1566;234900;294500,0;0;i
36;71573;18461;5656;0;0;30;0;0;2;2;0;0;50000;50000;1761;264150;314150;0;l
37;70860;17969;5348;0;0;30;0;0;2;2;0;0;50000;50000;1707;256050;306050;0;o
38;70765;21409;7192;0;30;15;1;1;0;2;0;384000;50000;434000;2054;308100;742100;0;n
39;58204;23908;7053;30;15;15;2;0;0;2;19199,999999999996;38399,99999999999;50000;107600,0;2285;342750;450350,0;0;:
40;71040;16815;5049;0;15;15;1;0;0;1;0;192000;50000;242000;1597;239550;481550;0; 
41;64460;24495;7231;15;30;15;2;1;0;3;9599,999999999998;384000;50000;443600,0;2345;351750;795350,0;0;0
42;70450;18728;5593;0;0;30;0;0;2;2;0;0;50000;50000;1792;268800;318800;0;,
43;64498;29190;10753;15;15;15;1;1;0;2;9599,999999999998;38399,99999999999;50000;98000,0;2822;423300;521300,0;0;2
44;70885;17950;5551;0;0;30;0;0;2;2;0;0;50000;50000;1710;256500;306500;0; 
45;58001;23243;6719;30;15;15;2;0;0;2;19199,999999999996;38399,99999999999;50000;107600,0;2210;331500;439100,0;0;-
46;64569;18625;5617;15;0;15;1;0;1;2;9599,999999999998;0;50000;59600,0;1771;265650;325250,0;0;-
47;64382;17425;4646;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1636;245400;305000,0;0;-
48;64871;17618;5303;15;15;15;1;0;1;2;9599,999999999998;38399,99999999999;50000;98000,0;1673;250950;348950,0;0;-
49;70905;16729;4959;0;15;15;1;0;0;1;0;192000;50000;242000;1590;238500;480500;0;-
50;64159;16862;4280;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1584;237600;297200,0;0;-
51;45238;31274;10034;60;30;15;2;2;1;5;38399,99999999999;76799,99999999999;50000;165200,0;3014;452100;617300,0;0;-
52;64149;17241;4499;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1617;242550;302150,0;0;-
53;70629;17211;5208;0;0;30;2;0;0;2;0;0;50000;50000;1630;244500;294500;0;-
54;63902;16706;4181;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1562;234300;293900,0;0;-
55;57869;17429;4733;30;15;0;2;0;0;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1640;246000;303600,0;0;-
56;64452;18041;4981;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1696;254400;314000,0;0;-
57;63976;17708;5069;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1685;252750;312350,0;0;-
58;64347;16525;4109;15;15;30;1;0;1;2;9599,999999999998;192000;50000;251600,0;1551;232650;484250,0;0;-
59;71097;17520;5211;0;0;30;0;0;2;2;0;0;50000;50000;1665;249750;299750;0;-
60;70909;18163;5465;0;15;30;1;0;1;2;0;192000;50000;242000;1730;259500;501500;0;-
61;64560;16225;4518;15;15;0;1;0;1;2;9599,999999999998;38399,99999999999;0;47999,99999999999;1518;227700;275700,0;0;-
62;51626;30341;9993;45;0;30;3;0;1;4;28799,999999999996;0;50000;78800,0;2920;438000;516800,0;0;-
63;63981;16769;4522;15;30;0;2;0;0;2;9599,999999999998;230400,0;0;240000,0;1571;235650;475650,0;0;-
64;64324;16574;4407;15;15;0;1;0;1;2;9599,999999999998;38399,99999999999;0;47999,99999999999;1547;232050;280050,0;0;-
65;60332;49443;19992;19;34;4;0;3;3;6;11999,999999999998;240000,0;50000;302000,0;4858;728700;1030700,0;0;-
66;57780;15354;4055;30;0;30;1;1;0;2;19199,999999999996;0;50000;69200,0;1430;214500;283700,0;0;-
67;64389;17951;5352;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1713;256950;316550,0;0;-
68;70995;18616;5579;0;0;30;0;0;2;2;0;0;50000;50000;1778;266700;316700;0;-
69;52333;38144;13564;45;30;15;2;2;0;4;28799,999999999996;76799,99999999999;50000;155600,0;3716;557400;713000,0;0;-
70;42170;48606;19921;64;15;4;0;4;2;6;40799,99999999999;38399,99999999999;50000;129199,99999999999;4757;713550;842750,0;0;-
71;64303;15638;4039;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1463;219450;279050,0;0;-
72;64075;17806;5257;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1697;254550;314150,0;0;-
73;64452;18050;5529;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1720;258000;317600,0;0;-
74;70824;17314;5200;0;0;30;0;0;2;2;0;0;50000;50000;1641;246150;296150;0;-
75;64835;21174;7296;15;15;30;1;1;1;3;9599,999999999998;192000;50000;251600,0;2022;303300;554900,0;0;-
76;64185;13834;3596;15;15;15;0;1;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1274;191100;289100,0;0;-
77;63987;43538;15837;15;30;30;3;1;0;4;9599,999999999998;384000;50000;443600,0;4256;638400;1082000,0;0;-
78;64158;18013;5283;15;0;15;1;0;1;2;9599,999999999998;0;50000;59600,0;1715;257250;316850,0;0;-
79;58346;27203;9214;30;15;15;1;0;2;3;19199,999999999996;192000;50000;261200,0;2629;394350;655550,0;0;-
80;64941;16315;4068;15;15;15;1;0;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1524;228600;326600,0;0;-
81;70812;17456;5178;0;0;30;1;0;1;2;0;0;50000;50000;1655;248250;298250;0;-
82;64423;16842;5089;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1601;240150;299750,0;0;-
83;64665;18149;5398;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1732;259800;319400,0;0;-
84;64406;17464;5269;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1665;249750;309350,0;0;-
85;70858;16414;4845;0;15;15;2;0;0;2;0;192000;50000;242000;1555;233250;475250;0;-
86;64422;18248;5330;15;0;15;1;0;1;2;9599,999999999998;0;50000;59600,0;1736;260400;320000,0;0;-
87;64829;17814;5546;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1690;253500;313100,0;0;-
88;70958;17949;5318;0;15;15;1;0;1;2;0;192000;50000;242000;1706;255900;497900;0;-
