Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64296;17281;4762;15;30;0;0;2;0;2;9599,999999999998;144000,0;0;153600,0;1622;243300;396900,0;0;"
"
2;64137;17074;4426;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1596;239400;299000,0;0;-
3;51689;32734;10629;45;30;15;0;4;0;4;28799,999999999996;144000,0;50000;222800,0;3159;473850;696650,0;0;-
4;64815;19629;6513;15;30;15;0;2;0;2;9599,999999999998;144000,0;50000;203600,0;1876;281400;485000,0;0;-
5;71525;33220;12344;0;0;30;0;3;0;3;0;0;50000;50000;3245;486750;536750;0;-
6;64271;16734;4506;15;15;15;0;1;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1568;235200;318800,0;0;-
7;70916;17166;5232;0;0;15;0;2;0;2;0;0;50000;50000;1632;244800;294800;0;-
8;71005;15458;4810;0;15;15;0;1;0;1;0;120000;50000;170000;1459;218850;388850;0;-
9;58034;24479;7449;30;0;30;1;2;0;3;19199,999999999996;0;50000;69200,0;2341;351150;420350,0;0; 
10;57916;16768;4611;30;15;15;0;1;1;2;19199,999999999996;23999,999999999996;50000;93200,0;1568;235200;328400,0;0;E
11;64647;16880;4389;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1581;237150;296750,0;0;p
12;64689;17151;4481;15;15;30;1;1;0;2;9599,999999999998;120000;50000;179600,0;1608;241200;420800,0;0;o
13;64650;17491;5119;15;15;30;0;1;1;2;9599,999999999998;23999,999999999996;50000;83600,0;1665;249750;333350,0;0;c
14;70826;17794;5628;0;15;15;1;0;0;1;0;120000;50000;170000;1696;254400;424400;0;h
15;65277;50268;19737;15;30;15;1;3;0;4;9599,999999999998;144000,0;50000;203600,0;4916;737400;941000,0;0;s
16;64566;16317;4218;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1531;229650;313250,0;0;:
17;64755;16178;4170;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1514;227100;286700,0;0; 
18;70764;18246;5595;0;0;15;1;0;1;2;0;0;50000;50000;1742;261300;311300;0;2
19;63950;18078;4913;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1703;255450;315050,0;0;0
20;64415;19539;6488;15;15;15;2;0;0;2;9599,999999999998;120000;50000;179600,0;1866;279900;459500,0;0;0
21;57635;29860;10601;30;15;15;0;1;2;3;19199,999999999996;23999,999999999996;50000;93200,0;2870;430500;523700,0;0;,
22;57985;18675;5320;30;15;15;2;0;0;2;19199,999999999996;23999,999999999996;50000;93200,0;1758;263700;356900,0;0; 
23;57729;16719;4675;30;30;15;2;0;0;2;19199,999999999996;47999,99999999999;50000;117200,0;1567;235050;352250,0;0;S
24;64528;14789;3865;15;15;15;0;1;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1374;206100;289700,0;0;t
25;64374;17385;5836;15;30;0;2;0;0;2;9599,999999999998;144000,0;0;153600,0;1650;247500;401100,0;0;a
26;57784;15006;4265;30;30;15;1;1;0;2;19199,999999999996;47999,99999999999;50000;117200,0;1398;209700;326900,0;0;r
27;64008;16997;4289;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1596;239400;299000,0;0;t
28;71181;17465;5278;0;0;30;1;0;1;2;0;0;50000;50000;1659;248850;298850;0;i
29;63794;16290;4181;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1526;228900;312500,0;0;n
30;71605;22063;7332;0;15;15;1;0;1;2;0;120000;50000;170000;2123;318450;488450;0;g
31;57615;21579;7463;30;30;15;2;0;1;3;19199,999999999996;144000,0;50000;213200,0;2074;311100;524300,0;0; 
32;64537;18002;4728;15;15;15;2;0;0;2;9599,999999999998;120000;50000;179600,0;1696;254400;434000,0;0;E
33;64474;16912;4597;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1589;238350;321950,0;0;p
34;52100;41226;15706;45;15;15;2;2;0;4;28799,999999999996;23999,999999999996;50000;102800,0;4021;603150;705950,0;0;s
35;64125;16649;4437;15;15;0;0;0;1;1;9599,999999999998;23999,999999999996;0;33599,99999999999;1558;233700;267300,0;0;i
36;71151;16683;4946;0;0;30;1;0;1;2;0;0;50000;50000;1584;237600;287600;0;l
37;57715;18293;5055;30;15;15;2;0;0;2;19199,999999999996;23999,999999999996;50000;93200,0;1718;257700;350900,0;0;o
38;64548;30636;11623;15;30;0;2;1;0;3;9599,999999999998;144000,0;0;153600,0;2970;445500;599100,0;0;n
