Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64728;16484;4001;15;15;15;0;1;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1542;231300;329300,0;0;"
"
2;70960;18878;5760;0;15;15;0;2;0;2;0;192000;50000;242000;1807;271050;513050;0;-
3;58237;49072;18420;30;0;15;0;4;0;4;19199,999999999996;0;50000;69200,0;4817;722550;791750,0;0;-
4;51616;23310;6986;45;15;30;0;3;0;3;28799,999999999996;38399,99999999999;50000;117200,0;2218;332700;449900,0;0;-
5;71146;16371;4952;0;15;15;0;1;0;1;0;192000;50000;242000;1552;232800;474800;0;-
6;57717;16996;4320;30;15;15;0;2;0;2;19199,999999999996;38399,99999999999;50000;107600,0;1600;240000;347600,0;0;-
7;70538;20198;6772;0;30;15;0;2;0;2;0;384000;50000;434000;1933;289950;723950;0;-
8;65030;16040;4521;15;15;15;0;2;0;2;9599,999999999998;38399,99999999999;50000;98000,0;1499;224850;322850,0;0;-
9;64199;16850;4381;15;15;0;1;1;0;2;9599,999999999998;38399,99999999999;0;47999,99999999999;1582;237300;285300,0;0; 
10;64594;18313;4998;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1728;259200;318800,0;0;E
11;72015;30522;12196;0;0;30;0;3;0;3;0;0;50000;50000;2969;445350;495350;0;p
12;64526;16906;4211;15;15;15;1;0;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1582;237300;335300,0;0;o
13;64787;18314;7024;15;30;15;0;2;0;2;9599,999999999998;230400,0;50000;290000,0;1736;260400;550400,0;0;c
14;64563;17869;4814;15;15;15;1;0;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1678;251700;349700,0;0;h
15;70851;17747;5336;0;15;30;1;1;0;2;0;192000;50000;242000;1694;254100;496100;0;s
16;63977;17505;4722;15;0;30;1;1;0;2;9599,999999999998;0;50000;59600,0;1664;249600;309200,0;0;:
17;64539;16922;4640;15;15;15;1;0;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1587;238050;336050,0;0; 
18;65061;27112;9632;15;15;30;1;2;1;4;9599,999999999998;192000;50000;251600,0;2608;391200;642800,0;0;2
19;57914;17761;4543;30;0;30;2;0;0;2;19199,999999999996;0;50000;69200,0;1669;250350;319550,0;0;0
20;64347;16982;4084;15;0;15;1;0;1;2;9599,999999999998;0;50000;59600,0;1592;238800;298400,0;0;0
21;64307;16003;4193;15;15;15;1;0;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1497;224550;322550,0;0;,
22;71079;17257;5024;0;15;15;1;0;0;1;0;192000;50000;242000;1642;246300;488300;0; 
23;57846;16073;4365;30;15;0;0;0;2;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1495;224250;281850,0;0;S
24;71735;17793;5331;0;15;15;2;0;0;2;0;192000;50000;242000;1695;254250;496250;0;t
25;51616;34547;11670;45;30;30;3;2;0;5;28799,999999999996;384000;50000;462800,0;3346;501900;964700,0;0;a
