Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;70698;21493;7333;0;30;15;0;2;0;2;0;288000;50000;338000;2063;309450;647450;0;"
"
2;70854;16565;5036;0;15;15;0;1;0;1;0;144000;50000;194000;1573;235950;429950;0;-
3;58402;39172;14336;30;0;15;0;4;0;4;19199,999999999996;0;50000;69200,0;3820;573000;642200,0;0;-
4;64548;17185;4485;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1608;241200;300800,0;0;-
5;58151;22213;6524;30;15;15;0;2;0;2;19199,999999999996;28799,999999999996;50000;98000,0;2114;317100;415100,0;0;-
6;57703;17595;4792;30;15;0;0;2;0;2;19199,999999999996;28799,999999999996;0;47999,99999999999;1654;248100;296100,0;0;-
7;64576;17598;5230;15;15;30;0;2;0;2;9599,999999999998;28799,999999999996;50000;88400,0;1678;251700;340100,0;0;-
8;64405;16171;4314;15;15;15;0;1;0;1;9599,999999999998;28799,999999999996;50000;88400,0;1513;226950;315350,0;0;-
9;64634;17258;4526;15;0;30;1;1;0;2;9599,999999999998;0;50000;59600,0;1619;242850;302450,0;0; 
10;64286;16787;4333;15;15;15;1;0;0;1;9599,999999999998;28799,999999999996;50000;88400,0;1575;236250;324650,0;0;E
11;63887;18700;5110;15;30;15;1;1;0;2;9599,999999999998;172800,0;50000;232400,0;1759;263850;496250,0;0;p
12;64465;18048;5314;15;0;30;1;1;0;2;9599,999999999998;0;50000;59600,0;1722;258300;317900,0;0;o
13;65018;24234;7398;15;15;30;0;2;1;3;9599,999999999998;144000;50000;203600,0;2325;348750;552350,0;0;c
14;71341;16557;5011;0;15;15;1;0;0;1;0;144000;50000;194000;1572;235800;429800;0;h
15;57672;32844;12555;30;45;0;1;3;0;4;19199,999999999996;201600,0;0;220800,0;3195;479250;700050,0;0;s
