Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;51532;30911;9855;45;15;15;0;4;0;4;28799,999999999996;24000;50000;102800,0;2976;446400;549200,0;0;"
"
2;64745;14501;4750;15;30;15;0;2;0;2;9599,999999999998;28800,0;50000;88400,0;1366;204900;293300,0;0;-
3;71158;20952;7072;0;30;15;0;2;0;2;0;48000;50000;98000;2010;301500;399500;0;-
4;64543;16985;4369;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1593;238950;298550,0;0;-
5;64499;17845;4662;15;15;15;0;1;0;1;9599,999999999998;4799,999999999999;50000;64400,0;1680;252000;316400,0;0;-
6;64137;17893;5003;15;15;15;0;2;0;2;9599,999999999998;4799,999999999999;50000;64400,0;1678;251700;316100,0;0;-
7;64803;31553;11544;15;0;30;0;3;0;3;9599,999999999998;0;50000;59600,0;3069;460350;519950,0;0;-
8;64729;16603;4937;15;15;30;0;2;0;2;9599,999999999998;4799,999999999999;50000;64400,0;1574;236100;300500,0;0;-
9;64204;18111;5377;15;0;30;0;2;0;2;9599,999999999998;0;50000;59600,0;1728;259200;318800,0;0; 
10;69824;38221;14677;0;45;30;1;3;0;4;0;72000;50000;122000;3745;561750;683750;0;E
11;64791;23960;8062;15;15;30;2;1;0;3;9599,999999999998;24000;50000;83600,0;2313;346950;430550,0;0;p
12;64391;17779;4725;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1670;250500;310100,0;0;o
13;57654;16276;4353;30;30;15;0;1;1;2;19199,999999999996;9599,999999999998;50000;78800,0;1520;228000;306800,0;0;c
14;71428;16601;5084;0;15;15;1;0;0;1;0;24000;50000;74000;1570;235500;309500;0;h
15;64104;17433;4524;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1643;246450;306050,0;0;s
16;64219;15287;3893;15;15;15;0;0;1;1;9599,999999999998;4799,999999999999;50000;64400,0;1419;212850;277250,0;0;:
17;64356;17447;4726;15;30;0;2;0;0;2;9599,999999999998;28800,0;0;38400,0;1636;245400;283800,0;0; 
18;70628;17823;5961;0;15;15;2;0;0;2;0;24000;50000;74000;1697;254550;328550;0;2
19;70670;21024;7009;0;30;15;2;0;0;2;0;48000;50000;98000;2021;303150;401150;0;0
20;71082;18890;6507;0;15;15;2;0;0;2;0;24000;50000;74000;1803;270450;344450;0;0
21;57628;17034;4425;30;0;30;2;0;0;2;19199,999999999996;0;50000;69200,0;1597;239550;308750,0;0;,
22;57730;17165;4818;30;30;0;2;0;0;2;19199,999999999996;9599,999999999998;0;28799,999999999996;1607;241050;269850,0;0; 
23;64153;16750;4397;15;15;15;1;0;1;2;9599,999999999998;4799,999999999999;50000;64400,0;1563;234450;298850,0;0;S
24;71370;18082;5495;0;0;30;2;0;0;2;0;0;50000;50000;1720;258000;308000;0;t
25;71030;17807;5909;0;15;15;2;0;0;2;0;24000;50000;74000;1695;254250;328250;0;a
26;51249;22559;7732;45;45;15;1;1;2;4;28799,999999999996;33600,0;50000;112400,0;2145;321750;434150,0;0;r
27;64316;14817;3770;15;0;30;0;1;1;2;9599,999999999998;0;50000;59600,0;1375;206250;265850,0;0;t
28;64801;28294;10715;15;15;15;1;1;0;2;9599,999999999998;4799,999999999999;50000;64400,0;2735;410250;474650,0;0;i
29;64104;27337;8863;15;0;30;2;1;0;3;9599,999999999998;0;50000;59600,0;2628;394200;453800,0;0;n
30;64373;17298;4471;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1621;243150;302750,0;0;g
31;65324;32769;12195;15;15;30;2;1;0;3;9599,999999999998;4799,999999999999;50000;64400,0;3197;479550;543950,0;0; 
32;64508;17724;4741;15;15;15;1;0;0;1;9599,999999999998;4799,999999999999;50000;64400,0;1665;249750;314150,0;0;E
33;70867;17075;4936;0;15;15;1;0;0;1;0;24000;50000;74000;1623;243450;317450;0;p
34;71079;13677;4418;0;15;15;0;1;0;1;0;24000;50000;74000;1282;192300;266300;0;s
35;71376;17271;6129;0;45;0;1;0;2;3;0;72000;0;72000;1645;246750;318750;0;i
