Epoch id,t,Attendance,Contagion,Present contagion,New infections,New infections cost,Recovered,Revenues,Capacity,A1,A1 cost,A2,A2 cost,A3,A3 cost,Random action,Random action on zero,Random on max,Total A costs,Total costs
1,1,999,61,32,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0
1,2,572,110,10,10,1500,0,0,1500,0,0,0,0,0,0,0,0,0,0,1500
1,3,671,110,4,4,600,0,0,1500,0,0,0,0,0,0,0,0,0,0,600
1,4,755,143,16,32,4800,0,0,1500,0,0,0,0,0,0,0,0,0,0,4800
1,5,785,219,36,84,12600,0,0,1500,0,0,0,0,0,0,0,0,0,0,12600
1,6,703,370,67,168,25200,0,0,1500,0,0,0,0,0,0,0,0,0,0,25200
1,7,755,600,126,255,38250,0,0,1500,0,0,0,0,0,0,0,0,0,0,38250
1,8,689,838,153,260,39000,0,0,1500,0,0,0,0,0,0,0,0,0,0,39000
1,9,643,1213,198,405,60750,0,0,1500,0,0,0,0,0,0,0,0,0,0,60750
1,10,324,1177,225,38,5700,0,0,1500,0,0,0,0,0,0,0,0,0,0,5700
1,11,288,1275,214,28,4200,100,0,1500,0,0,0,0,0,0,0,0,0,0,4200
1,12,354,1299,263,31,4650,0,0,1500,0,0,0,0,0,0,0,0,0,0,4650
1,13,470,1348,399,59,8850,10,0,1500,0,0,0,0,0,0,0,0,0,0,8850
1,14,597,1358,523,44,6600,4,0,1500,0,0,0,0,0,0,0,0,0,0,6600
1,15,711,1309,613,24,3600,32,0,1500,0,0,0,0,0,0,0,0,0,0,3600
1,16,759,1190,601,22,3300,84,0,1500,0,0,0,0,0,0,0,1,0,0,3300
1,17,300,1033,206,2,300,168,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1499.9999999999998
1,18,300,767,157,6,900,255,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,2100.0
1,19,300,495,93,6,900,260,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,2100.0
1,20,300,247,74,3,450,405,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1649.9999999999998
1,21,300,213,65,3,450,38,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1649.9999999999998
1,22,300,176,63,2,300,28,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1499.9999999999998
1,23,300,139,46,1,150,31,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1349.9999999999998
1,24,300,90,36,0,0,59,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1199.9999999999998
1,25,300,60,18,0,0,44,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1199.9999999999998
1,26,300,37,16,0,0,24,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1199.9999999999998
1,27,300,21,10,0,0,22,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1199.9999999999998
1,28,300,19,11,0,0,2,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1199.9999999999998
1,29,300,10,4,0,0,6,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1199.9999999999998
1,30,300,8,4,0,0,6,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1199.9999999999998
1,31,300,4,2,0,0,3,0,299.99999999999994,1,599.9999999999999,1,599.9999999999999,0,0,0,0,0,1199.9999999999998,1199.9999999999998
1,32,300,2,2,0,0,3,0,299.99999999999994,0,599.9999999999999,0,599.9999999999999,0,0,0,1,0,1199.9999999999998,1199.9999999999998
1,33,300,1,1,0,0,2,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,34,300,0,0,0,0,1,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,35,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,36,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,37,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,38,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,39,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,40,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,41,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,42,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,43,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,44,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
1,45,300,0,0,0,0,0,0,299.99999999999994,1,599.9999999999999,0,0,0,0,0,0,0,599.9999999999999,599.9999999999999
