Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;71088;20839;7267;0;15;15;0;2;0;2;0;120000;50000;170000;2002;300300;470300;0;"
"
2;64581;16690;4289;15;15;15;0;1;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1567;235050;318650,0;0;-
3;64965;23521;7131;15;15;15;0;2;0;2;9599,999999999998;120000;50000;179600,0;2242;336300;515900,0;0;-
4;71293;15867;4856;0;15;15;0;1;0;1;0;120000;50000;170000;1500;225000;395000;0;-
5;57862;16182;4637;30;30;15;0;3;0;3;19199,999999999996;144000,0;50000;213200,0;1512;226800;440000,0;0;-
6;64692;18957;5805;15;0;30;0;2;0;2;9599,999999999998;0;50000;59600,0;1816;272400;332000,0;0;-
7;51484;56129;21350;45;30;15;0;5;0;5;28799,999999999996;47999,99999999999;50000;126800,0;5512;826800;953600,0;0;-
8;64124;18582;5038;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1752;262800;322400,0;0;-
9;57844;17532;4839;30;30;0;1;1;0;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1650;247500;314700,0;0; 
10;64910;17675;5430;15;15;30;1;1;0;2;9599,999999999998;23999,999999999996;50000;83600,0;1685;252750;336350,0;0;E
11;64143;16715;4169;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1563;234450;294050,0;0;p
12;64122;17537;4586;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1650;247500;331100,0;0;o
13;64497;17369;4533;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1638;245700;305300,0;0;c
14;71640;29109;11964;0;15;30;1;2;0;3;0;120000;50000;170000;2829;424350;594350;0;h
15;58030;16872;4721;30;30;15;1;1;0;2;19199,999999999996;47999,99999999999;50000;117200,0;1577;236550;353750,0;0;s
16;70834;16969;5136;0;15;15;1;0;0;1;0;120000;50000;170000;1612;241800;411800;0;:
17;64618;16194;4458;15;15;15;2;0;0;2;9599,999999999998;23999,999999999996;50000;83600,0;1516;227400;311000,0;0; 
18;70834;18152;5563;0;0;30;0;1;1;2;0;0;50000;50000;1731;259650;309650;0;2
19;58019;25372;8085;30;30;0;2;0;1;3;19199,999999999996;144000,0;0;163200,0;2428;364200;527400,0;0;0
20;64467;18008;4778;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1695;254250;313850,0;0;0
21;58062;23535;6949;30;0;30;2;0;1;3;19199,999999999996;0;50000;69200,0;2235;335250;404450,0;0;,
22;57957;17461;4729;30;30;15;1;0;1;2;19199,999999999996;47999,99999999999;50000;117200,0;1635;245250;362450,0;0; 
23;64611;17332;5375;15;0;15;1;0;1;2;9599,999999999998;0;50000;59600,0;1649;247350;306950,0;0;S
24;71273;16347;4941;0;15;15;1;0;0;1;0;120000;50000;170000;1550;232500;402500;0;t
25;70231;16483;4950;0;15;15;1;0;0;1;0;120000;50000;170000;1560;234000;404000;0;a
26;64626;17153;5150;15;30;15;2;0;0;2;9599,999999999998;144000,0;50000;203600,0;1632;244800;448400,0;0;r
27;64725;15112;3884;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1410;211500;271100,0;0;t
28;57666;58146;25133;30;15;15;2;3;0;5;19199,999999999996;23999,999999999996;50000;93200,0;5719;857850;951050,0;0;i
29;51780;50365;17145;45;15;15;2;2;0;4;28799,999999999996;23999,999999999996;50000;102800,0;4909;736350;839150,0;0;n
30;64599;17371;5242;15;15;30;2;0;0;2;9599,999999999998;23999,999999999996;50000;83600,0;1648;247200;330800,0;0;g
31;70886;17225;5162;0;15;30;2;0;0;2;0;120000;50000;170000;1636;245400;415400;0; 
32;57503;16629;4448;30;30;15;2;0;0;2;19199,999999999996;47999,99999999999;50000;117200,0;1555;233250;350450,0;0;E
33;64693;16432;4242;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1540;231000;290600,0;0;p
34;63957;17103;4293;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1601;240150;299750,0;0;s
35;57814;17459;4768;30;30;0;2;0;0;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1638;245700;312900,0;0;i
36;57898;17364;4754;30;15;0;1;0;1;2;19199,999999999996;23999,999999999996;0;43199,99999999999;1633;244950;288150,0;0;l
37;56347;51542;20509;34;45;4;2;3;1;6;21599,999999999996;264000,0;50000;335600,0;5166;774900;1110500,0;0;o
38;45268;32688;10343;60;0;30;4;0;0;4;38399,99999999999;0;50000;88400,0;3155;473250;561650,0;0;n
39;64245;17886;4955;15;30;15;2;0;0;2;9599,999999999998;144000,0;50000;203600,0;1683;252450;456050,0;0;:
40;64306;17374;4427;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1631;244650;304250,0;0; 
41;64447;16537;4427;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1550;232500;292100,0;0;0
42;64272;17070;4406;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1598;239700;299300,0;0;,
43;64598;15125;3846;15;0;15;1;0;1;2;9599,999999999998;0;50000;59600,0;1409;211350;270950,0;0;2
44;64338;15949;4078;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1489;223350;306950,0;0; 
45;63937;15953;4117;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1485;222750;306350,0;0;-
46;57651;17255;4484;30;15;30;1;0;1;2;19199,999999999996;23999,999999999996;50000;93200,0;1616;242400;335600,0;0;-
