
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (1) 1 / 250 excecuted, epsilon 0.2041025641025641, random actions 0, random actions on zero 5, max actions 0
 - Run (2) 2 / 250 excecuted, epsilon 0.2082051282051282, random actions 0, random actions on zero 3, max actions 0
 - Run (3) 3 / 250 excecuted, epsilon 0.2123076923076923, random actions 0, random actions on zero 2, max actions 0
 - Run (4) 4 / 250 excecuted, epsilon 0.2164102564102564, random actions 0, random actions on zero 2, max actions 0
 - Run (5) 5 / 250 excecuted, epsilon 0.2205128205128205, random actions 0, random actions on zero 2, max actions 0
 - Run (6) 6 / 250 excecuted, epsilon 0.2246153846153846, random actions 0, random actions on zero 6, max actions 0
 - Run (7) 7 / 250 excecuted, epsilon 0.2287179487179487, random actions 0, random actions on zero 2, max actions 0
 - Run (8) 8 / 250 excecuted, epsilon 0.2328205128205128, random actions 0, random actions on zero 1, max actions 0
 - Run (9) 9 / 250 excecuted, epsilon 0.2369230769230769, random actions 0, random actions on zero 2, max actions 0
 - Run (10) 10 / 250 excecuted, epsilon 0.241025641025641, random actions 1, random actions on zero 0, max actions 0
 - Run (11) 11 / 250 excecuted, epsilon 0.2451282051282051, random actions 1, random actions on zero 0, max actions 0
 - Run (12) 12 / 250 excecuted, epsilon 0.2492307692307692, random actions 0, random actions on zero 3, max actions 0
 - Run (13) 13 / 250 excecuted, epsilon 0.2533333333333333, random actions 1, random actions on zero 1, max actions 0
 - Run (14) 14 / 250 excecuted, epsilon 0.2574358974358974, random actions 0, random actions on zero 1, max actions 0
 - Run (15) 15 / 250 excecuted, epsilon 0.2615384615384615, random actions 2, random actions on zero 0, max actions 0
 - Run (16) 16 / 250 excecuted, epsilon 0.2656410256410256, random actions 1, random actions on zero 0, max actions 1
 - Run (17) 17 / 250 excecuted, epsilon 0.2697435897435897, random actions 1, random actions on zero 0, max actions 1
 - Run (18) 18 / 250 excecuted, epsilon 0.2738461538461538, random actions 1, random actions on zero 0, max actions 0
 - Run (19) 19 / 250 excecuted, epsilon 0.2779487179487179, random actions 2, random actions on zero 0, max actions 1
 - Run (20) 20 / 250 excecuted, epsilon 0.282051282051282, random actions 2, random actions on zero 0, max actions 0
 - Run (21) 21 / 250 excecuted, epsilon 0.2861538461538461, random actions 0, random actions on zero 0, max actions 1
 - Run (22) 22 / 250 excecuted, epsilon 0.2902564102564102, random actions 2, random actions on zero 0, max actions 0
 - Run (23) 23 / 250 excecuted, epsilon 0.2943589743589743, random actions 2, random actions on zero 0, max actions 1
 - Run (24) 24 / 250 excecuted, epsilon 0.2984615384615384, random actions 1, random actions on zero 0, max actions 1
 - Run (25) 25 / 250 excecuted, epsilon 0.3025641025641025, random actions 2, random actions on zero 1, max actions 0
 - Run (26) 26 / 250 excecuted, epsilon 0.3066666666666666, random actions 1, random actions on zero 1, max actions 1
 - Run (27) 27 / 250 excecuted, epsilon 0.3107692307692307, random actions 2, random actions on zero 2, max actions 0
 - Run (28) 28 / 250 excecuted, epsilon 0.3148717948717948, random actions 0, random actions on zero 0, max actions 1
 - Run (29) 29 / 250 excecuted, epsilon 0.3189743589743589, random actions 1, random actions on zero 0, max actions 0
 - Run (30) 30 / 250 excecuted, epsilon 0.323076923076923, random actions 0, random actions on zero 0, max actions 2
 - Run (31) 31 / 250 excecuted, epsilon 0.3271794871794871, random actions 0, random actions on zero 0, max actions 1
 - Run (32) 32 / 250 excecuted, epsilon 0.3312820512820512, random actions 0, random actions on zero 0, max actions 2
 - Run (33) 33 / 250 excecuted, epsilon 0.3353846153846153, random actions 1, random actions on zero 0, max actions 1
 - Run (34) 34 / 250 excecuted, epsilon 0.3394871794871794, random actions 2, random actions on zero 0, max actions 0
 - Run (35) 35 / 250 excecuted, epsilon 0.3435897435897435, random actions 1, random actions on zero 0, max actions 0
 - Run (36) 36 / 250 excecuted, epsilon 0.3476923076923076, random actions 0, random actions on zero 0, max actions 1
 - Run (37) 37 / 250 excecuted, epsilon 0.3517948717948717, random actions 2, random actions on zero 1, max actions 0
 - Run (38) 38 / 250 excecuted, epsilon 0.3558974358974358, random actions 2, random actions on zero 0, max actions 1
 - Run (39) 39 / 250 excecuted, epsilon 0.3599999999999999, random actions 0, random actions on zero 0, max actions 1
 - Run (40) 40 / 250 excecuted, epsilon 0.364102564102564, random actions 1, random actions on zero 0, max actions 0
 - Run (41) 41 / 250 excecuted, epsilon 0.3682051282051281, random actions 2, random actions on zero 0, max actions 0
 - Run (42) 42 / 250 excecuted, epsilon 0.3723076923076922, random actions 2, random actions on zero 1, max actions 0
 - Run (43) 43 / 250 excecuted, epsilon 0.37641025641025627, random actions 1, random actions on zero 0, max actions 1
 - Run (44) 44 / 250 excecuted, epsilon 0.38051282051282037, random actions 1, random actions on zero 0, max actions 1
 - Run (45) 45 / 250 excecuted, epsilon 0.38461538461538447, random actions 0, random actions on zero 0, max actions 1
 - Run (46) 46 / 250 excecuted, epsilon 0.38871794871794857, random actions 0, random actions on zero 0, max actions 1
 - Run (47) 47 / 250 excecuted, epsilon 0.39282051282051267, random actions 0, random actions on zero 0, max actions 1
 - Run (48) 48 / 250 excecuted, epsilon 0.39692307692307677, random actions 0, random actions on zero 0, max actions 1
 - Run (49) 49 / 250 excecuted, epsilon 0.40102564102564087, random actions 1, random actions on zero 0, max actions 0
 - Run (50) 50 / 250 excecuted, epsilon 0.40512820512820497, random actions 0, random actions on zero 0, max actions 1
 - Run (51) 51 / 250 excecuted, epsilon 0.40923076923076906, random actions 1, random actions on zero 0, max actions 0
 - Run (52) 52 / 250 excecuted, epsilon 0.41333333333333316, random actions 1, random actions on zero 0, max actions 1
 - Run (53) 53 / 250 excecuted, epsilon 0.41743589743589726, random actions 0, random actions on zero 0, max actions 1
 - Run (54) 54 / 250 excecuted, epsilon 0.42153846153846136, random actions 1, random actions on zero 1, max actions 1
 - Run (55) 55 / 250 excecuted, epsilon 0.42564102564102546, random actions 2, random actions on zero 0, max actions 0
 - Run (56) 56 / 250 excecuted, epsilon 0.42974358974358956, random actions 1, random actions on zero 0, max actions 1
 - Run (57) 57 / 250 excecuted, epsilon 0.43384615384615366, random actions 2, random actions on zero 0, max actions 0
 - Run (58) 58 / 250 excecuted, epsilon 0.43794871794871776, random actions 0, random actions on zero 0, max actions 1
 - Run (59) 59 / 250 excecuted, epsilon 0.44205128205128186, random actions 1, random actions on zero 0, max actions 1
 - Run (60) 60 / 250 excecuted, epsilon 0.44615384615384596, random actions 1, random actions on zero 0, max actions 1
 - Run (61) 61 / 250 excecuted, epsilon 0.45025641025641006, random actions 0, random actions on zero 0, max actions 1
 - Run (62) 62 / 250 excecuted, epsilon 0.45435897435897415, random actions 2, random actions on zero 0, max actions 0
 - Run (63) 63 / 250 excecuted, epsilon 0.45846153846153825, random actions 1, random actions on zero 1, max actions 1
 - Run (64) 64 / 250 excecuted, epsilon 0.46256410256410235, random actions 4, random actions on zero 1, max actions 1
 - Run (65) 65 / 250 excecuted, epsilon 0.46666666666666645, random actions 0, random actions on zero 0, max actions 1
 - Run (66) 66 / 250 excecuted, epsilon 0.47076923076923055, random actions 0, random actions on zero 0, max actions 2
 - Run (67) 67 / 250 excecuted, epsilon 0.47487179487179465, random actions 0, random actions on zero 0, max actions 2
 - Run (68) 68 / 250 excecuted, epsilon 0.47897435897435875, random actions 0, random actions on zero 0, max actions 2
 - Run (69) 69 / 250 excecuted, epsilon 0.48307692307692285, random actions 1, random actions on zero 0, max actions 0
 - Run (70) 70 / 250 excecuted, epsilon 0.48717948717948695, random actions 1, random actions on zero 3, max actions 2
 - Run (71) 71 / 250 excecuted, epsilon 0.49128205128205105, random actions 1, random actions on zero 0, max actions 0
 - Run (72) 72 / 250 excecuted, epsilon 0.49538461538461515, random actions 1, random actions on zero 0, max actions 1
 - Run (73) 73 / 250 excecuted, epsilon 0.49948717948717924, random actions 1, random actions on zero 1, max actions 1
 - Run (74) 74 / 250 excecuted, epsilon 0.5035897435897434, random actions 1, random actions on zero 0, max actions 0
 - Run (75) 75 / 250 excecuted, epsilon 0.5076923076923076, random actions 2, random actions on zero 0, max actions 2
 - Run (76) 76 / 250 excecuted, epsilon 0.5117948717948717, random actions 1, random actions on zero 0, max actions 0
 - Run (77) 77 / 250 excecuted, epsilon 0.5158974358974359, random actions 0, random actions on zero 0, max actions 1
 - Run (78) 78 / 250 excecuted, epsilon 0.52, random actions 0, random actions on zero 0, max actions 1
 - Run (79) 79 / 250 excecuted, epsilon 0.5241025641025642, random actions 2, random actions on zero 0, max actions 0
 - Run (80) 80 / 250 excecuted, epsilon 0.5282051282051283, random actions 1, random actions on zero 0, max actions 0
 - Run (81) 81 / 250 excecuted, epsilon 0.5323076923076925, random actions 0, random actions on zero 0, max actions 1
 - Run (82) 82 / 250 excecuted, epsilon 0.5364102564102566, random actions 1, random actions on zero 2, max actions 0
 - Run (83) 83 / 250 excecuted, epsilon 0.5405128205128208, random actions 0, random actions on zero 0, max actions 1
 - Run (84) 84 / 250 excecuted, epsilon 0.544615384615385, random actions 0, random actions on zero 1, max actions 0
 - Run (85) 85 / 250 excecuted, epsilon 0.5487179487179491, random actions 0, random actions on zero 0, max actions 1
 - Run (86) 86 / 250 excecuted, epsilon 0.5528205128205133, random actions 0, random actions on zero 1, max actions 1
 - Run (87) 87 / 250 excecuted, epsilon 0.5569230769230774, random actions 0, random actions on zero 0, max actions 1
 - Run (88) 88 / 250 excecuted, epsilon 0.5610256410256416, random actions 1, random actions on zero 0, max actions 1
 - Run (89) 89 / 250 excecuted, epsilon 0.5651282051282057, random actions 2, random actions on zero 1, max actions 0
 - Run (90) 90 / 250 excecuted, epsilon 0.5692307692307699, random actions 3, random actions on zero 0, max actions 0
 - Run (91) 91 / 250 excecuted, epsilon 0.573333333333334, random actions 0, random actions on zero 0, max actions 1
 - Run (92) 92 / 250 excecuted, epsilon 0.5774358974358982, random actions 1, random actions on zero 0, max actions 1
 - Run (93) 93 / 250 excecuted, epsilon 0.5815384615384623, random actions 0, random actions on zero 0, max actions 2
 - Run (94) 94 / 250 excecuted, epsilon 0.5856410256410265, random actions 0, random actions on zero 0, max actions 1
 - Run (95) 95 / 250 excecuted, epsilon 0.5897435897435906, random actions 0, random actions on zero 0, max actions 1
 - Run (96) 96 / 250 excecuted, epsilon 0.5938461538461548, random actions 1, random actions on zero 0, max actions 1
 - Run (97) 97 / 250 excecuted, epsilon 0.597948717948719, random actions 1, random actions on zero 0, max actions 1
 - Run (98) 98 / 250 excecuted, epsilon 0.6020512820512831, random actions 0, random actions on zero 0, max actions 1
 - Run (99) 99 / 250 excecuted, epsilon 0.6061538461538473, random actions 0, random actions on zero 0, max actions 1
 - Run (100) 100 / 250 excecuted, epsilon 0.6102564102564114, random actions 0, random actions on zero 0, max actions 1
 - Run (101) 101 / 250 excecuted, epsilon 0.6143589743589756, random actions 0, random actions on zero 0, max actions 1
 - Run (102) 102 / 250 excecuted, epsilon 0.6184615384615397, random actions 1, random actions on zero 0, max actions 0
 - Run (103) 103 / 250 excecuted, epsilon 0.6225641025641039, random actions 1, random actions on zero 0, max actions 1
 - Run (104) 104 / 250 excecuted, epsilon 0.626666666666668, random actions 0, random actions on zero 0, max actions 1
 - Run (105) 105 / 250 excecuted, epsilon 0.6307692307692322, random actions 1, random actions on zero 0, max actions 1
 - Run (106) 106 / 250 excecuted, epsilon 0.6348717948717963, random actions 1, random actions on zero 0, max actions 1
 - Run (107) 107 / 250 excecuted, epsilon 0.6389743589743605, random actions 0, random actions on zero 0, max actions 2
 - Run (108) 108 / 250 excecuted, epsilon 0.6430769230769247, random actions 0, random actions on zero 0, max actions 1
 - Run (109) 109 / 250 excecuted, epsilon 0.6471794871794888, random actions 1, random actions on zero 0, max actions 1
 - Run (110) 110 / 250 excecuted, epsilon 0.651282051282053, random actions 1, random actions on zero 0, max actions 0
 - Run (111) 111 / 250 excecuted, epsilon 0.6553846153846171, random actions 0, random actions on zero 0, max actions 1
 - Run (112) 112 / 250 excecuted, epsilon 0.6594871794871813, random actions 0, random actions on zero 0, max actions 1
 - Run (113) 113 / 250 excecuted, epsilon 0.6635897435897454, random actions 0, random actions on zero 0, max actions 1
 - Run (114) 114 / 250 excecuted, epsilon 0.6676923076923096, random actions 0, random actions on zero 0, max actions 1
 - Run (115) 115 / 250 excecuted, epsilon 0.6717948717948737, random actions 1, random actions on zero 0, max actions 1
 - Run (116) 116 / 250 excecuted, epsilon 0.6758974358974379, random actions 1, random actions on zero 0, max actions 0
 - Run (117) 117 / 250 excecuted, epsilon 0.680000000000002, random actions 0, random actions on zero 0, max actions 2
 - Run (118) 118 / 250 excecuted, epsilon 0.6841025641025662, random actions 1, random actions on zero 0, max actions 2
 - Run (119) 119 / 250 excecuted, epsilon 0.6882051282051304, random actions 2, random actions on zero 0, max actions 0
 - Run (120) 120 / 250 excecuted, epsilon 0.6923076923076945, random actions 1, random actions on zero 0, max actions 1
 - Run (121) 121 / 250 excecuted, epsilon 0.6964102564102587, random actions 0, random actions on zero 0, max actions 1
 - Run (122) 122 / 250 excecuted, epsilon 0.7005128205128228, random actions 3, random actions on zero 0, max actions 0
 - Run (123) 123 / 250 excecuted, epsilon 0.704615384615387, random actions 0, random actions on zero 1, max actions 0
 - Run (124) 124 / 250 excecuted, epsilon 0.7087179487179511, random actions 1, random actions on zero 0, max actions 1
 - Run (125) 125 / 250 excecuted, epsilon 0.7128205128205153, random actions 1, random actions on zero 0, max actions 2
 - Run (126) 126 / 250 excecuted, epsilon 0.7169230769230794, random actions 2, random actions on zero 0, max actions 2
 - Run (127) 127 / 250 excecuted, epsilon 0.7210256410256436, random actions 0, random actions on zero 0, max actions 1
 - Run (128) 128 / 250 excecuted, epsilon 0.7251282051282077, random actions 0, random actions on zero 0, max actions 1
 - Run (129) 129 / 250 excecuted, epsilon 0.7292307692307719, random actions 1, random actions on zero 0, max actions 1
 - Run (130) 130 / 250 excecuted, epsilon 0.7333333333333361, random actions 0, random actions on zero 0, max actions 1
 - Run (131) 131 / 250 excecuted, epsilon 0.7374358974359002, random actions 0, random actions on zero 0, max actions 1
 - Run (132) 132 / 250 excecuted, epsilon 0.7415384615384644, random actions 0, random actions on zero 0, max actions 1
 - Run (133) 133 / 250 excecuted, epsilon 0.7456410256410285, random actions 0, random actions on zero 0, max actions 1
 - Run (134) 134 / 250 excecuted, epsilon 0.7497435897435927, random actions 1, random actions on zero 0, max actions 1
 - Run (135) 135 / 250 excecuted, epsilon 0.7538461538461568, random actions 0, random actions on zero 0, max actions 2
 - Run (136) 136 / 250 excecuted, epsilon 0.757948717948721, random actions 0, random actions on zero 0, max actions 1
 - Run (137) 137 / 250 excecuted, epsilon 0.7620512820512851, random actions 0, random actions on zero 0, max actions 1
 - Run (138) 138 / 250 excecuted, epsilon 0.7661538461538493, random actions 0, random actions on zero 0, max actions 1
 - Run (139) 139 / 250 excecuted, epsilon 0.7702564102564134, random actions 0, random actions on zero 0, max actions 2
 - Run (140) 140 / 250 excecuted, epsilon 0.7743589743589776, random actions 0, random actions on zero 0, max actions 1
 - Run (141) 141 / 250 excecuted, epsilon 0.7784615384615418, random actions 0, random actions on zero 0, max actions 1
 - Run (142) 142 / 250 excecuted, epsilon 0.7825641025641059, random actions 0, random actions on zero 0, max actions 1
 - Run (143) 143 / 250 excecuted, epsilon 0.7866666666666701, random actions 0, random actions on zero 0, max actions 1
 - Run (144) 144 / 250 excecuted, epsilon 0.7907692307692342, random actions 0, random actions on zero 0, max actions 2
 - Run (145) 145 / 250 excecuted, epsilon 0.7948717948717984, random actions 1, random actions on zero 0, max actions 1
 - Run (146) 146 / 250 excecuted, epsilon 0.7989743589743625, random actions 0, random actions on zero 0, max actions 2
 - Run (147) 147 / 250 excecuted, epsilon 0.8030769230769267, random actions 0, random actions on zero 0, max actions 2
 - Run (148) 148 / 250 excecuted, epsilon 0.8071794871794908, random actions 1, random actions on zero 1, max actions 0
 - Run (149) 149 / 250 excecuted, epsilon 0.811282051282055, random actions 0, random actions on zero 0, max actions 1
 - Run (150) 150 / 250 excecuted, epsilon 0.8153846153846191, random actions 0, random actions on zero 0, max actions 1
 - Run (151) 151 / 250 excecuted, epsilon 0.8194871794871833, random actions 1, random actions on zero 0, max actions 1
 - Run (152) 152 / 250 excecuted, epsilon 0.8235897435897475, random actions 1, random actions on zero 0, max actions 1
 - Run (153) 153 / 250 excecuted, epsilon 0.8276923076923116, random actions 0, random actions on zero 0, max actions 2
 - Run (154) 154 / 250 excecuted, epsilon 0.8317948717948758, random actions 0, random actions on zero 0, max actions 1
 - Run (155) 155 / 250 excecuted, epsilon 0.8358974358974399, random actions 0, random actions on zero 0, max actions 1
 - Run (156) 156 / 250 excecuted, epsilon 0.8400000000000041, random actions 0, random actions on zero 0, max actions 1
 - Run (157) 157 / 250 excecuted, epsilon 0.8441025641025682, random actions 1, random actions on zero 0, max actions 1
 - Run (158) 158 / 250 excecuted, epsilon 0.8482051282051324, random actions 1, random actions on zero 0, max actions 1
 - Run (159) 159 / 250 excecuted, epsilon 0.8523076923076965, random actions 0, random actions on zero 0, max actions 1
 - Run (160) 160 / 250 excecuted, epsilon 0.8564102564102607, random actions 0, random actions on zero 0, max actions 1
 - Run (161) 161 / 250 excecuted, epsilon 0.8605128205128248, random actions 0, random actions on zero 0, max actions 2
 - Run (162) 162 / 250 excecuted, epsilon 0.864615384615389, random actions 1, random actions on zero 0, max actions 1
 - Run (163) 163 / 250 excecuted, epsilon 0.8687179487179532, random actions 1, random actions on zero 0, max actions 1
 - Run (164) 164 / 250 excecuted, epsilon 0.8728205128205173, random actions 0, random actions on zero 0, max actions 2
 - Run (165) 165 / 250 excecuted, epsilon 0.8769230769230815, random actions 0, random actions on zero 0, max actions 2
 - Run (166) 166 / 250 excecuted, epsilon 0.8810256410256456, random actions 2, random actions on zero 0, max actions 0
 - Run (167) 167 / 250 excecuted, epsilon 0.8851282051282098, random actions 2, random actions on zero 0, max actions 0
 - Run (168) 168 / 250 excecuted, epsilon 0.8892307692307739, random actions 0, random actions on zero 0, max actions 2
 - Run (169) 169 / 250 excecuted, epsilon 0.8933333333333381, random actions 0, random actions on zero 0, max actions 2
 - Run (170) 170 / 250 excecuted, epsilon 0.8974358974359022, random actions 0, random actions on zero 0, max actions 2
 - Run (171) 171 / 250 excecuted, epsilon 0.9015384615384664, random actions 0, random actions on zero 0, max actions 2
 - Run (172) 172 / 250 excecuted, epsilon 0.9056410256410306, random actions 0, random actions on zero 0, max actions 2
 - Run (173) 173 / 250 excecuted, epsilon 0.9097435897435947, random actions 0, random actions on zero 0, max actions 2
 - Run (174) 174 / 250 excecuted, epsilon 0.9138461538461589, random actions 0, random actions on zero 0, max actions 2
 - Run (175) 175 / 250 excecuted, epsilon 0.917948717948723, random actions 0, random actions on zero 0, max actions 2
 - Run (176) 176 / 250 excecuted, epsilon 0.9220512820512872, random actions 1, random actions on zero 0, max actions 1
 - Run (177) 177 / 250 excecuted, epsilon 0.9261538461538513, random actions 0, random actions on zero 0, max actions 2
 - Run (178) 178 / 250 excecuted, epsilon 0.9302564102564155, random actions 0, random actions on zero 0, max actions 2
 - Run (179) 179 / 250 excecuted, epsilon 0.9343589743589796, random actions 1, random actions on zero 0, max actions 1
 - Run (180) 180 / 250 excecuted, epsilon 0.9384615384615438, random actions 0, random actions on zero 0, max actions 2
 - Run (181) 181 / 250 excecuted, epsilon 0.9425641025641079, random actions 0, random actions on zero 0, max actions 2
 - Run (182) 182 / 250 excecuted, epsilon 0.9466666666666721, random actions 0, random actions on zero 0, max actions 1
