Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;58523;42614;15222;30;0;30;0;4;0;4;19199,999999999996;0;50000;69200,0;4179;626850;696050,0;0;"
"
2;52069;33653;10588;45;15;15;0;3;0;3;28799,999999999996;2399,9999999999995;50000;81200,0;3249;487350;568550,0;0;-
3;70673;17780;5462;0;0;30;0;2;0;2;0;0;50000;50000;1697;254550;304550;0;-
4;64555;16004;4060;15;15;30;0;2;0;2;9599,999999999998;12000,0;50000;71600,0;1490;223500;295100,0;0;-
5;71120;16759;5008;0;15;15;0;1;0;1;0;12000,0;50000;62000,0;1584;237600;299600,0;0;-
6;64600;16606;4240;15;15;15;0;1;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1551;232650;294650,0;0;-
7;63096;43530;16493;15;30;30;0;4;0;4;9599,999999999998;14400,0;50000;74000,0;4268;640200;714200,0;0;-
8;57406;17434;4889;30;15;15;0;2;0;2;19199,999999999996;2399,9999999999995;50000;71600,0;1633;244950;316550,0;0;-
9;64396;17172;4907;15;30;0;0;1;1;2;9599,999999999998;14400,0;0;24000,0;1608;241200;265200,0;0; 
10;57784;16889;4180;30;30;0;0;1;1;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1580;237000;261000,0;0;E
11;64223;17350;4542;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1632;244800;304400,0;0;p
12;64637;17090;4355;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1602;240300;302300,0;0;o
13;64161;15770;3867;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1476;221400;283400,0;0;c
14;64558;17656;5031;15;30;15;0;1;1;2;9599,999999999998;14400,0;50000;74000,0;1657;248550;322550,0;0;h
15;71165;15664;4740;0;15;15;0;0;1;1;0;12000,0;50000;62000,0;1484;222600;284600,0;0;s
16;71010;18029;5387;0;0;15;2;0;0;2;0;0;50000;50000;1716;257400;307400;0;:
17;64688;19730;6454;15;30;15;0;1;1;2;9599,999999999998;14400,0;50000;74000,0;1887;283050;357050,0;0; 
18;70622;16537;4888;0;15;15;1;0;0;1;0;12000,0;50000;62000,0;1565;234750;296750,0;0;2
19;57903;16784;4847;30;15;15;1;0;1;2;19199,999999999996;2399,9999999999995;50000;71600,0;1572;235800;307400,0;0;0
20;59065;50362;18795;30;15;15;1;2;1;4;19199,999999999996;2399,9999999999995;50000;71600,0;4942;741300;812900,0;0;0
21;64034;17631;4605;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1654;248100;310100,0;0;,
22;57937;25823;8429;30;30;15;1;0;2;3;19199,999999999996;14400,0;50000;83600,0;2481;372150;455750,0;0; 
23;70787;18298;5562;0;0;30;0;0;2;2;0;0;50000;50000;1736;260400;310400;0;S
24;63927;17366;4280;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1631;244650;304250,0;0;t
25;57702;17326;4626;30;15;15;1;0;1;2;19199,999999999996;2399,9999999999995;50000;71600,0;1626;243900;315500,0;0;a
26;64755;18411;6304;15;30;15;2;0;0;2;9599,999999999998;14400,0;50000;74000,0;1751;262650;336650,0;0;r
27;57621;17552;4656;30;30;0;1;0;1;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1653;247950;271950,0;0;t
28;57337;17584;4915;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1651;247650;271650,0;0;i
29;57328;16390;4298;30;15;15;2;0;0;2;19199,999999999996;2399,9999999999995;50000;71600,0;1532;229800;301400,0;0;n
30;64245;17556;4543;15;30;0;1;0;1;2;9599,999999999998;14400,0;0;24000,0;1644;246600;270600,0;0;g
31;57785;17860;5042;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1679;251850;275850,0;0; 
32;64206;15662;4099;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1464;219600;281600,0;0;E
33;57912;18472;5219;30;15;0;1;0;1;2;19199,999999999996;2399,9999999999995;0;21599,999999999996;1751;262650;284250,0;0;p
34;51544;22043;6966;45;30;0;0;1;2;3;28799,999999999996;4799,999999999999;0;33599,99999999999;2093;313950;347550,0;0;s
35;64266;17442;4817;15;30;15;0;0;2;2;9599,999999999998;14400,0;50000;74000,0;1637;245550;319550,0;0;i
36;64477;18994;6334;15;15;15;2;0;0;2;9599,999999999998;12000,0;50000;71600,0;1812;271800;343400,0;0;l
37;57345;17585;4816;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1654;248100;272100,0;0;o
38;58082;18480;5355;30;30;0;1;0;1;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1744;261600;285600,0;0;n
39;71162;29719;11415;0;30;15;2;1;0;3;0;24000,0;50000;74000,0;2892;433800;507800,0;0;:
40;57986;15852;4544;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1477;221550;245550,0;0; 
41;57726;18667;5375;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1770;265500;289500,0;0;0
42;64187;17016;5043;15;15;30;1;0;1;2;9599,999999999998;12000,0;50000;71600,0;1610;241500;313100,0;0;,
43;64447;18080;5542;15;15;15;2;0;0;2;9599,999999999998;2399,9999999999995;50000;62000,0;1728;259200;321200,0;0;2
44;57627;29216;10859;30;15;30;2;1;0;3;19199,999999999996;2399,9999999999995;50000;71600,0;2834;425100;496700,0;0; 
45;57821;18012;5066;30;30;15;1;0;1;2;19199,999999999996;4799,999999999999;50000;74000,0;1696;254400;328400,0;0;-
46;64559;15784;4585;15;15;15;1;1;0;2;9599,999999999998;12000,0;50000;71600,0;1489;223350;294950,0;0;-
47;57796;17561;5080;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1650;247500;271500,0;0;-
48;58415;34516;12556;30;30;0;1;1;1;3;19199,999999999996;4799,999999999999;0;23999,999999999996;3356;503400;527400,0;0;-
49;57639;17669;4891;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1656;248400;272400,0;0;-
50;64556;17165;4760;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1614;242100;304100,0;0;-
51;71315;29899;11576;0;0;30;1;1;1;3;0;0;50000;50000;2908;436200;486200;0;-
52;57650;16836;4401;30;30;15;1;0;1;2;19199,999999999996;4799,999999999999;50000;74000,0;1577;236550;310550,0;0;-
53;56964;16171;4163;30;30;15;1;0;1;2;19199,999999999996;4799,999999999999;50000;74000,0;1508;226200;300200,0;0;-
54;64734;17044;4339;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1600;240000;302000,0;0;-
55;57898;17916;4729;30;0;15;2;0;0;2;19199,999999999996;0;50000;69200,0;1687;253050;322250,0;0;-
56;57675;14491;4111;30;30;0;0;1;1;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1348;202200;226200,0;0;-
57;64735;27222;10378;15;15;15;0;2;0;2;9599,999999999998;2399,9999999999995;50000;62000,0;2631;394650;456650,0;0;-
58;57785;17752;4932;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1664;249600;273600,0;0;-
59;64250;17320;4332;15;15;30;1;0;1;2;9599,999999999998;12000,0;50000;71600,0;1623;243450;315050,0;0;-
60;57635;17538;4871;30;15;0;1;0;1;2;19199,999999999996;2399,9999999999995;0;21599,999999999996;1645;246750;268350,0;0;-
61;64541;16618;4361;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1562;234300;296300,0;0;-
62;58336;37702;15529;30;45;15;2;1;1;4;19199,999999999996;16800,0;50000;86000,0;3689;553350;639350,0;0;-
63;64157;17360;4891;15;30;15;1;0;1;2;9599,999999999998;14400,0;50000;74000,0;1631;244650;318650,0;0;-
64;51266;45871;17533;45;45;0;3;0;3;6;28799,999999999996;16800,0;0;45600,0;4482;672300;717900,0;0;-
65;64532;17123;4280;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1602;240300;302300,0;0;-
66;57741;18208;5178;30;30;0;1;0;1;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1716;257400;281400,0;0;-
67;64370;17755;5036;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1671;250650;274650,0;0;-
68;64504;16300;4317;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1522;228300;252300,0;0;-
69;57554;31610;10363;30;30;15;2;1;1;4;19199,999999999996;4799,999999999999;50000;74000,0;3049;457350;531350,0;0;-
70;51708;37369;12798;45;15;15;2;2;1;5;28799,999999999996;12000,0;50000;90800,0;3627;544050;634850,0;0;-
71;64094;16528;4220;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1548;232200;294200,0;0;-
72;64891;39177;14374;15;0;30;2;0;2;4;9599,999999999998;0;50000;59600,0;3822;573300;632900,0;0;-
73;70934;20724;6700;0;15;30;2;0;1;3;0;12000,0;50000;62000,0;1993;298950;360950,0;0;-
74;57755;17741;5079;30;30;15;1;0;1;2;19199,999999999996;4799,999999999999;50000;74000,0;1670;250500;324500,0;0;-
75;57908;17632;4951;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1657;248550;272550,0;0;-
76;64562;18132;6101;15;15;15;2;0;0;2;9599,999999999998;12000,0;50000;71600,0;1716;257400;329000,0;0;-
77;51389;21556;7510;45;45;15;3;0;1;4;28799,999999999996;16800,0;50000;95600,0;2048;307200;402800,0;0;-
78;64787;31403;12015;15;15;15;2;0;1;3;9599,999999999998;2399,9999999999995;50000;62000,0;3042;456300;518300,0;0;-
79;64072;16757;4683;15;15;15;1;0;1;2;9599,999999999998;2399,9999999999995;50000;62000,0;1567;235050;297050,0;0;-
80;57714;17623;4661;30;15;15;1;0;1;2;19199,999999999996;2399,9999999999995;50000;71600,0;1652;247800;319400,0;0;-
81;58014;16992;4696;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1591;238650;262650,0;0;-
82;57698;16563;4312;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1556;233400;257400,0;0;-
83;57931;17714;5033;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1664;249600;273600,0;0;-
84;64512;14164;3762;15;15;15;0;1;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1317;197550;259550,0;0;-
85;57502;17266;4533;30;30;0;1;0;1;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1623;243450;267450,0;0;-
86;64120;16353;4113;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1526;228900;290900,0;0;-
87;64540;17624;5293;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1672;250800;310400,0;0;-
88;57657;17248;4662;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1619;242850;266850,0;0;-
89;57566;16337;4400;30;15;0;1;0;1;2;19199,999999999996;2399,9999999999995;0;21599,999999999996;1527;229050;250650,0;0;-
90;70920;13399;4337;0;30;30;0;1;1;2;0;24000,0;50000;74000,0;1253;187950;261950,0;0;-
91;57765;17177;4852;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1610;241500;265500,0;0;-
92;57683;16099;4165;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1507;226050;250050,0;0;-
93;57647;17755;4976;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1669;250350;274350,0;0;-
94;57986;17088;4682;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1601;240150;264150,0;0;-
95;57992;18865;5216;30;15;0;1;0;1;2;19199,999999999996;2399,9999999999995;0;21599,999999999996;1783;267450;289050,0;0;-
96;57677;16476;4536;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1536;230400;254400,0;0;-
97;57619;17188;4667;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1610;241500;265500,0;0;-
98;64247;17308;4729;15;15;0;1;0;1;2;9599,999999999998;2399,9999999999995;0;11999,999999999998;1621;243150;255150,0;0;-
99;57810;18670;5281;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1761;264150;288150,0;0;-
100;58052;16297;4569;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1524;228600;252600,0;0;-
101;57609;17458;4726;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1638;245700;269700,0;0;-
102;57687;14706;3820;30;15;15;0;1;1;2;19199,999999999996;2399,9999999999995;50000;71600,0;1370;205500;277100,0;0;-
103;38196;39631;14046;75;45;15;2;0;3;5;47999,99999999999;7199,999999999999;50000;105200,0;3859;578850;684050,0;0;-
104;64634;18041;4998;15;30;15;0;0;2;2;9599,999999999998;14400,0;50000;74000,0;1695;254250;328250,0;0;-
105;71474;20758;8146;0;60;0;0;1;3;4;0;48000,0;0;48000,0;1993;298950;346950,0;0;-
106;64060;17988;5077;15;30;15;1;0;1;2;9599,999999999998;14400,0;50000;74000,0;1686;252900;326900,0;0;-
107;64728;23154;8710;15;45;0;2;0;1;3;9599,999999999998;26400,0;0;36000,0;2225;333750;369750,0;0;-
108;64569;17864;4920;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1676;251400;275400,0;0;-
109;64475;15623;4713;15;45;0;1;0;2;3;9599,999999999998;26400,0;0;36000,0;1461;219150;255150,0;0;-
110;57519;17755;4844;30;15;0;1;0;1;2;19199,999999999996;2399,9999999999995;0;21599,999999999996;1669;250350;271950,0;0;-
111;64688;32455;12072;15;15;30;1;0;2;3;9599,999999999998;2399,9999999999995;50000;62000,0;3170;475500;537500,0;0;-
112;64170;17508;4997;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1647;247050;271050,0;0;-
113;65176;30163;11296;15;15;15;1;0;1;2;9599,999999999998;2399,9999999999995;50000;62000,0;2930;439500;501500,0;0;-
114;64836;17715;5097;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1663;249450;273450,0;0;-
115;57864;17299;4893;30;30;0;1;0;1;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1625;243750;267750,0;0;-
116;63700;16851;4549;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1572;235800;259800,0;0;-
117;64244;18082;5128;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1702;255300;279300,0;0;-
118;64496;16515;4593;15;30;15;1;0;1;2;9599,999999999998;14400,0;50000;74000,0;1548;232200;306200,0;0;-
119;64504;18256;5122;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1719;257850;281850,0;0;-
120;64415;17308;4595;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1625;243750;267750,0;0;-
121;57868;16766;4638;30;30;0;1;0;1;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1565;234750;258750,0;0;-
122;64391;17322;4500;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1621;243150;302750,0;0;"
"
123;64362;16266;4904;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1521;228150;252150,0;0;"
"
124;70503;16790;5002;0;15;15;1;0;1;2;0;12000,0;50000;62000,0;1596;239400;301400,0;0;"
"
125;64746;16799;4658;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1574;236100;260100,0;0; 
126;64276;16739;4820;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1565;234750;258750,0;0;-
127;58106;17709;4848;30;30;15;1;0;1;2;19199,999999999996;4799,999999999999;50000;74000,0;1664;249600;323600,0;0; 
128;64268;16447;4478;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1536;230400;254400,0;0;R
129;64588;15470;4357;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1445;216750;240750,0;0;u
130;64771;17843;4941;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1677;251550;275550,0;0;n
131;64352;17532;4944;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1645;246750;270750,0;0; 
132;64226;16933;4805;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1582;237300;261300,0;0;(
133;64298;16727;4538;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1566;234900;258900,0;0;1
134;63973;16066;4812;15;45;0;0;0;3;3;9599,999999999998;26400,0;0;36000,0;1502;225300;261300,0;0;)
135;64082;18127;5129;15;30;0;0;0;2;2;9599,999999999998;14400,0;0;24000,0;1710;256500;280500,0;0; 
136;65044;30292;13439;15;75;0;1;1;3;5;9599,999999999998;50400,0;0;60000,0;2947;442050;502050,0;0;1
137;57872;17442;4608;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1636;245400;269400,0;0; 
138;57573;17112;4687;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1609;241350;265350,0;0;/
139;57853;17726;5093;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1670;250500;274500,0;0; 
140;57924;18570;5298;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1754;263100;287100,0;0;2
141;57700;16994;4735;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1592;238800;262800,0;0;5
142;64208;17271;4591;15;15;0;0;0;1;1;9599,999999999998;2399,9999999999995;0;11999,999999999998;1621;243150;255150,0;0;0
143;57683;17017;4592;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1596;239400;263400,0;0; 
144;57870;15878;4330;30;30;0;0;0;2;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1483;222450;246450,0;0;e
