Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64916;16930;4957;15;0;30;0;2;0;2;9599,999999999998;0;50000;59600,0;1609;241350;300950,0;0;"
"
2;63921;17304;4639;15;15;0;0;1;0;1;9599,999999999998;3599,9999999999995;0;13199,999999999998;1625;243750;256950,0;0;-
3;64659;17953;5548;15;15;15;0;2;0;2;9599,999999999998;18000,0;50000;77600,0;1713;256950;334550,0;0;-
4;55225;57362;24924;34;30;4;0;6;0;6;21599,999999999996;21600,0;50000;93200,0;5647;847050;940250,0;0;-
5;71087;20158;6809;0;15;15;0;2;0;2;0;18000,0;50000;68000,0;1932;289800;357800,0;0;-
6;58126;23357;6898;30;0;30;0;3;0;3;19199,999999999996;0;50000;69200,0;2219;332850;402050,0;0;-
7;64284;15289;3900;15;15;15;0;1;0;1;9599,999999999998;3599,9999999999995;50000;63200,0;1422;213300;276500,0;0;-
8;57759;17086;4387;30;15;30;0;2;0;2;19199,999999999996;3599,9999999999995;50000;72800,0;1601;240150;312950,0;0;-
9;64303;17325;4682;15;30;0;0;1;1;2;9599,999999999998;21600,0;0;31200,0;1626;243900;275100,0;0; 
10;71003;19727;6668;0;30;15;1;1;0;2;0;36000,0;50000;86000,0;1890;283500;369500,0;0;E
11;64821;18466;6093;15;30;15;1;1;0;2;9599,999999999998;21600,0;50000;81200,0;1759;263850;345050,0;0;p
12;63810;17186;4475;15;15;15;1;0;0;1;9599,999999999998;3599,9999999999995;50000;63200,0;1612;241800;305000,0;0;o
13;71393;18327;5407;0;15;30;1;1;0;2;0;18000,0;50000;68000,0;1741;261150;329150,0;0;c
14;64392;18444;5402;15;30;0;0;0;2;2;9599,999999999998;21600,0;0;31200,0;1747;262050;293250,0;0;h
15;52003;30742;10043;45;15;15;2;0;1;3;28799,999999999996;3599,9999999999995;50000;82400,0;2964;444600;527000,0;0;s
16;65538;35166;12203;15;15;30;2;1;1;4;9599,999999999998;18000,0;50000;77600,0;3412;511800;589400,0;0;:
17;64423;19357;6270;15;30;15;2;0;0;2;9599,999999999998;21600,0;50000;81200,0;1851;277650;358850,0;0; 
18;51108;18037;5066;45;15;0;2;1;0;3;28799,999999999996;3599,9999999999995;0;32399,999999999996;1700;255000;287400,0;0;2
19;64637;17255;4560;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1619;242850;302450,0;0;0
20;63581;16886;4352;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1581;237150;296750,0;0;0
21;71269;15768;4591;0;15;15;1;0;0;1;0;18000,0;50000;68000,0;1487;223050;291050,0;0;,
22;64592;19483;6317;15;30;0;1;0;1;2;9599,999999999998;21600,0;0;31200,0;1866;279900;311100,0;0; 
23;64714;17677;4643;15;15;15;1;0;0;1;9599,999999999998;3599,9999999999995;50000;63200,0;1657;248550;311750,0;0;S
24;64514;17345;4737;15;30;0;1;0;1;2;9599,999999999998;21600,0;0;31200,0;1623;243450;274650,0;0;t
25;57495;16978;4740;30;30;15;1;0;1;2;19199,999999999996;7199,999999999999;50000;76400,0;1584;237600;314000,0;0;a
26;57992;17498;4915;30;15;15;1;0;1;2;19199,999999999996;3599,9999999999995;50000;72800,0;1643;246450;319250,0;0;r
27;58103;48395;19352;30;30;0;1;2;1;4;19199,999999999996;7199,999999999999;0;26399,999999999996;4742;711300;737700,0;0;t
28;71088;16024;4814;0;15;30;2;0;0;2;0;18000,0;50000;68000,0;1514;227100;295100,0;0;i
29;70879;18254;6014;0;30;15;2;0;0;2;0;36000,0;50000;86000,0;1743;261450;347450,0;0;n
30;63749;17266;4595;15;15;15;1;0;0;1;9599,999999999998;3599,9999999999995;50000;63200,0;1627;244050;307250,0;0;g
31;57691;19650;6225;30;15;15;1;1;0;2;19199,999999999996;3599,9999999999995;50000;72800,0;1863;279450;352250,0;0; 
32;57624;17880;4888;30;30;0;1;0;1;2;19199,999999999996;7199,999999999999;0;26399,999999999996;1680;252000;278400,0;0;E
33;64584;17747;5200;15;0;30;2;0;0;2;9599,999999999998;0;50000;59600,0;1697;254550;314150,0;0;p
34;64833;19342;7227;15;30;0;2;0;1;3;9599,999999999998;21600,0;0;31200,0;1842;276300;307500,0;0;s
35;64509;18328;5283;15;15;15;0;0;2;2;9599,999999999998;3599,9999999999995;50000;63200,0;1728;259200;322400,0;0;i
36;70681;16243;4686;0;15;15;1;0;0;1;0;18000,0;50000;68000,0;1539;230850;298850,0;0;l
37;70837;15131;4557;0;15;15;1;0;0;1;0;18000,0;50000;68000,0;1430;214500;282500,0;0;o
38;64780;18022;5285;15;15;30;2;0;0;2;9599,999999999998;3599,9999999999995;50000;63200,0;1716;257400;320600,0;0;n
39;58033;17648;5048;30;30;0;1;0;1;2;19199,999999999996;7199,999999999999;0;26399,999999999996;1657;248550;274950,0;0;:
40;71104;20581;7374;0;30;15;2;0;0;2;0;36000,0;50000;86000,0;1975;296250;382250,0;0; 
41;50952;18115;5383;45;30;0;1;0;2;3;28799,999999999996;7199,999999999999;0;35999,99999999999;1705;255750;291750,0;0;0
42;64268;16130;4161;15;15;15;1;0;0;1;9599,999999999998;3599,9999999999995;50000;63200,0;1509;226350;289550,0;0;,
43;57523;15294;4244;30;30;0;0;0;2;2;19199,999999999996;7199,999999999999;0;26399,999999999996;1431;214650;241050,0;0;2
44;57850;16778;4452;30;30;0;1;0;1;2;19199,999999999996;7199,999999999999;0;26399,999999999996;1567;235050;261450,0;0; 
45;64451;15855;4196;15;15;15;1;0;0;1;9599,999999999998;3599,9999999999995;50000;63200,0;1482;222300;285500,0;0;-
