Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;70876;16622;4940;0;15;15;0;1;0;1;0;96000;50000;146000;1574;236100;382100;0;"
"
2;64872;29511;11053;15;0;15;0;2;0;2;9599,999999999998;0;50000;59600,0;2858;428700;488300,0;0;-
3;64621;17435;4365;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1632;244800;304400,0;0;-
4;71082;17469;5270;0;15;30;0;2;0;2;0;96000;50000;146000;1667;250050;396050;0;-
5;51552;30217;10961;45;15;30;0;5;0;5;28799,999999999996;96000;50000;174800,0;2934;440100;614900,0;0;-
6;64671;18063;5359;15;15;0;0;2;0;2;9599,999999999998;19199,999999999996;0;28799,999999999996;1700;255000;283800,0;0;-
7;64767;16294;4314;15;15;15;0;1;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1532;229800;308600,0;0;-
8;57893;21508;6584;30;0;30;0;3;0;3;19199,999999999996;0;50000;69200,0;2044;306600;375800,0;0;-
9;64573;20065;6642;15;30;0;0;2;0;2;9599,999999999998;115200,0;0;124800,0;1915;287250;412050,0;0; 
10;57702;36380;13853;30;30;30;1;3;0;4;19199,999999999996;115200,0;50000;184400,0;3548;532200;716600,0;0;E
11;64678;19239;6228;15;30;15;1;1;0;2;9599,999999999998;115200,0;50000;174800,0;1833;274950;449750,0;0;p
12;64691;23878;7380;15;15;15;2;1;0;3;9599,999999999998;96000;50000;155600,0;2281;342150;497750,0;0;o
13;57929;16159;4370;30;30;0;1;0;1;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1511;226650;284250,0;0;c
14;70768;18459;6881;0;30;15;3;0;0;3;0;192000;50000;242000;1762;264300;506300;0;h
15;64779;17530;4821;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1644;246600;306200,0;0;s
16;57812;16583;4720;30;30;15;1;0;1;2;19199,999999999996;38399,99999999999;50000;107600,0;1553;232950;340550,0;0;:
17;64284;15242;4362;15;30;15;1;1;0;2;9599,999999999998;115200,0;50000;174800,0;1420;213000;387800,0;0; 
18;71438;17556;5361;0;15;15;2;0;0;2;0;96000;50000;146000;1666;249900;395900;0;2
19;57771;16350;4384;30;30;0;2;0;0;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1530;229500;287100,0;0;0
20;57957;27417;8812;30;30;15;3;0;0;3;19199,999999999996;115200,0;50000;184400,0;2632;394800;579200,0;0;0
21;57600;17283;4622;30;30;15;2;0;0;2;19199,999999999996;38399,99999999999;50000;107600,0;1624;243600;351200,0;0;,
22;64541;17447;4733;15;15;15;0;0;1;1;9599,999999999998;19199,999999999996;50000;78800,0;1638;245700;324500,0;0; 
23;64951;19280;6838;15;15;15;0;1;1;2;9599,999999999998;96000;50000;155600,0;1835;275250;430850,0;0;S
24;64795;29923;11706;15;30;30;2;1;0;3;9599,999999999998;115200,0;50000;174800,0;2915;437250;612050,0;0;t
25;71601;29986;11729;0;0;30;1;1;1;3;0;0;50000;50000;2916;437400;487400;0;a
26;48226;60574;23921;49;15;4;2;2;2;6;31199,999999999996;19199,999999999996;50000;100400,0;5942;891300;991700,0;0;r
27;71079;18155;5407;0;0;30;0;0;2;2;0;0;50000;50000;1729;259350;309350;0;t
28;58081;17629;4864;30;15;15;1;0;1;2;19199,999999999996;19199,999999999996;50000;88400,0;1655;248250;336650,0;0;i
29;57617;18114;4914;30;15;15;1;0;1;2;19199,999999999996;19199,999999999996;50000;88400,0;1704;255600;344000,0;0;n
30;64230;17390;4712;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1634;245100;304700,0;0;g
31;64708;17967;5538;15;15;15;1;0;1;2;9599,999999999998;19199,999999999996;50000;78800,0;1704;255600;334400,0;0; 
