
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (1) 1 / 250 excecuted, epsilon 0.20512820512820515, random actions 0, random actions on zero 2, max actions 0
 - Run (2) 2 / 250 excecuted, epsilon 0.2102564102564103, random actions 0, random actions on zero 1, max actions 0
 - Run (3) 3 / 250 excecuted, epsilon 0.21538461538461542, random actions 0, random actions on zero 2, max actions 0
 - Run (4) 4 / 250 excecuted, epsilon 0.22051282051282056, random actions 0, random actions on zero 1, max actions 0
 - Run (5) 5 / 250 excecuted, epsilon 0.2256410256410257, random actions 0, random actions on zero 3, max actions 0
 - Run (6) 6 / 250 excecuted, epsilon 0.23076923076923084, random actions 0, random actions on zero 3, max actions 0
 - Run (7) 7 / 250 excecuted, epsilon 0.23589743589743598, random actions 0, random actions on zero 1, max actions 0
 - Run (8) 8 / 250 excecuted, epsilon 0.2410256410256411, random actions 0, random actions on zero 2, max actions 0
 - Run (9) 9 / 250 excecuted, epsilon 0.24615384615384625, random actions 1, random actions on zero 0, max actions 0
 - Run (10) 10 / 250 excecuted, epsilon 0.2512820512820514, random actions 1, random actions on zero 1, max actions 0
 - Run (11) 11 / 250 excecuted, epsilon 0.2564102564102565, random actions 0, random actions on zero 2, max actions 0
 - Run (12) 12 / 250 excecuted, epsilon 0.2615384615384616, random actions 0, random actions on zero 3, max actions 0
 - Run (13) 13 / 250 excecuted, epsilon 0.2666666666666667, random actions 2, random actions on zero 1, max actions 1
 - Run (14) 14 / 250 excecuted, epsilon 0.27179487179487183, random actions 2, random actions on zero 0, max actions 0
 - Run (15) 15 / 250 excecuted, epsilon 0.27692307692307694, random actions 0, random actions on zero 1, max actions 1
 - Run (16) 16 / 250 excecuted, epsilon 0.28205128205128205, random actions 1, random actions on zero 0, max actions 0
 - Run (17) 17 / 250 excecuted, epsilon 0.28717948717948716, random actions 2, random actions on zero 1, max actions 0
 - Run (18) 18 / 250 excecuted, epsilon 0.29230769230769227, random actions 1, random actions on zero 0, max actions 0
 - Run (19) 19 / 250 excecuted, epsilon 0.2974358974358974, random actions 2, random actions on zero 1, max actions 0
 - Run (20) 20 / 250 excecuted, epsilon 0.3025641025641025, random actions 1, random actions on zero 0, max actions 0
 - Run (21) 21 / 250 excecuted, epsilon 0.3076923076923076, random actions 2, random actions on zero 0, max actions 0
 - Run (22) 22 / 250 excecuted, epsilon 0.3128205128205127, random actions 1, random actions on zero 1, max actions 0
 - Run (23) 23 / 250 excecuted, epsilon 0.3179487179487178, random actions 0, random actions on zero 0, max actions 2
 - Run (24) 24 / 250 excecuted, epsilon 0.32307692307692293, random actions 2, random actions on zero 1, max actions 1
 - Run (25) 25 / 250 excecuted, epsilon 0.32820512820512804, random actions 2, random actions on zero 0, max actions 1
 - Run (26) 26 / 250 excecuted, epsilon 0.33333333333333315, random actions 1, random actions on zero 0, max actions 0
 - Run (27) 27 / 250 excecuted, epsilon 0.33846153846153826, random actions 2, random actions on zero 2, max actions 0
 - Run (28) 28 / 250 excecuted, epsilon 0.34358974358974337, random actions 2, random actions on zero 0, max actions 1
 - Run (29) 29 / 250 excecuted, epsilon 0.3487179487179485, random actions 2, random actions on zero 0, max actions 0
 - Run (30) 30 / 250 excecuted, epsilon 0.3538461538461536, random actions 1, random actions on zero 1, max actions 0
 - Run (31) 31 / 250 excecuted, epsilon 0.3589743589743587, random actions 2, random actions on zero 0, max actions 0
 - Run (32) 32 / 250 excecuted, epsilon 0.3641025641025638, random actions 1, random actions on zero 0, max actions 1
 - Run (33) 33 / 250 excecuted, epsilon 0.3692307692307689, random actions 2, random actions on zero 1, max actions 0
 - Run (34) 34 / 250 excecuted, epsilon 0.37435897435897403, random actions 1, random actions on zero 0, max actions 1
 - Run (35) 35 / 250 excecuted, epsilon 0.37948717948717914, random actions 1, random actions on zero 0, max actions 1
 - Run (36) 36 / 250 excecuted, epsilon 0.38461538461538425, random actions 1, random actions on zero 1, max actions 0
 - Run (37) 37 / 250 excecuted, epsilon 0.38974358974358936, random actions 2, random actions on zero 0, max actions 0
 - Run (38) 38 / 250 excecuted, epsilon 0.39487179487179447, random actions 1, random actions on zero 0, max actions 0
 - Run (39) 39 / 250 excecuted, epsilon 0.3999999999999996, random actions 0, random actions on zero 1, max actions 0
 - Run (40) 40 / 250 excecuted, epsilon 0.4051282051282047, random actions 1, random actions on zero 0, max actions 1
 - Run (41) 41 / 250 excecuted, epsilon 0.4102564102564098, random actions 1, random actions on zero 0, max actions 0
 - Run (42) 42 / 250 excecuted, epsilon 0.4153846153846149, random actions 2, random actions on zero 0, max actions 0
 - Run (43) 43 / 250 excecuted, epsilon 0.42051282051282, random actions 0, random actions on zero 0, max actions 1
 - Run (44) 44 / 250 excecuted, epsilon 0.42564102564102513, random actions 0, random actions on zero 0, max actions 1
 - Run (45) 45 / 250 excecuted, epsilon 0.43076923076923024, random actions 1, random actions on zero 1, max actions 0
 - Run (46) 46 / 250 excecuted, epsilon 0.43589743589743535, random actions 2, random actions on zero 0, max actions 0
 - Run (47) 47 / 250 excecuted, epsilon 0.44102564102564046, random actions 1, random actions on zero 3, max actions 2
 - Run (48) 48 / 250 excecuted, epsilon 0.44615384615384557, random actions 0, random actions on zero 0, max actions 1
 - Run (49) 49 / 250 excecuted, epsilon 0.4512820512820507, random actions 0, random actions on zero 0, max actions 1
 - Run (50) 50 / 250 excecuted, epsilon 0.4564102564102558, random actions 0, random actions on zero 0, max actions 2
 - Run (51) 51 / 250 excecuted, epsilon 0.4615384615384609, random actions 1, random actions on zero 0, max actions 0
 - Run (52) 52 / 250 excecuted, epsilon 0.466666666666666, random actions 0, random actions on zero 0, max actions 1
 - Run (53) 53 / 250 excecuted, epsilon 0.4717948717948711, random actions 0, random actions on zero 0, max actions 1
 - Run (54) 54 / 250 excecuted, epsilon 0.47692307692307623, random actions 0, random actions on zero 0, max actions 1
 - Run (55) 55 / 250 excecuted, epsilon 0.48205128205128134, random actions 0, random actions on zero 0, max actions 2
 - Run (56) 56 / 250 excecuted, epsilon 0.48717948717948645, random actions 0, random actions on zero 0, max actions 2
 - Run (57) 57 / 250 excecuted, epsilon 0.49230769230769156, random actions 0, random actions on zero 1, max actions 0
 - Run (58) 58 / 250 excecuted, epsilon 0.49743589743589667, random actions 2, random actions on zero 0, max actions 1
 - Run (59) 59 / 250 excecuted, epsilon 0.5025641025641018, random actions 1, random actions on zero 0, max actions 1
 - Run (60) 60 / 250 excecuted, epsilon 0.5076923076923069, random actions 1, random actions on zero 1, max actions 0
 - Run (61) 61 / 250 excecuted, epsilon 0.512820512820512, random actions 0, random actions on zero 0, max actions 1
 - Run (62) 62 / 250 excecuted, epsilon 0.5179487179487171, random actions 2, random actions on zero 0, max actions 1
 - Run (63) 63 / 250 excecuted, epsilon 0.5230769230769222, random actions 2, random actions on zero 1, max actions 1
 - Run (64) 64 / 250 excecuted, epsilon 0.5282051282051273, random actions 0, random actions on zero 3, max actions 0
 - Run (65) 65 / 250 excecuted, epsilon 0.5333333333333324, random actions 1, random actions on zero 0, max actions 1
 - Run (66) 66 / 250 excecuted, epsilon 0.5384615384615375, random actions 1, random actions on zero 3, max actions 0
 - Run (67) 67 / 250 excecuted, epsilon 0.5435897435897427, random actions 1, random actions on zero 1, max actions 1
 - Run (68) 68 / 250 excecuted, epsilon 0.5487179487179478, random actions 3, random actions on zero 0, max actions 1
 - Run (69) 69 / 250 excecuted, epsilon 0.5538461538461529, random actions 1, random actions on zero 0, max actions 0
 - Run (70) 70 / 250 excecuted, epsilon 0.558974358974358, random actions 2, random actions on zero 0, max actions 0
 - Run (71) 71 / 250 excecuted, epsilon 0.5641025641025631, random actions 3, random actions on zero 0, max actions 0
 - Run (72) 72 / 250 excecuted, epsilon 0.5692307692307682, random actions 1, random actions on zero 0, max actions 0
 - Run (73) 73 / 250 excecuted, epsilon 0.5743589743589733, random actions 0, random actions on zero 0, max actions 2
 - Run (74) 74 / 250 excecuted, epsilon 0.5794871794871784, random actions 1, random actions on zero 0, max actions 1
 - Run (75) 75 / 250 excecuted, epsilon 0.5846153846153835, random actions 2, random actions on zero 0, max actions 0
 - Run (76) 76 / 250 excecuted, epsilon 0.5897435897435886, random actions 1, random actions on zero 0, max actions 1
 - Run (77) 77 / 250 excecuted, epsilon 0.5948717948717938, random actions 1, random actions on zero 0, max actions 0
 - Run (78) 78 / 250 excecuted, epsilon 0.5999999999999989, random actions 1, random actions on zero 0, max actions 2
 - Run (79) 79 / 250 excecuted, epsilon 0.605128205128204, random actions 1, random actions on zero 0, max actions 1
 - Run (80) 80 / 250 excecuted, epsilon 0.6102564102564091, random actions 1, random actions on zero 0, max actions 0
 - Run (81) 81 / 250 excecuted, epsilon 0.6153846153846142, random actions 2, random actions on zero 3, max actions 1
 - Run (82) 82 / 250 excecuted, epsilon 0.6205128205128193, random actions 1, random actions on zero 0, max actions 1
 - Run (83) 83 / 250 excecuted, epsilon 0.6256410256410244, random actions 3, random actions on zero 1, max actions 2
 - Run (84) 84 / 250 excecuted, epsilon 0.6307692307692295, random actions 0, random actions on zero 0, max actions 2
 - Run (85) 85 / 250 excecuted, epsilon 0.6358974358974346, random actions 1, random actions on zero 0, max actions 1
 - Run (86) 86 / 250 excecuted, epsilon 0.6410256410256397, random actions 1, random actions on zero 0, max actions 1
 - Run (87) 87 / 250 excecuted, epsilon 0.6461538461538449, random actions 0, random actions on zero 0, max actions 1
 - Run (88) 88 / 250 excecuted, epsilon 0.65128205128205, random actions 0, random actions on zero 0, max actions 2
 - Run (89) 89 / 250 excecuted, epsilon 0.6564102564102551, random actions 0, random actions on zero 0, max actions 1
 - Run (90) 90 / 250 excecuted, epsilon 0.6615384615384602, random actions 1, random actions on zero 0, max actions 0
 - Run (91) 91 / 250 excecuted, epsilon 0.6666666666666653, random actions 1, random actions on zero 0, max actions 1
 - Run (92) 92 / 250 excecuted, epsilon 0.6717948717948704, random actions 0, random actions on zero 0, max actions 1
 - Run (93) 93 / 250 excecuted, epsilon 0.6769230769230755, random actions 0, random actions on zero 0, max actions 1
 - Run (94) 94 / 250 excecuted, epsilon 0.6820512820512806, random actions 0, random actions on zero 0, max actions 1
 - Run (95) 95 / 250 excecuted, epsilon 0.6871794871794857, random actions 1, random actions on zero 0, max actions 1
 - Run (96) 96 / 250 excecuted, epsilon 0.6923076923076908, random actions 0, random actions on zero 0, max actions 1
 - Run (97) 97 / 250 excecuted, epsilon 0.697435897435896, random actions 0, random actions on zero 0, max actions 1
 - Run (98) 98 / 250 excecuted, epsilon 0.7025641025641011, random actions 2, random actions on zero 0, max actions 1
 - Run (99) 99 / 250 excecuted, epsilon 0.7076923076923062, random actions 1, random actions on zero 0, max actions 1
 - Run (100) 100 / 250 excecuted, epsilon 0.7128205128205113, random actions 0, random actions on zero 0, max actions 2
 - Run (101) 101 / 250 excecuted, epsilon 0.7179487179487164, random actions 1, random actions on zero 0, max actions 1
 - Run (102) 102 / 250 excecuted, epsilon 0.7230769230769215, random actions 0, random actions on zero 0, max actions 1
 - Run (103) 103 / 250 excecuted, epsilon 0.7282051282051266, random actions 1, random actions on zero 0, max actions 1
 - Run (104) 104 / 250 excecuted, epsilon 0.7333333333333317, random actions 0, random actions on zero 0, max actions 1
 - Run (105) 105 / 250 excecuted, epsilon 0.7384615384615368, random actions 0, random actions on zero 0, max actions 2
 - Run (106) 106 / 250 excecuted, epsilon 0.743589743589742, random actions 1, random actions on zero 0, max actions 0
 - Run (107) 107 / 250 excecuted, epsilon 0.7487179487179471, random actions 2, random actions on zero 0, max actions 2
 - Run (108) 108 / 250 excecuted, epsilon 0.7538461538461522, random actions 0, random actions on zero 0, max actions 2
 - Run (109) 109 / 250 excecuted, epsilon 0.7589743589743573, random actions 0, random actions on zero 0, max actions 2
 - Run (110) 110 / 250 excecuted, epsilon 0.7641025641025624, random actions 0, random actions on zero 0, max actions 2
 - Run (111) 111 / 250 excecuted, epsilon 0.7692307692307675, random actions 1, random actions on zero 0, max actions 1
 - Run (112) 112 / 250 excecuted, epsilon 0.7743589743589726, random actions 0, random actions on zero 0, max actions 2
 - Run (113) 113 / 250 excecuted, epsilon 0.7794871794871777, random actions 0, random actions on zero 0, max actions 1
 - Run (114) 114 / 250 excecuted, epsilon 0.7846153846153828, random actions 0, random actions on zero 0, max actions 1
 - Run (115) 115 / 250 excecuted, epsilon 0.7897435897435879, random actions 0, random actions on zero 0, max actions 2
 - Run (116) 116 / 250 excecuted, epsilon 0.794871794871793, random actions 0, random actions on zero 0, max actions 2
 - Run (117) 117 / 250 excecuted, epsilon 0.7999999999999982, random actions 0, random actions on zero 0, max actions 2
 - Run (118) 118 / 250 excecuted, epsilon 0.8051282051282033, random actions 0, random actions on zero 0, max actions 1
 - Run (119) 119 / 250 excecuted, epsilon 0.8102564102564084, random actions 1, random actions on zero 0, max actions 0
 - Run (120) 120 / 250 excecuted, epsilon 0.8153846153846135, random actions 0, random actions on zero 0, max actions 1
 - Run (121) 121 / 250 excecuted, epsilon 0.8205128205128186, random actions 0, random actions on zero 0, max actions 1
 - Run (122) 122 / 250 excecuted, epsilon 0.8256410256410237, random actions 1, random actions on zero 0, max actions 1
 - Run (123) 123 / 250 excecuted, epsilon 0.8307692307692288, random actions 1, random actions on zero 0, max actions 1
 - Run (124) 124 / 250 excecuted, epsilon 0.8358974358974339, random actions 0, random actions on zero 0, max actions 1
 - Run (125) 125 / 250 excecuted, epsilon 0.841025641025639, random actions 0, random actions on zero 0, max actions 2
