Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64178;16727;4347;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1566;234900;294500,0;0;"
"
2;57465;56751;20625;30;15;15;0;5;0;5;19199,999999999996;168000;50000;237200,0;5569;835350;1072550,0;0;-
3;57770;15934;4237;30;30;15;0;2;0;2;19199,999999999996;67199,99999999999;50000;136400,0;1492;223800;360200,0;0;-
4;70712;18103;5972;0;30;15;0;2;0;2;0;336000;50000;386000;1731;259650;645650;0;-
5;64725;17510;5308;15;0;15;0;2;0;2;9599,999999999998;0;50000;59600,0;1659;248850;308450,0;0;-
6;71314;15735;4972;0;15;15;0;1;0;1;0;168000;50000;218000;1484;222600;440600;0;-
7;70013;35595;14816;0;30;30;0;4;0;4;0;336000;50000;386000;3480;522000;908000;0;-
8;63977;16681;4161;15;15;15;0;1;0;1;9599,999999999998;33599,99999999999;50000;93200,0;1561;234150;327350,0;0;-
9;57860;22685;6844;30;0;30;0;3;0;3;19199,999999999996;0;50000;69200,0;2161;324150;393350,0;0; 
10;58301;21834;7687;30;30;15;1;2;0;3;19199,999999999996;201600,0;50000;270800,0;2094;314100;584900,0;0;E
11;64391;16727;5151;15;30;30;1;1;0;2;9599,999999999998;201600,0;50000;261200,0;1589;238350;499550,0;0;p
12;71017;18198;5422;0;15;30;1;1;0;2;0;168000;50000;218000;1733;259950;477950;0;o
13;57808;22452;6793;30;15;30;3;0;0;3;19199,999999999996;33599,99999999999;50000;102800,0;2138;320700;423500,0;0;c
14;64825;14158;3666;15;15;15;0;1;0;1;9599,999999999998;33599,99999999999;50000;93200,0;1313;196950;290150,0;0;h
15;64488;17608;4690;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1651;247650;307250,0;0;s
16;63842;16954;4547;15;15;15;1;0;0;1;9599,999999999998;33599,99999999999;50000;93200,0;1593;238950;332150,0;0;:
17;64607;22594;6858;15;15;15;2;0;0;2;9599,999999999998;168000;50000;227600,0;2153;322950;550550,0;0; 
18;57901;17757;4802;30;30;15;1;0;1;2;19199,999999999996;67199,99999999999;50000;136400,0;1666;249900;386300,0;0;2
19;64355;18236;6077;15;45;0;3;0;0;3;9599,999999999998;369600,0;0;379200,0;1739;260850;640050,0;0;0
20;70842;19206;6592;0;15;15;2;0;0;2;0;168000;50000;218000;1834;275100;493100;0;0
21;51733;31980;10190;45;0;30;3;0;1;4;28799,999999999996;0;50000;78800,0;3083;462450;541250,0;0;,
22;64114;16921;4386;15;15;15;2;0;0;2;9599,999999999998;33599,99999999999;50000;93200,0;1583;237450;330650,0;0; 
23;58136;19289;5364;30;0;30;1;0;1;2;19199,999999999996;0;50000;69200,0;1831;274650;343850,0;0;S
24;51430;32303;10143;45;15;30;2;0;2;4;28799,999999999996;168000;50000;246800,0;3113;466950;713750,0;0;t
25;64541;17059;4239;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1603;240450;300050,0;0;a
26;64195;19246;6186;15;15;15;1;0;1;2;9599,999999999998;168000;50000;227600,0;1840;276000;503600,0;0;r
27;71595;30758;11804;0;15;30;1;1;1;3;0;168000;50000;218000;2994;449100;667100;0;t
28;64395;16261;4922;15;15;30;1;1;0;2;9599,999999999998;168000;50000;227600,0;1537;230550;458150,0;0;i
29;57639;21692;6255;30;15;15;0;1;1;2;19199,999999999996;33599,99999999999;50000;102800,0;2068;310200;413000,0;0;n
30;63938;16544;4192;15;15;15;0;0;1;1;9599,999999999998;33599,99999999999;50000;93200,0;1553;232950;326150,0;0;g
31;57908;17243;4515;30;0;30;1;0;1;2;19199,999999999996;0;50000;69200,0;1616;242400;311600,0;0; 
32;64810;36782;13855;15;30;30;2;1;1;4;9599,999999999998;201600,0;50000;261200,0;3585;537750;798950,0;0;E
