Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64628;16666;4507;15;15;15;0;1;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1560;234000;296000,0;0;"
"
2;71092;17130;5179;0;30;30;0;2;0;2;0;24000,0;50000;74000,0;1626;243900;317900,0;0;-
3;70701;14803;4485;0;15;15;0;1;0;1;0;12000,0;50000;62000,0;1398;209700;271700,0;0;-
4;64098;17142;4611;15;15;0;0;2;0;2;9599,999999999998;2399,9999999999995;0;11999,999999999998;1608;241200;253200,0;0;-
5;65185;25051;7641;15;0;30;0;3;0;3;9599,999999999998;0;50000;59600,0;2394;359100;418700,0;0;-
6;64723;16148;3953;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1512;226800;286400,0;0;-
7;64576;19499;6405;15;30;15;0;2;0;2;9599,999999999998;14400,0;50000;74000,0;1859;278850;352850,0;0;-
8;57929;32578;12442;30;15;15;0;3;0;3;19199,999999999996;2399,9999999999995;50000;71600,0;3161;474150;545750,0;0;-
9;64863;18992;5614;15;0;30;0;2;0;2;9599,999999999998;0;50000;59600,0;1812;271800;331400,0;0; 
10;58707;22906;7015;30;0;30;0;3;0;3;19199,999999999996;0;50000;69200,0;2203;330450;399650,0;0;E
11;64790;16481;4259;15;15;15;1;1;0;2;9599,999999999998;12000,0;50000;71600,0;1539;230850;302450,0;0;p
12;64180;16177;4232;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1510;226500;286100,0;0;o
13;57975;57905;22115;30;15;15;1;4;0;5;19199,999999999996;2399,9999999999995;50000;71600,0;5694;854100;925700,0;0;c
14;64137;17471;4815;15;30;15;1;1;0;2;9599,999999999998;14400,0;50000;74000,0;1639;245850;319850,0;0;h
15;64379;17868;4868;15;15;15;0;0;1;1;9599,999999999998;2399,9999999999995;50000;62000,0;1685;252750;314750,0;0;s
16;58135;27164;8935;30;15;15;2;1;0;3;19199,999999999996;12000,0;50000;81200,0;2603;390450;471650,0;0;:
17;64436;28845;11320;15;30;30;1;2;0;3;9599,999999999998;14400,0;50000;74000,0;2792;418800;492800,0;0; 
18;42431;44444;16666;64;34;0;5;1;0;6;40799,99999999999;15000,0;0;55800,0;4523;678450;734250,0;0;2
19;65111;27081;10743;15;15;15;0;2;0;2;9599,999999999998;2399,9999999999995;50000;62000,0;2614;392100;454100,0;0;0
20;64582;16151;4029;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1510;226500;288500,0;0;0
21;64453;16082;4287;15;0;15;1;0;1;2;9599,999999999998;0;50000;59600,0;1511;226650;286250,0;0;,
22;71181;16240;4864;0;15;15;0;0;1;1;0;12000,0;50000;62000,0;1540;231000;293000,0;0; 
23;64109;15974;4241;15;30;15;0;1;1;2;9599,999999999998;14400,0;50000;74000,0;1487;223050;297050,0;0;S
24;58159;27834;9743;30;30;15;2;0;1;3;19199,999999999996;14400,0;50000;83600,0;2694;404100;487700,0;0;t
25;64052;17317;4519;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1623;243450;303050,0;0;a
26;58090;38724;12500;30;15;30;3;1;0;4;19199,999999999996;2399,9999999999995;50000;71600,0;3748;562200;633800,0;0;r
27;70846;17171;4930;0;0;30;1;0;1;2;0;0;50000;50000;1630;244500;294500;0;t
28;57559;16412;4779;30;30;0;2;0;0;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1531;229650;253650,0;0;i
29;64502;14852;3792;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1386;207900;269900,0;0;n
30;57947;18465;5200;30;15;0;2;0;0;2;19199,999999999996;2399,9999999999995;0;21599,999999999996;1740;261000;282600,0;0;g
31;71603;37767;15728;0;30;30;2;1;1;4;0;24000,0;50000;74000,0;3702;555300;629300,0;0; 
32;71128;16399;4976;0;15;15;0;0;1;1;0;12000,0;50000;62000,0;1553;232950;294950,0;0;E
33;70324;16299;4728;0;15;15;1;0;0;1;0;12000,0;50000;62000,0;1543;231450;293450,0;0;p
34;71134;19261;6928;0;30;15;1;0;1;2;0;24000,0;50000;74000,0;1840;276000;350000,0;0;s
35;64031;17840;4889;15;15;0;2;0;0;2;9599,999999999998;2399,9999999999995;0;11999,999999999998;1680;252000;264000,0;0;i
36;64696;17880;5294;15;0;15;1;0;1;2;9599,999999999998;0;50000;59600,0;1704;255600;315200,0;0;l
37;57471;16717;4518;30;15;15;1;0;1;2;19199,999999999996;2399,9999999999995;50000;71600,0;1564;234600;306200,0;0;o
38;51245;20750;6644;45;15;15;2;1;0;3;28799,999999999996;2399,9999999999995;50000;81200,0;1968;295200;376400,0;0;n
39;64405;17270;4596;15;30;0;2;0;0;2;9599,999999999998;14400,0;0;24000,0;1617;242550;266550,0;0;:
40;64587;16066;4051;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1504;225600;287600,0;0; 
41;64866;18504;5587;15;15;30;1;0;1;2;9599,999999999998;2399,9999999999995;50000;62000,0;1758;263700;325700,0;0;0
42;70765;17053;5030;0;15;15;0;0;1;1;0;12000,0;50000;62000,0;1622;243300;305300,0;0;,
43;70989;17967;5376;0;15;15;2;0;0;2;0;12000,0;50000;62000,0;1712;256800;318800,0;0;2
