Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;51108;18037;5066;45;15;0;0;3;0;3;28799,999999999996;14399,999999999998;0;43199,99999999999;1700;255000;298200,0;0;"
"
2;63972;30829;11932;15;45;15;0;4;0;4;9599,999999999998;158400,0;50000;218000,0;2994;449100;667100,0;0;-
3;64261;17533;5203;15;0;30;0;2;0;2;9599,999999999998;0;50000;59600,0;1664;249600;309200,0;0;-
4;71269;15768;4591;0;15;15;0;1;0;1;0;72000;50000;122000;1487;223050;345050;0;-
5;64286;17737;4787;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1669;250350;309950,0;0;-
6;58046;24420;7266;30;15;15;0;2;0;2;19199,999999999996;14399,999999999998;50000;83600,0;2330;349500;433100,0;0;-
7;65202;37701;15242;15;15;15;0;3;0;3;9599,999999999998;72000;50000;131600,0;3684;552600;684200,0;0;-
8;64411;15869;4030;15;15;15;0;1;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1476;221400;295400,0;0;-
9;64453;17494;4912;15;15;15;0;1;1;2;9599,999999999998;14399,999999999998;50000;74000,0;1643;246450;320450,0;0; 
10;65241;47529;18304;15;0;30;1;3;0;4;9599,999999999998;0;50000;59600,0;4658;698700;758300,0;0;E
11;64582;16024;4813;15;30;30;1;1;0;2;9599,999999999998;86400,0;50000;146000,0;1514;227100;373100,0;0;p
12;71125;18408;6194;0;30;15;2;1;0;3;0;144000;50000;194000;1759;263850;457850;0;o
13;63749;17266;4595;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1627;244050;318050,0;0;c
14;57691;19650;6225;30;15;15;1;1;0;2;19199,999999999996;14399,999999999998;50000;83600,0;1863;279450;363050,0;0;h
15;57624;17880;4888;30;15;0;1;0;1;2;19199,999999999996;14399,999999999998;0;33599,99999999999;1680;252000;285600,0;0;s
16;70498;17740;5216;0;15;30;1;1;0;2;0;72000;50000;122000;1697;254550;376550;0;:
17;68867;42558;19422;4;60;0;4;0;2;6;2399,9999999999995;288000;0;290400,0;4463;669450;959850,0;0; 
18;64548;16996;4364;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1600;240000;299600,0;0;2
19;70681;16243;4686;0;15;15;1;0;0;1;0;72000;50000;122000;1539;230850;352850;0;0
20;70837;15131;4557;0;15;15;1;0;0;1;0;72000;50000;122000;1430;214500;336500;0;0
21;64780;18022;5285;15;15;30;2;0;0;2;9599,999999999998;14399,999999999998;50000;74000,0;1716;257400;331400,0;0;,
22;51536;26486;8684;45;30;15;2;0;1;3;28799,999999999996;28799,999999999996;50000;107600,0;2535;380250;487850,0;0; 
23;71104;20581;7374;0;30;15;2;0;0;2;0;144000;50000;194000;1975;296250;490250;0;S
24;64254;16630;4499;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1557;233550;293150,0;0;t
25;64268;16130;4161;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1509;226350;300350,0;0;a
26;64219;15285;4229;15;15;15;1;0;1;2;9599,999999999998;14399,999999999998;50000;74000,0;1431;214650;288650,0;0;r
27;57850;16778;4452;30;30;0;1;0;1;2;19199,999999999996;28799,999999999996;0;47999,99999999999;1567;235050;283050,0;0;t
28;64451;15855;4196;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1482;222300;296300,0;0;i
29;64503;16048;4068;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1495;224250;283850,0;0;n
30;57471;16069;3974;30;0;30;1;0;1;2;19199,999999999996;0;50000;69200,0;1504;225600;294800,0;0;g
31;70575;17786;5454;0;15;15;1;0;0;1;0;72000;50000;122000;1694;254100;376100;0; 
32;70880;17078;5336;0;15;30;0;0;2;2;0;72000;50000;122000;1626;243900;365900;0;E
33;64520;30367;10953;15;15;15;1;1;0;2;9599,999999999998;14399,999999999998;50000;74000,0;2948;442200;516200,0;0;p
34;64667;17066;4415;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1605;240750;300350,0;0;s
35;64796;16775;4526;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1571;235650;295250,0;0;i
36;64302;16136;4467;15;30;0;2;0;0;2;9599,999999999998;86400,0;0;96000,0;1507;226050;322050,0;0;l
37;58615;27096;9492;30;30;15;3;1;0;4;19199,999999999996;86400,0;50000;155600,0;2618;392700;548300,0;0;o
38;70718;16172;4993;0;15;15;1;0;0;1;0;72000;50000;122000;1528;229200;351200;0;n
39;71138;16690;5095;0;15;30;2;0;0;2;0;72000;50000;122000;1583;237450;359450;0;:
40;58467;38865;14244;30;0;15;2;1;1;4;19199,999999999996;0;50000;69200,0;3788;568200;637400,0;0; 
41;57803;17842;4729;30;30;15;1;0;1;2;19199,999999999996;28799,999999999996;50000;98000,0;1676;251400;349400,0;0;0
42;64497;16926;4561;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1591;238650;312650,0;0;,
43;58075;15564;4378;30;15;0;1;0;1;2;19199,999999999996;14399,999999999998;0;33599,99999999999;1449;217350;250950,0;0;2
