Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;57930;18195;4688;30;0;30;0;2;0;2;19199,999999999996;0;50000;69200,0;1709;256350;325550,0;0;"
"
2;71493;30917;12094;0;0;30;0;3;0;3;0;0;50000;50000;3008;451200;501200;0;-
3;57947;26993;8559;30;30;15;0;3;0;3;19199,999999999996;7200,0;50000;76400,0;2590;388500;464900,0;0;-
4;71134;17223;5133;0;15;15;0;1;0;1;0;6000,0;50000;56000,0;1634;245100;301100,0;0;-
5;64689;17946;4879;15;15;15;0;1;0;1;9599,999999999998;1199,9999999999998;50000;60800,0;1687;253050;313850,0;0;-
6;65065;19788;6544;15;15;15;0;2;0;2;9599,999999999998;6000,0;50000;65600,0;1885;282750;348350,0;0;-
7;57789;17451;4862;30;15;0;0;2;0;2;19199,999999999996;1199,9999999999998;0;20399,999999999996;1642;246300;266700,0;0;-
8;64691;17087;5175;15;15;15;0;2;0;2;9599,999999999998;1199,9999999999998;50000;60800,0;1625;243750;304550,0;0;-
9;64296;18212;5150;15;15;15;0;1;1;2;9599,999999999998;1199,9999999999998;50000;60800,0;1713;256950;317750,0;0; 
10;70980;16165;4887;0;30;30;0;1;1;2;0;12000,0;50000;62000,0;1529;229350;291350,0;0;E
11;71139;16890;5087;0;15;15;1;0;0;1;0;6000,0;50000;56000,0;1601;240150;296150,0;0;p
12;71190;16824;5141;0;15;15;1;0;0;1;0;6000,0;50000;56000,0;1591;238650;294650,0;0;o
13;71099;18080;5442;0;0;15;1;1;0;2;0;0;50000;50000;1718;257700;307700;0;c
14;71602;38068;15643;0;30;15;1;2;0;3;0;12000,0;50000;62000,0;3719;557850;619850,0;0;h
15;51573;30561;9975;45;30;30;2;1;1;4;28799,999999999996;7200,0;50000;86000,0;2955;443250;529250,0;0;s
16;51445;26595;8557;45;30;0;2;0;1;3;28799,999999999996;2399,9999999999995;0;31199,999999999996;2542;381300;412500,0;0;:
17;70977;17260;5270;0;15;15;1;1;0;2;0;6000,0;50000;56000,0;1638;245700;301700,0;0; 
18;63986;17091;4427;15;15;30;1;0;1;2;9599,999999999998;6000,0;50000;65600,0;1603;240450;306050,0;0;2
19;64529;17036;4412;15;15;30;2;0;0;2;9599,999999999998;6000,0;50000;65600,0;1596;239400;305000,0;0;0
