Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;71008;17097;5199;0;0;30;0;2;0;2;0;0;50000;50000;1618;242700;292700;0;"
"
2;64266;16001;3902;15;15;15;0;1;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1493;223950;285950,0;0;-
3;64532;18676;5238;15;30;15;0;2;0;2;9599,999999999998;14400,0;50000;74000,0;1757;263550;337550,0;0;-
4;64207;17173;4645;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1611;241650;301250,0;0;-
5;64966;19783;6479;15;30;15;0;2;0;2;9599,999999999998;14400,0;50000;74000,0;1892;283800;357800,0;0;-
6;58310;24270;6995;30;0;15;0;2;0;2;19199,999999999996;0;50000;69200,0;2314;347100;416300,0;0;-
7;71056;17013;5194;0;15;15;0;1;0;1;0;12000,0;50000;62000,0;1616;242400;304400,0;0;-
8;64219;13644;3535;15;15;15;0;1;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1266;189900;251900,0;0;-
9;58358;40461;15464;30;30;0;0;4;0;4;19199,999999999996;14400,0;0;33600,0;3954;593100;626700,0;0; 
10;64404;16542;4510;15;15;15;1;1;0;2;9599,999999999998;2399,9999999999995;50000;62000,0;1551;232650;294650,0;0;E
11;64324;18480;5196;15;15;15;0;0;1;1;9599,999999999998;2399,9999999999995;50000;62000,0;1748;262200;324200,0;0;p
12;70968;16338;5016;0;15;30;0;2;0;2;0;12000,0;50000;62000,0;1548;232200;294200,0;0;o
13;63957;16672;4127;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1566;234900;294500,0;0;c
14;71168;17468;5400;0;0;15;0;1;1;2;0;0;50000;50000;1660;249000;299000;0;h
15;71434;16413;4861;0;15;15;1;0;0;1;0;12000,0;50000;62000,0;1553;232950;294950,0;0;s
16;61956;69184;30186;19;19;4;1;4;1;6;11999,999999999998;12600,0;50000;74600,0;6876;1031400;1106000,0;0;:
17;58016;30376;11124;30;15;30;1;2;0;3;19199,999999999996;2399,9999999999995;50000;71600,0;2934;440100;511700,0;0; 
18;70542;16751;5054;0;15;15;1;0;0;1;0;12000,0;50000;62000,0;1585;237750;299750,0;0;2
19;64509;17996;5332;15;0;30;1;1;0;2;9599,999999999998;0;50000;59600,0;1715;257250;316850,0;0;0
20;70988;16320;4933;0;15;15;1;0;0;1;0;12000,0;50000;62000,0;1548;232200;294200,0;0;0
21;57959;28244;9043;30;15;15;1;1;1;3;19199,999999999996;12000,0;50000;81200,0;2717;407550;488750,0;0;,
22;64408;17944;5832;15;30;15;2;0;0;2;9599,999999999998;14400,0;50000;74000,0;1706;255900;329900,0;0; 
23;57784;17720;5003;30;30;15;1;0;1;2;19199,999999999996;4799,999999999999;50000;74000,0;1658;248700;322700,0;0;S
24;64638;22092;7816;15;15;30;3;0;0;3;9599,999999999998;12000,0;50000;71600,0;2119;317850;389450,0;0;t
25;64191;16956;4248;15;15;30;1;0;1;2;9599,999999999998;12000,0;50000;71600,0;1591;238650;310250,0;0;a
26;71455;29508;11563;0;15;30;1;1;1;3;0;12000,0;50000;62000,0;2866;429900;491900,0;0;r
27;57716;17202;4438;30;15;30;1;0;1;2;19199,999999999996;2399,9999999999995;50000;71600,0;1618;242700;314300,0;0;t
28;71070;13658;4232;0;15;15;0;1;0;1;0;12000,0;50000;62000,0;1281;192150;254150,0;0;i
29;57597;16551;4393;30;15;0;2;0;0;2;19199,999999999996;2399,9999999999995;0;21599,999999999996;1547;232050;253650,0;0;n
30;57178;16999;4122;30;0;30;2;0;0;2;19199,999999999996;0;50000;69200,0;1593;238950;308150,0;0;g
31;64333;17246;4408;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1617;242550;304550,0;0; 
32;70882;18534;6383;0;30;15;1;0;1;2;0;24000,0;50000;74000,0;1768;265200;339200,0;0;E
33;64036;16937;4273;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1590;238500;298100,0;0;p
34;57670;17061;4629;30;30;15;1;0;1;2;19199,999999999996;4799,999999999999;50000;74000,0;1597;239550;313550,0;0;s
35;64601;18122;4991;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1715;257250;316850,0;0;i
36;64596;19094;6340;15;15;15;1;0;1;2;9599,999999999998;12000,0;50000;71600,0;1823;273450;345050,0;0;l
37;64691;17116;4963;15;30;0;2;0;0;2;9599,999999999998;14400,0;0;24000,0;1604;240600;264600,0;0;o
38;64807;17164;4649;15;15;15;0;0;1;1;9599,999999999998;2399,9999999999995;50000;62000,0;1608;241200;303200,0;0;n
39;71553;15737;5289;0;0;30;1;0;1;2;0;0;50000;50000;1493;223950;273950;0;:
40;57949;27796;8992;30;30;30;1;1;2;4;19199,999999999996;14400,0;50000;83600,0;2674;401100;484700,0;0; 
41;50993;28353;9359;45;30;30;1;1;2;4;28799,999999999996;14400,0;50000;93200,0;2730;409500;502700,0;0;0
42;51918;34656;10747;45;15;30;1;2;2;5;28799,999999999996;2399,9999999999995;50000;81200,0;3353;502950;584150,0;0;,
43;70992;22050;7825;0;30;15;1;1;0;2;0;24000,0;50000;74000,0;2123;318450;392450,0;0;2
44;70511;15926;4754;0;15;15;0;0;1;1;0;12000,0;50000;62000,0;1509;226350;288350,0;0; 
