Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64858;26048;8130;15;15;15;0;3;0;3;9599,999999999998;18000,0;50000;77600,0;2499;374850;452450,0;0;"
"
2;70949;17933;5708;0;30;15;0;2;0;2;0;36000,0;50000;86000,0;1712;256800;342800,0;0;-
3;71149;17322;5224;0;15;15;0;2;0;2;0;18000,0;50000;68000,0;1650;247500;315500,0;0;-
4;64463;16514;4306;15;15;15;0;1;0;1;9599,999999999998;3599,9999999999995;50000;63200,0;1545;231750;294950,0;0;-
5;64380;17215;4611;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1619;242850;302450,0;0;-
6;64892;30671;11162;15;0;15;0;2;0;2;9599,999999999998;0;50000;59600,0;2975;446250;505850,0;0;-
7;48866;44259;15270;49;19;4;0;6;0;6;31199,999999999996;4499,999999999999;50000;85700,0;4343;651450;737150,0;0;-
8;58029;14457;3660;30;15;15;0;2;0;2;19199,999999999996;3599,9999999999995;50000;72800,0;1341;201150;273950,0;0;-
9;70297;17935;5429;0;0;30;0;2;0;2;0;0;50000;50000;1712;256800;306800;0; 
10;64446;14834;3852;15;15;15;0;0;1;1;9599,999999999998;3599,9999999999995;50000;63200,0;1370;205500;268700,0;0;E
11;58767;28837;10000;30;30;15;1;2;0;3;19199,999999999996;21600,0;50000;90800,0;2793;418950;509750,0;0;p
12;64765;16823;4552;15;15;0;1;0;0;1;9599,999999999998;3599,9999999999995;0;13199,999999999998;1573;235950;249150,0;0;o
13;51395;21420;6432;45;0;30;0;3;0;3;28799,999999999996;0;50000;78800,0;2035;305250;384050,0;0;c
14;64202;17014;4594;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1593;238950;298550,0;0;h
15;58524;25046;7607;30;15;30;2;1;0;3;19199,999999999996;3599,9999999999995;50000;72800,0;2393;358950;431750,0;0;s
16;65468;38294;14776;15;15;30;2;2;0;4;9599,999999999998;18000,0;50000;77600,0;3736;560400;638000,0;0;:
17;57592;17048;4250;30;15;15;1;0;1;2;19199,999999999996;3599,9999999999995;50000;72800,0;1601;240150;312950,0;0; 
18;64371;17394;4492;15;15;15;1;0;0;1;9599,999999999998;3599,9999999999995;50000;63200,0;1634;245100;308300,0;0;2
19;64810;18042;6337;15;15;15;2;0;0;2;9599,999999999998;18000,0;50000;77600,0;1717;257550;335150,0;0;0
20;57759;22719;6611;30;15;15;3;0;0;3;19199,999999999996;18000,0;50000;87200,0;2170;325500;412700,0;0;0
21;70248;17678;5383;0;15;15;1;0;0;1;0;18000,0;50000;68000,0;1683;252450;320450,0;0;,
22;71106;17994;5502;0;0;30;0;0;2;2;0;0;50000;50000;1711;256650;306650;0; 
23;70240;17396;5112;0;15;15;2;0;0;2;0;18000,0;50000;68000,0;1652;247800;315800,0;0;S
24;71624;31730;12004;0;15;15;2;1;0;3;0;18000,0;50000;68000,0;3092;463800;531800,0;0;t
25;64599;16153;4153;15;15;15;1;0;0;1;9599,999999999998;3599,9999999999995;50000;63200,0;1503;225450;288650,0;0;a
26;71146;17245;5183;0;15;15;0;0;1;1;0;18000,0;50000;68000,0;1635;245250;313250,0;0;r
27;57744;17922;4970;30;15;15;1;0;1;2;19199,999999999996;3599,9999999999995;50000;72800,0;1690;253500;326300,0;0;t
28;70849;16866;4852;0;30;15;1;1;0;2;0;36000,0;50000;86000,0;1602;240300;326300,0;0;i
29;64309;17652;4764;15;15;15;1;0;0;1;9599,999999999998;3599,9999999999995;50000;63200,0;1660;249000;312200,0;0;n
30;64614;18424;5536;15;0;30;2;0;0;2;9599,999999999998;0;50000;59600,0;1761;264150;323750,0;0;g
31;64558;18306;5930;15;30;0;1;0;1;2;9599,999999999998;21600,0;0;31200,0;1753;262950;294150,0;0; 
32;64761;18070;6159;15;30;15;1;0;1;2;9599,999999999998;21600,0;50000;81200,0;1718;257700;338900,0;0;E
