Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64522;19762;6401;15;30;0;0;2;0;2;9599,999999999998;86400,0;0;96000,0;1891;283650;379650,0;0;"
"
2;51621;41669;15444;45;30;30;0;5;0;5;28799,999999999996;86400,0;50000;165200,0;4080;612000;777200,0;0;-
3;64587;16717;4439;15;15;15;0;1;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1569;235350;309350,0;0;-
4;71004;16329;4910;0;15;15;0;1;0;1;0;72000;50000;122000;1550;232500;354500;0;-
5;51810;29188;8305;45;30;15;0;4;0;4;28799,999999999996;28799,999999999996;50000;107600,0;2800;420000;527600,0;0;-
6;64526;17836;4761;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1676;251400;311000,0;0;-
7;58102;27478;9323;30;45;30;0;4;0;4;19199,999999999996;158400,0;50000;227600,0;2638;395700;623300,0;0;-
8;65099;17776;5296;15;15;30;0;2;0;2;9599,999999999998;14399,999999999998;50000;74000,0;1691;253650;327650,0;0;-
9;71004;17676;5285;0;0;30;1;1;0;2;0;0;50000;50000;1677;251550;301550;0; 
10;64024;18725;6070;15;30;15;1;1;0;2;9599,999999999998;86400,0;50000;146000,0;1784;267600;413600,0;0;E
11;70902;17959;5396;0;15;30;1;1;0;2;0;72000;50000;122000;1706;255900;377900;0;p
12;64465;16577;4335;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1549;232350;291950,0;0;o
13;71018;16680;4863;0;15;15;2;0;0;2;0;72000;50000;122000;1583;237450;359450;0;c
14;71636;32131;12415;0;0;30;1;1;1;3;0;0;50000;50000;3124;468600;518600;0;h
15;70773;16864;4956;0;15;15;1;0;0;1;0;72000;50000;122000;1604;240600;362600;0;s
16;57734;17140;4353;30;15;15;2;0;0;2;19199,999999999996;14399,999999999998;50000;83600,0;1609;241350;324950,0;0;:
17;63824;16448;4513;15;15;15;1;1;0;2;9599,999999999998;14399,999999999998;50000;74000,0;1542;231300;305300,0;0; 
18;64223;17023;5494;15;30;30;1;0;1;2;9599,999999999998;86400,0;50000;146000,0;1612;241800;387800,0;0;2
19;63931;17567;4872;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1649;247350;321350,0;0;0
20;64580;24854;7454;15;0;30;3;0;0;3;9599,999999999998;0;50000;59600,0;2385;357750;417350,0;0;0
21;70642;18715;6261;0;15;15;2;0;0;2;0;72000;50000;122000;1786;267900;389900;0;,
22;69765;16286;5142;0;15;15;1;0;0;1;0;72000;50000;122000;1542;231300;353300;0; 
23;64527;14298;3720;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1325;198750;258350,0;0;S
24;64247;16197;4270;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1517;227550;301550,0;0;t
25;64346;17182;4541;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1611;241650;315650,0;0;a
26;64288;18141;4942;15;30;0;1;0;1;2;9599,999999999998;86400,0;0;96000,0;1707;256050;352050,0;0;r
27;56875;61056;24831;30;19;15;3;3;0;6;19199,999999999996;90000;50000;159200,0;6019;902850;1062050,0;0;t
28;52105;33369;10491;45;15;15;2;1;0;3;28799,999999999996;14399,999999999998;50000;93200,0;3221;483150;576350,0;0;i
29;64565;17275;4556;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1621;243150;302750,0;0;n
30;64726;30508;11252;15;0;30;2;1;0;3;9599,999999999998;0;50000;59600,0;2956;443400;503000,0;0;g
31;70799;17704;5104;0;15;30;2;0;0;2;0;72000;50000;122000;1685;252750;374750;0; 
32;57807;16729;4304;30;30;15;1;0;1;2;19199,999999999996;28799,999999999996;50000;98000,0;1565;234750;332750,0;0;E
33;64201;16628;4379;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1557;233550;307550,0;0;p
34;64435;15455;3974;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1441;216150;275750,0;0;s
35;63963;17715;5007;15;30;0;1;0;1;2;9599,999999999998;86400,0;0;96000,0;1665;249750;345750,0;0;i
36;44467;51532;17965;60;15;15;2;2;1;5;38399,99999999999;14399,999999999998;50000;102800,0;5024;753600;856400,0;0;l
37;51454;21000;6372;45;0;15;2;1;0;3;28799,999999999996;0;50000;78800,0;1992;298800;377600,0;0;o
38;64343;17932;5002;15;15;0;2;0;0;2;9599,999999999998;14399,999999999998;0;23999,999999999996;1686;252900;276900,0;0;n
39;71254;49465;22325;0;15;15;2;2;0;4;0;72000;50000;122000;4861;729150;851150;0;:
40;57984;24119;8779;30;60;0;1;1;2;4;19199,999999999996;172800,0;0;192000,0;2323;348450;540450,0;0; 
41;64297;16903;4332;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1588;238200;297800,0;0;0
42;57831;17809;4933;30;30;15;0;0;2;2;19199,999999999996;28799,999999999996;50000;98000,0;1672;250800;348800,0;0;,
43;64803;18226;4963;15;30;15;1;0;1;2;9599,999999999998;86400,0;50000;146000,0;1711;256650;402650,0;0;2
44;64614;14480;4196;15;30;15;1;1;0;2;9599,999999999998;86400,0;50000;146000,0;1347;202050;348050,0;0; 
45;57798;16481;4259;30;15;30;1;0;1;2;19199,999999999996;14399,999999999998;50000;83600,0;1539;230850;314450,0;0;-
46;64180;16177;4232;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1510;226500;286100,0;0;-
47;71305;37786;15420;0;30;15;2;1;0;3;0;144000;50000;194000;3701;555150;749150;0;-
48;57578;17469;4812;30;30;15;1;0;1;2;19199,999999999996;28799,999999999996;50000;98000,0;1639;245850;343850,0;0;-
49;64451;18778;5740;15;15;30;1;0;1;2;9599,999999999998;14399,999999999998;50000;74000,0;1794;269100;343100,0;0;-
50;58135;27164;8935;30;15;15;1;1;1;3;19199,999999999996;72000;50000;141200,0;2603;390450;531650,0;0;-
51;64609;28887;10727;15;15;15;1;1;0;2;9599,999999999998;14399,999999999998;50000;74000,0;2789;418350;492350,0;0;-
52;64538;15941;3786;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1492;223800;297800,0;0;-
53;71646;27062;11466;0;30;15;1;2;0;3;0;144000;50000;194000;2626;393900;587900;0;-
54;64582;16151;4029;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1510;226500;300500,0;0;-
55;57888;16082;4287;30;0;30;0;0;2;2;19199,999999999996;0;50000;69200,0;1511;226650;295850,0;0;-
56;64733;17153;5149;15;15;30;1;0;1;2;9599,999999999998;14399,999999999998;50000;74000,0;1630;244500;318500,0;0;-
57;64027;14908;3603;15;15;15;0;1;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1383;207450;281450,0;0;-
58;63919;16037;4137;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1497;224550;284150,0;0;-
59;64052;17317;4519;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1623;243450;303050,0;0;-
60;57649;18120;5178;30;30;15;1;0;1;2;19199,999999999996;28799,999999999996;50000;98000,0;1709;256350;354350,0;0;-
61;64348;16315;3995;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1525;228750;302750,0;0;-
62;57894;16418;4772;30;30;15;1;0;1;2;19199,999999999996;28799,999999999996;50000;98000,0;1531;229650;327650,0;0;-
63;64502;14852;3792;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1386;207900;281900,0;0;-
64;64794;18258;4874;15;15;30;0;0;2;2;9599,999999999998;72000;50000;131600,0;1717;257550;389150,0;0;-
65;64769;28553;10913;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;2773;415950;475550,0;0;-
66;64697;17531;5314;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1669;250350;309950,0;0;-
67;70324;16299;4728;0;15;15;1;0;0;1;0;72000;50000;122000;1543;231450;353450;0;-
68;64949;19295;6692;15;30;15;1;0;1;2;9599,999999999998;86400,0;50000;146000,0;1839;275850;421850,0;0;-
69;57429;17842;4893;30;15;15;1;0;1;2;19199,999999999996;14399,999999999998;50000;83600,0;1680;252000;335600,0;0;-
70;64288;17014;4397;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1595;239250;313250,0;0;-
71;57471;16717;4518;30;15;15;1;0;1;2;19199,999999999996;14399,999999999998;50000;83600,0;1564;234600;318200,0;0;-
72;64696;19244;6930;15;15;15;0;1;1;2;9599,999999999998;72000;50000;131600,0;1837;275550;407150,0;0;-
73;64405;17270;4596;15;30;0;2;0;0;2;9599,999999999998;86400,0;0;96000,0;1617;242550;338550,0;0;-
74;64587;16066;4051;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1504;225600;299600,0;0;-
75;58292;17990;4981;30;30;0;1;0;1;2;19199,999999999996;28799,999999999996;0;47999,99999999999;1689;253350;301350,0;0;-
76;51301;18623;5284;45;30;0;1;0;2;3;28799,999999999996;28799,999999999996;0;57599,99999999999;1754;263100;320700,0;0;-
77;57742;18116;5110;30;30;0;0;0;2;2;19199,999999999996;28799,999999999996;0;47999,99999999999;1711;256650;304650,0;0;-
78;64048;15883;4496;15;15;0;1;0;1;2;9599,999999999998;14399,999999999998;0;23999,999999999996;1482;222300;246300,0;0;-
79;57756;17522;4830;30;30;0;0;0;2;2;19199,999999999996;28799,999999999996;0;47999,99999999999;1645;246750;294750,0;0;-
80;57485;21759;7079;30;45;0;1;0;2;3;19199,999999999996;100800,0;0;120000,0;2088;313200;433200,0;0;-
81;57983;17786;4944;30;15;15;1;0;1;2;19199,999999999996;14399,999999999998;50000;83600,0;1674;251100;334700,0;0;-
82;64728;17469;4524;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1642;246300;320300,0;0;-
83;64097;16821;4559;15;15;0;2;0;0;2;9599,999999999998;14399,999999999998;0;23999,999999999996;1574;236100;260100,0;0;-
84;64292;15053;3964;15;15;0;0;0;2;2;9599,999999999998;14399,999999999998;0;23999,999999999996;1401;210150;234150,0;0;-
85;57742;32642;11075;30;30;15;2;0;1;3;19199,999999999996;28799,999999999996;50000;98000,0;3149;472350;570350,0;0;-
86;64466;17418;4525;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1640;246000;305600,0;0;-
87;65190;23140;8014;15;30;15;2;1;0;3;9599,999999999998;86400,0;50000;146000,0;2229;334350;480350,0;0;-
88;64902;16999;5252;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1621;243150;302750,0;0;-
89;64730;16953;5148;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1615;242250;301850,0;0;-
90;64861;18370;5619;15;0;15;1;0;1;2;9599,999999999998;0;50000;59600,0;1747;262050;321650,0;0;-
91;65148;16495;5121;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1559;233850;293450,0;0;-
92;64631;18205;5237;15;15;0;2;0;0;2;9599,999999999998;14399,999999999998;0;23999,999999999996;1722;258300;282300,0;0;-
93;64743;15979;4181;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1495;224250;298250,0;0;-
94;64332;17659;4919;15;15;0;0;0;2;2;9599,999999999998;14399,999999999998;0;23999,999999999996;1658;248700;272700,0;0;-
95;58055;36869;13723;30;15;19;0;2;4;6;19199,999999999996;14399,999999999998;50000;83600,0;3660;549000;632600,0;0;-
96;57692;17281;4516;30;0;30;0;0;2;2;19199,999999999996;0;50000;69200,0;1616;242400;311600,0;0;-
97;64677;17027;4463;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1594;239100;298700,0;0;-
98;64600;17364;4618;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1632;244800;304400,0;0;-
99;58017;19196;5568;30;15;30;0;0;2;2;19199,999999999996;14399,999999999998;50000;83600,0;1822;273300;356900,0;0;-
100;64352;36958;13149;15;30;15;2;1;0;3;9599,999999999998;86400,0;50000;146000,0;3603;540450;686450,0;0;-
101;63953;16373;4020;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1528;229200;303200,0;0;-
102;64444;17281;5163;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1643;246450;306050,0;0;-
103;64183;17088;5025;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1626;243900;303500,0;0;-
104;51687;23914;7237;45;0;30;2;0;1;3;28799,999999999996;0;50000;78800,0;2279;341850;420650,0;0;-
105;71464;17158;5271;0;15;30;0;0;2;2;0;72000;50000;122000;1633;244950;366950;0;-
106;64440;15966;4254;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1492;223800;297800,0;0;-
107;64527;16467;4290;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1542;231300;305300,0;0;-
108;64639;16770;4411;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1568;235200;309200,0;0;-
109;64422;16225;4292;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1517;227550;301550,0;0;-
110;64647;15780;4744;15;15;30;0;1;1;2;9599,999999999998;14399,999999999998;50000;74000,0;1489;223350;297350,0;0;-
111;64464;17330;4597;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1626;243900;317900,0;0;-
112;64358;17271;4398;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1614;242100;301700,0;0;-
113;64304;16416;4113;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1532;229800;289400,0;0;-
114;64217;16592;4284;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1552;232800;292400,0;0;-
115;57853;16844;4563;30;15;30;0;0;2;2;19199,999999999996;14399,999999999998;50000;83600,0;1578;236700;320300,0;0;-
116;63787;16961;4314;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1591;238650;298250,0;0;-
117;64074;17279;4553;15;15;15;1;0;0;1;9599,999999999998;14399,999999999998;50000;74000,0;1619;242850;316850,0;0;-
118;64561;17998;4863;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1699;254850;314450,0;0;-
119;64217;16900;4397;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1585;237750;297350,0;0;-
120;64363;14508;3820;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1346;201900;261500,0;0;-
121;58137;15277;3909;30;15;30;0;0;2;2;19199,999999999996;14399,999999999998;50000;83600,0;1425;213750;297350,0;0;-
122;57820;17376;4378;30;15;30;0;0;2;2;19199,999999999996;14399,999999999998;50000;83600,0;1625;243750;327350,0;0;"
"
123;64156;18976;5185;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1799;269850;329450,0;0;"
"
124;57890;16740;4268;30;15;30;0;0;2;2;19199,999999999996;14399,999999999998;50000;83600,0;1562;234300;317900,0;0;"
"
125;63951;16981;4307;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1592;238800;298400,0;0; 
126;42937;49082;16604;64;0;15;2;0;4;6;40799,99999999999;0;50000;90800,0;5110;766500;857300,0;0;-
127;64281;17297;4389;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1627;244050;303650,0;0; 
128;64471;18133;4913;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1709;256350;315950,0;0;R
129;64461;16642;4222;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1561;234150;293750,0;0;u
130;64301;16941;4167;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1589;238350;297950,0;0;n
131;64344;17762;4480;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1667;250050;309650,0;0; 
132;64295;17332;4744;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1625;243750;303350,0;0;(
133;65213;13181;3441;15;15;15;0;0;1;1;9599,999999999998;14399,999999999998;50000;74000,0;1214;182100;256100,0;0;1
134;64583;16599;3985;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1556;233400;293000,0;0;)
135;64329;18038;5143;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1697;254550;314150,0;0; 
136;64392;17433;4592;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1644;246600;306200,0;0;1
137;64465;15133;3890;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1408;211200;270800,0;0; 
138;64364;17359;4583;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1630;244500;304100,0;0;/
139;64134;15789;3953;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1470;220500;280100,0;0; 
140;64882;17970;5053;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1697;254550;314150,0;0;2
141;64467;16669;4402;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1563;234450;294050,0;0;5
142;64255;16906;4306;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1582;237300;296900,0;0;0
143;64632;17394;4622;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1630;244500;304100,0;0; 
144;64012;16457;4109;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1537;230550;290150,0;0;e
145;64800;18548;5198;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1754;263100;322700,0;0;x
146;64443;17880;4600;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1680;252000;311600,0;0;c
147;64361;15830;4230;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1483;222450;282050,0;0;e
148;64129;17067;4421;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1602;240300;299900,0;0;c
149;64607;16505;4301;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1544;231600;291200,0;0;u
150;63713;17148;4554;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1612;241800;301400,0;0;t
151;64411;17493;4630;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1641;246150;305750,0;0;e
152;64300;17345;4463;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1624;243600;303200,0;0;d
153;64363;16573;4306;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1551;232650;292250,0;0;,
154;64369;16317;4266;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1524;228600;288200,0;0; 
155;64235;16191;3910;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1517;227550;287150,0;0;e
156;57451;14714;4163;30;30;15;0;0;2;2;19199,999999999996;28799,999999999996;50000;98000,0;1361;204150;302150,0;0;p
157;64143;15770;3864;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1470;220500;280100,0;0;s
158;64424;17032;4483;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1595;239250;298850,0;0;i
159;64678;16560;4219;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1554;233100;292700,0;0;l
160;64342;17491;4609;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1642;246300;305900,0;0;o
161;64263;16566;4161;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1554;233100;292700,0;0;n
162;64325;17363;4499;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1634;245100;304700,0;0; 
163;64428;17291;4537;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1621;243150;302750,0;0;0
164;63947;16153;3906;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1507;226050;285650,0;0;,
165;64358;17044;4550;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1600;240000;299600,0;0;2
166;63936;17846;4627;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1685;252750;312350,0;0;0
167;64767;17087;4387;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1603;240450;300050,0;0;5
168;64495;17770;4704;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1673;250950;310550,0;0;1
169;64493;16872;4429;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1581;237150;296750,0;0;2
170;64140;16500;4037;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1546;231900;291500,0;0;8
171;64272;17246;4406;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1622;243300;302900,0;0;2
172;64343;16382;4097;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1536;230400;290000,0;0;0
173;64181;16000;4030;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1494;224100;283700,0;0;5
174;64619;17418;4633;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1633;244950;304550,0;0;1
175;64645;17793;4703;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1673;250950;310550,0;0;2
176;64430;17213;4432;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1614;242100;301700,0;0;8
177;64009;17608;4715;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1653;247950;307550,0;0;2
178;64486;17692;4600;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1674;251100;310700,0;0;0
179;64395;16502;4252;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1544;231600;291200,0;0;5
180;63978;16440;4184;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1541;231150;290750,0;0;1
181;64432;17318;4557;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1628;244200;303800,0;0;5
