Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;51588;25276;7630;45;0;15;0;3;0;3;28799,999999999996;0;50000;78800,0;2416;362400;441200,0;0;"
"
2;71123;17099;5379;0;15;15;0;1;0;1;0;96000;50000;146000;1622;243300;389300;0;-
3;64740;14752;3865;15;15;15;0;1;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1371;205650;284450,0;0;-
4;63743;16583;4659;15;15;15;0;2;0;2;9599,999999999998;19199,999999999996;50000;78800,0;1555;233250;312050,0;0;-
5;71357;20724;7161;0;45;15;0;3;0;3;0;288000;50000;338000;1985;297750;635750;0;-
6;70240;18541;5531;0;15;30;0;2;0;2;0;96000;50000;146000;1768;265200;411200;0;-
7;64525;15208;3842;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1414;212100;271700,0;0;-
8;65400;30170;11362;15;15;15;0;2;0;2;9599,999999999998;19199,999999999996;50000;78800,0;2922;438300;517100,0;0;-
9;64604;16439;4660;15;15;0;0;1;1;2;9599,999999999998;19199,999999999996;0;28799,999999999996;1535;230250;259050,0;0; 
10;64951;37411;13755;15;15;30;1;3;0;4;9599,999999999998;19199,999999999996;50000;78800,0;3653;547950;626750,0;0;E
11;57707;17702;4752;30;15;15;1;1;0;2;19199,999999999996;19199,999999999996;50000;88400,0;1662;249300;337700,0;0;p
12;64775;15400;4806;15;0;30;0;2;0;2;9599,999999999998;0;50000;59600,0;1449;217350;276950,0;0;o
13;58322;20249;6253;30;15;15;0;2;0;2;19199,999999999996;19199,999999999996;50000;88400,0;1917;287550;375950,0;0;c
14;64118;16704;4844;15;30;30;1;1;0;2;9599,999999999998;115200,0;50000;174800,0;1589;238350;413150,0;0;h
15;64399;14733;3836;15;15;15;0;0;1;1;9599,999999999998;19199,999999999996;50000;78800,0;1367;205050;283850,0;0;s
16;57652;16440;4532;30;15;0;2;0;0;2;19199,999999999996;19199,999999999996;0;38399,99999999999;1539;230850;269250,0;0;:
17;64438;18926;5617;15;0;30;0;1;2;3;9599,999999999998;0;50000;59600,0;1815;272250;331850,0;0; 
18;63869;50344;19692;15;30;15;2;2;0;4;9599,999999999998;115200,0;50000;174800,0;4963;744450;919250,0;0;2
19;58164;27338;8669;30;15;15;2;1;0;3;19199,999999999996;96000;50000;165200,0;2619;392850;558050,0;0;0
20;58118;26935;10357;30;30;15;0;3;0;3;19199,999999999996;115200,0;50000;184400,0;2602;390300;574700,0;0;0
21;64680;17102;5159;15;15;30;2;0;0;2;9599,999999999998;19199,999999999996;50000;78800,0;1627;244050;322850,0;0;,
22;64380;17707;5716;15;30;0;2;0;0;2;9599,999999999998;115200,0;0;124800,0;1685;252750;377550,0;0; 
23;64351;17092;4659;15;15;15;0;0;1;1;9599,999999999998;19199,999999999996;50000;78800,0;1607;241050;319850,0;0;S
24;64860;30690;11655;15;15;30;1;1;1;3;9599,999999999998;96000;50000;155600,0;2998;449700;605300,0;0;t
25;64361;15502;3937;15;0;15;0;0;2;2;9599,999999999998;0;50000;59600,0;1449;217350;276950,0;0;a
26;64255;16157;4111;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1515;227250;306050,0;0;r
27;64598;16450;4635;15;30;0;1;0;1;2;9599,999999999998;115200,0;0;124800,0;1534;230100;354900,0;0;t
28;57666;17759;4571;30;0;30;1;0;1;2;19199,999999999996;0;50000;69200,0;1665;249750;318950,0;0;i
29;64552;18526;5473;15;0;30;2;0;0;2;9599,999999999998;0;50000;59600,0;1768;265200;324800,0;0;n
30;64199;17583;5132;15;0;30;2;0;0;2;9599,999999999998;0;50000;59600,0;1667;250050;309650,0;0;g
31;71782;13334;4105;0;30;15;1;1;0;2;0;192000;50000;242000;1250;187500;429500;0; 
32;64801;17389;4648;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1634;245100;304700,0;0;E
33;64563;18389;5183;15;15;15;1;0;1;2;9599,999999999998;19199,999999999996;50000;78800,0;1733;259950;338750,0;0;p
34;64323;17457;4802;15;30;15;1;0;1;2;9599,999999999998;115200,0;50000;174800,0;1636;245400;420200,0;0;s
35;71222;16724;4858;0;15;15;1;0;0;1;0;96000;50000;146000;1589;238350;384350;0;i
36;64447;17076;4428;15;15;15;0;0;1;1;9599,999999999998;19199,999999999996;50000;78800,0;1603;240450;319250,0;0;l
37;64130;18530;6092;15;30;15;0;0;2;2;9599,999999999998;115200,0;50000;174800,0;1766;264900;439700,0;0;o
38;64455;23817;7049;15;15;15;2;0;0;2;9599,999999999998;96000;50000;155600,0;2278;341700;497300,0;0;n
39;64269;16537;3976;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1547;232050;310850,0;0;:
40;63862;16996;4546;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1592;238800;298400,0;0; 
41;64023;16779;4273;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1570;235500;295100,0;0;0
42;70706;17199;5174;0;15;30;0;0;2;2;0;96000;50000;146000;1633;244950;390950;0;,
43;64522;16714;4341;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1564;234600;313400,0;0;2
44;64329;17371;4508;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1625;243750;303350,0;0; 
45;57874;17119;4871;30;30;0;1;0;1;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1605;240750;298350,0;0;-
46;64643;18233;5957;15;15;15;2;0;0;2;9599,999999999998;96000;50000;155600,0;1734;260100;415700,0;0;-
47;64043;16941;4572;15;30;15;2;0;0;2;9599,999999999998;115200,0;50000;174800,0;1591;238650;413450,0;0;-
48;58378;16228;4120;30;0;15;0;0;2;2;19199,999999999996;0;50000;69200,0;1514;227100;296300,0;0;-
49;64840;18669;5608;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1783;267450;327050,0;0;-
50;57841;32150;11983;30;30;30;1;2;1;4;19199,999999999996;38399,99999999999;50000;107600,0;3112;466800;574400,0;0;-
51;65096;31766;11434;15;0;15;1;1;0;2;9599,999999999998;0;50000;59600,0;3078;461700;521300,0;0;-
52;64249;15880;3900;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1483;222450;301250,0;0;-
53;57232;60228;25273;30;15;15;2;3;0;5;19199,999999999996;96000;50000;165200,0;5931;889650;1054850,0;0;-
54;64762;16354;4463;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1532;229800;289400,0;0;-
55;71087;17216;5247;0;0;30;1;0;1;2;0;0;50000;50000;1642;246300;296300;0;-
56;64596;17404;4794;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1638;245700;305300,0;0;-
57;64522;15267;3790;15;15;30;1;1;0;2;9599,999999999998;96000;50000;155600,0;1421;213150;368750,0;0;-
58;64616;23466;7125;15;0;30;2;0;1;3;9599,999999999998;0;50000;59600,0;2239;335850;395450,0;0;-
59;58277;27181;9943;30;45;15;2;1;1;4;19199,999999999996;211200,0;50000;280400,0;2627;394050;674450,0;0;-
60;64785;14109;3635;15;15;15;0;1;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1305;195750;274550,0;0;-
61;64752;16997;5092;15;15;15;1;1;0;2;9599,999999999998;96000;50000;155600,0;1619;242850;398450,0;0;-
62;64069;17539;4640;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1652;247800;307400,0;0;-
63;64411;16840;4369;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1580;237000;315800,0;0;-
64;57773;17332;4699;30;30;15;1;0;1;2;19199,999999999996;38399,99999999999;50000;107600,0;1629;244350;351950,0;0;-
65;70446;17195;5174;0;15;15;2;1;0;3;0;96000;50000;146000;1631;244650;390650;0;-
66;57841;24112;7344;30;0;15;2;0;1;3;19199,999999999996;0;50000;69200,0;2303;345450;414650,0;0;-
67;64865;40031;15695;15;30;15;3;0;0;3;9599,999999999998;115200,0;50000;174800,0;3918;587700;762500,0;0;-
68;64774;27335;11182;15;15;15;1;1;1;3;9599,999999999998;19199,999999999996;50000;78800,0;2637;395550;474350,0;0;-
69;57885;17590;4806;30;30;0;0;0;2;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1646;246900;304500,0;0;-
70;57559;17293;4748;30;30;0;1;0;1;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1622;243300;300900,0;0;-
71;57644;15921;4323;30;15;15;1;0;1;2;19199,999999999996;19199,999999999996;50000;88400,0;1480;222000;310400,0;0;-
72;70923;16958;5168;0;15;15;1;0;0;1;0;96000;50000;146000;1610;241500;387500;0;-
73;64547;17454;4609;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1639;245850;305450,0;0;-
74;51657;29809;10046;45;45;0;2;0;2;4;28799,999999999996;134400,0;0;163200,0;2878;431700;594900,0;0;-
75;64373;15865;3840;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1484;222600;282200,0;0;-
76;64080;16865;4332;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1581;237150;296750,0;0;-
77;64727;23390;7070;15;15;30;3;0;0;3;9599,999999999998;96000;50000;155600,0;2231;334650;490250,0;0;-
78;64328;16490;4515;15;30;15;1;0;1;2;9599,999999999998;115200,0;50000;174800,0;1532;229800;404600,0;0;-
79;70971;17221;5142;0;0;30;1;0;1;2;0;0;50000;50000;1638;245700;295700;0;-
80;64113;16524;4229;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1543;231450;291050,0;0;-
81;64464;14865;3720;15;15;15;0;0;1;1;9599,999999999998;19199,999999999996;50000;78800,0;1379;206850;285650,0;0;-
82;64761;15606;4093;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1455;218250;277850,0;0;-
83;64532;16289;4315;15;15;30;1;0;1;2;9599,999999999998;96000;50000;155600,0;1526;228900;384500,0;0;-
84;63761;17225;4577;15;15;0;0;0;2;2;9599,999999999998;19199,999999999996;0;28799,999999999996;1610;241500;270300,0;0;-
85;64482;17818;4972;15;15;0;0;0;2;2;9599,999999999998;19199,999999999996;0;28799,999999999996;1674;251100;279900,0;0;-
86;57968;24592;7670;30;15;15;3;0;0;3;19199,999999999996;19199,999999999996;50000;88400,0;2355;353250;441650,0;0;-
87;64166;16649;4367;15;15;0;1;0;1;2;9599,999999999998;19199,999999999996;0;28799,999999999996;1555;233250;262050,0;0;-
88;64495;15492;3936;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1443;216450;295250,0;0;-
89;63921;16779;4628;15;15;0;0;0;2;2;9599,999999999998;19199,999999999996;0;28799,999999999996;1566;234900;263700,0;0;-
90;64468;17433;4523;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1634;245100;304700,0;0;-
91;51530;24040;6994;45;30;15;1;1;1;3;28799,999999999996;38399,99999999999;50000;117200,0;2297;344550;461750,0;0;-
92;49578;61968;23652;49;15;0;2;1;3;6;31199,999999999996;19199,999999999996;0;50399,99999999999;6454;968100;1018500,0;0;-
93;64538;16779;4471;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1570;235500;295100,0;0;-
94;64543;17138;4466;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1611;241650;301250,0;0;-
95;64531;17383;4348;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1630;244500;304100,0;0;-
96;64411;16411;4099;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1535;230250;289850,0;0;-
97;64254;16862;4397;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1579;236850;315650,0;0;-
