Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64327;17012;4516;15;15;15;0;1;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1588;238200;321800,0;0;"
"
2;70665;17855;5394;0;15;15;0;2;0;2;0;120000;50000;170000;1696;254400;424400;0;-
3;64538;18952;6426;15;15;15;0;2;0;2;9599,999999999998;120000;50000;179600,0;1802;270300;449900,0;0;-
4;64266;17942;4756;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1686;252900;312500,0;0;-
5;71216;16761;4915;0;15;15;0;1;0;1;0;120000;50000;170000;1592;238800;408800;0;-
6;63157;71893;28455;15;15;30;0;5;0;5;9599,999999999998;23999,999999999996;50000;83600,0;7112;1066800;1150400,0;0;-
7;65159;14095;3727;15;15;15;0;1;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1304;195600;279200,0;0;-
8;64428;17706;4958;15;30;15;0;2;0;2;9599,999999999998;144000,0;50000;203600,0;1666;249900;453500,0;0;-
9;57968;21991;6793;30;15;30;0;3;0;3;19199,999999999996;23999,999999999996;50000;93200,0;2094;314100;407300,0;0; 
10;57655;16889;4300;30;15;15;0;1;1;2;19199,999999999996;23999,999999999996;50000;93200,0;1579;236850;330050,0;0;E
11;57752;17068;4531;30;15;0;1;1;0;2;19199,999999999996;23999,999999999996;0;43199,99999999999;1601;240150;283350,0;0;p
12;70951;31009;11712;0;30;30;1;2;0;3;0;240000;50000;290000;3016;452400;742400;0;o
13;64549;17340;4658;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1630;244500;328100,0;0;c
14;57487;17058;4598;30;30;15;1;1;0;2;19199,999999999996;47999,99999999999;50000;117200,0;1594;239100;356300,0;0;h
15;57854;21013;6273;30;15;15;2;0;0;2;19199,999999999996;23999,999999999996;50000;93200,0;1990;298500;391700,0;0;s
16;70849;17509;5216;0;0;30;0;1;1;2;0;0;50000;50000;1670;250500;300500;0;:
17;63749;16477;4085;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1543;231450;315050,0;0; 
18;64418;16429;4287;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1542;231300;314900,0;0;2
19;64671;16592;5146;15;0;30;1;1;0;2;9599,999999999998;0;50000;59600,0;1566;234900;294500,0;0;0
20;70073;16536;4761;0;15;15;1;0;0;1;0;120000;50000;170000;1564;234600;404600;0;0
21;63493;37671;14546;15;15;45;2;2;1;5;9599,999999999998;120000;50000;179600,0;3690;553500;733100,0;0;,
22;64429;15870;4033;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1477;221550;281150,0;0; 
23;64548;16660;4310;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1561;234150;317750,0;0;S
24;57415;16487;4433;30;15;15;2;0;0;2;19199,999999999996;23999,999999999996;50000;93200,0;1544;231600;324800,0;0;t
25;51074;58200;23522;45;34;0;2;1;3;6;28799,999999999996;174000,0;0;202800,0;6066;909900;1112700,0;0;a
26;64733;18038;4805;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1703;255450;339050,0;0;r
27;64257;17238;4340;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1613;241950;301550,0;0;t
28;58514;24647;7389;30;15;15;1;0;1;2;19199,999999999996;23999,999999999996;50000;93200,0;2355;353250;446450,0;0;i
29;70720;18040;5356;0;0;30;0;0;2;2;0;0;50000;50000;1719;257850;307850;0;n
30;64100;17449;4564;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1640;246000;305600,0;0;g
31;71088;20591;6835;0;15;15;1;0;1;2;0;120000;50000;170000;1970;295500;465500;0; 
32;64586;16810;4421;15;15;0;1;0;1;2;9599,999999999998;23999,999999999996;0;33599,99999999999;1574;236100;269700,0;0;E
33;64181;17528;4573;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1646;246900;306500,0;0;p
34;64175;18413;5124;15;30;0;0;0;2;2;9599,999999999998;144000,0;0;153600,0;1738;260700;414300,0;0;s
35;52079;46123;16787;45;34;15;3;3;0;6;28799,999999999996;270000;50000;348800,0;4497;674550;1023350,0;0;i
36;65246;19925;6796;15;30;30;3;0;0;3;9599,999999999998;144000,0;50000;203600,0;1907;286050;489650,0;0;l
37;64728;16120;4386;15;30;15;1;0;1;2;9599,999999999998;144000,0;50000;203600,0;1506;225900;429500,0;0;o
38;57960;15504;4109;30;15;15;2;0;0;2;19199,999999999996;23999,999999999996;50000;93200,0;1445;216750;309950,0;0;n
39;70923;17875;5995;0;15;15;2;0;0;2;0;120000;50000;170000;1695;254250;424250;0;:
40;64239;17329;4437;15;0;30;2;0;0;2;9599,999999999998;0;50000;59600,0;1627;244050;303650,0;0; 
41;64806;21648;6940;15;30;15;1;1;0;2;9599,999999999998;144000,0;50000;203600,0;2068;310200;513800,0;0;0
42;64915;17178;5256;15;15;30;1;0;1;2;9599,999999999998;23999,999999999996;50000;83600,0;1635;245250;328850,0;0;,
43;64680;18014;4717;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1701;255150;314750,0;0;2
44;70916;16941;5146;0;15;15;0;0;1;1;0;120000;50000;170000;1608;241200;411200;0; 
45;58209;24718;7288;30;0;30;1;0;2;3;19199,999999999996;0;50000;69200,0;2362;354300;423500,0;0;-
46;58213;29736;9967;30;45;15;3;1;0;4;19199,999999999996;264000,0;50000;333200,0;2865;429750;762950,0;0;-
47;65012;30847;11337;15;15;30;1;1;1;3;9599,999999999998;120000;50000;179600,0;2995;449250;628850,0;0;-
48;64480;17333;5178;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1649;247350;306950,0;0;-
49;65126;31862;11448;15;15;15;1;1;0;2;9599,999999999998;23999,999999999996;50000;83600,0;3091;463650;547250,0;0;-
50;71064;18898;5792;0;0;30;0;0;2;2;0;0;50000;50000;1801;270150;320150;0;-
51;64902;17989;5211;15;15;15;1;0;1;2;9599,999999999998;23999,999999999996;50000;83600,0;1716;257400;341000,0;0;-
52;64370;17390;4482;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1635;245250;304850,0;0;-
53;58087;15766;4558;30;15;15;1;1;0;2;19199,999999999996;23999,999999999996;50000;93200,0;1474;221100;314300,0;0;-
54;64582;16779;4359;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1578;236700;296300,0;0;-
55;57852;15693;4112;30;15;30;0;0;2;2;19199,999999999996;23999,999999999996;50000;93200,0;1465;219750;312950,0;0;-
56;57397;15780;4090;30;15;15;2;0;0;2;19199,999999999996;23999,999999999996;50000;93200,0;1468;220200;313400,0;0;-
57;58035;15944;4388;30;30;15;0;0;2;2;19199,999999999996;47999,99999999999;50000;117200,0;1488;223200;340400,0;0;-
58;57832;18565;5191;30;15;15;0;0;2;2;19199,999999999996;23999,999999999996;50000;93200,0;1749;262350;355550,0;0;-
59;64101;16913;4299;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1584;237600;321200,0;0;-
60;64340;15571;4661;15;15;15;1;1;0;2;9599,999999999998;23999,999999999996;50000;83600,0;1474;221100;304700,0;0;-
61;57576;15058;4230;30;30;0;1;0;1;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1395;209250;276450,0;0;-
62;57855;15667;4497;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1457;218550;285750,0;0;-
63;64298;17085;4783;15;30;0;1;0;1;2;9599,999999999998;144000,0;0;153600,0;1603;240450;394050,0;0;-
64;64699;18660;5338;15;30;0;1;0;1;2;9599,999999999998;144000,0;0;153600,0;1762;264300;417900,0;0;-
65;64176;16879;4321;15;15;15;1;0;1;2;9599,999999999998;120000;50000;179600,0;1582;237300;416900,0;0;-
66;64094;17356;5051;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1647;247050;306650,0;0;-
67;70846;18305;5641;0;0;30;0;0;2;2;0;0;50000;50000;1743;261450;311450;0;-
68;64330;16754;4271;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1570;235500;295100,0;0;-
69;70661;17733;5283;0;0;30;0;0;2;2;0;0;50000;50000;1688;253200;303200;0;-
70;58052;39388;14471;30;15;15;3;1;0;4;19199,999999999996;120000;50000;189200,0;3849;577350;766550,0;0;-
71;70397;16867;4987;0;15;15;1;0;1;2;0;120000;50000;170000;1600;240000;410000;0;-
72;64310;17014;4194;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1597;239550;323150,0;0;-
73;64294;17489;4680;15;15;0;1;0;1;2;9599,999999999998;23999,999999999996;0;33599,99999999999;1645;246750;280350,0;0;-
74;64383;16080;4178;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1507;226050;309650,0;0;-
75;64552;16913;5125;15;30;15;2;0;0;2;9599,999999999998;144000,0;50000;203600,0;1604;240600;444200,0;0;-
76;57374;16661;4493;30;30;15;0;0;2;2;19199,999999999996;47999,99999999999;50000;117200,0;1554;233100;350300,0;0;-
77;58072;16984;4707;30;15;15;0;0;2;2;19199,999999999996;23999,999999999996;50000;93200,0;1592;238800;332000,0;0;-
78;57614;16956;4621;30;15;15;1;0;1;2;19199,999999999996;23999,999999999996;50000;93200,0;1588;238200;331400,0;0;-
79;58184;17956;5105;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1691;253650;320850,0;0;-
80;57889;17539;4812;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1647;247050;314250,0;0;-
81;58231;17357;4753;30;30;15;1;0;1;2;19199,999999999996;47999,99999999999;50000;117200,0;1628;244200;361400,0;0;-
82;71131;18492;7204;0;15;30;1;1;1;3;0;120000;50000;170000;1771;265650;435650;0;-
83;64002;16385;4292;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1537;230550;314150,0;0;-
84;57888;16479;4686;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1540;231000;298200,0;0;-
85;57339;16640;4443;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1564;234600;301800,0;0;-
86;57919;18268;5150;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1721;258150;325350,0;0;-
87;57519;17808;4877;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1670;250500;317700,0;0;-
88;64521;17144;5163;15;15;30;1;0;1;2;9599,999999999998;120000;50000;179600,0;1624;243600;423200,0;0;-
89;58073;16429;4616;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1534;230100;297300,0;0;-
90;57980;17777;5007;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1667;250050;317250,0;0;-
91;58168;18237;5400;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1718;257700;324900,0;0;-
92;64706;16738;4632;15;15;0;1;0;1;2;9599,999999999998;23999,999999999996;0;33599,99999999999;1567;235050;268650,0;0;-
93;58079;18470;5446;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1739;260850;328050,0;0;-
94;64354;17929;5090;15;30;0;2;0;0;2;9599,999999999998;144000,0;0;153600,0;1684;252600;406200,0;0;-
95;57618;17796;4998;30;30;0;0;0;2;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1673;250950;318150,0;0;-
96;51279;22090;7004;45;30;0;0;1;2;3;28799,999999999996;47999,99999999999;0;76799,99999999999;2102;315300;392100,0;0;-
97;64436;17642;4662;15;30;0;1;0;1;2;9599,999999999998;144000,0;0;153600,0;1651;247650;401250,0;0;-
98;64500;17766;4688;15;15;0;0;0;2;2;9599,999999999998;23999,999999999996;0;33599,99999999999;1669;250350;283950,0;0;-
99;64664;15754;4487;15;15;0;0;0;2;2;9599,999999999998;23999,999999999996;0;33599,99999999999;1476;221400;255000,0;0;-
100;70531;16863;5207;0;15;15;1;0;0;1;0;120000;50000;170000;1597;239550;409550;0;-
101;64126;18494;5128;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1744;261600;321200,0;0;-
102;64161;16492;4407;15;15;0;1;0;1;2;9599,999999999998;23999,999999999996;0;33599,99999999999;1540;231000;264600,0;0;-
103;51211;39257;12669;45;15;15;1;2;2;5;28799,999999999996;23999,999999999996;50000;102800,0;3815;572250;675050,0;0;-
104;64212;16072;3936;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1503;225450;285050,0;0;-
105;64488;16994;4324;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1593;238950;298550,0;0;-
106;64280;17426;4910;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1633;244950;304550,0;0;-
107;64494;17329;4637;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1625;243750;303350,0;0;-
108;57879;16739;4430;30;15;30;0;0;2;2;19199,999999999996;23999,999999999996;50000;93200,0;1571;235650;328850,0;0;-
109;57957;16906;4876;30;15;15;1;0;1;2;19199,999999999996;23999,999999999996;50000;93200,0;1583;237450;330650,0;0;-
110;57567;16082;3997;30;15;30;0;0;2;2;19199,999999999996;23999,999999999996;50000;93200,0;1499;224850;318050,0;0;-
111;64530;13197;4249;15;15;30;1;1;0;2;9599,999999999998;120000;50000;179600,0;1232;184800;364400,0;0;-
112;64367;16501;4252;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1545;231750;291350,0;0;-
113;57492;16186;4109;30;15;30;0;0;2;2;19199,999999999996;23999,999999999996;50000;93200,0;1514;227100;320300,0;0;-
114;64623;18655;5015;15;15;15;1;0;1;2;9599,999999999998;120000;50000;179600,0;1765;264750;444350,0;0;-
115;64423;16909;4374;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1589;238350;321950,0;0;-
116;64219;15499;4033;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1445;216750;300350,0;0;-
117;64435;16235;4117;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1517;227550;311150,0;0;-
118;64496;17287;4483;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1625;243750;327350,0;0;-
119;64583;15453;3974;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1438;215700;299300,0;0;-
120;64350;17668;4695;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1660;249000;332600,0;0;-
121;70796;17663;5279;0;0;30;0;0;2;2;0;0;50000;50000;1680;252000;302000;0;-
122;70989;17624;5235;0;0;30;0;0;2;2;0;0;50000;50000;1683;252450;302450;0;"
"
123;70871;17177;5128;0;0;30;0;0;2;2;0;0;50000;50000;1633;244950;294950;0;"
"
124;71223;17353;4954;0;0;30;0;0;2;2;0;0;50000;50000;1649;247350;297350;0;"
"
125;70989;16892;5089;0;0;30;0;0;2;2;0;0;50000;50000;1604;240600;290600;0; 
126;58308;26902;8696;30;15;15;2;0;1;3;19199,999999999996;120000;50000;189200,0;2575;386250;575450,0;0;-
