Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;69752;25794;7583;0;15;30;0;2;0;2;0;504000;50000;554000;2254;338100;892100;0;"
"
2;71371;29633;12613;0;15;0;0;2;0;2;0;504000;0;504000;2603;390450;894450;0;-
3;71440;13914;4075;0;15;15;0;1;0;1;0;504000;50000;554000;1174;176100;730100;0;-
4;56494;43251;12450;30;15;30;0;4;0;4;19199,999999999996;100799,99999999999;50000;170000,0;3841;576150;746150,0;0;-
5;58667;16554;4112;30;15;15;0;2;0;2;19199,999999999996;100799,99999999999;50000;170000,0;1414;212100;382100,0;0;-
6;64763;15663;3945;15;15;0;0;1;0;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1333;199950;310350,0;0;-
7;64923;12550;2642;15;15;15;0;1;0;1;9599,999999999998;100799,99999999999;50000;160400,0;1050;157500;317900,0;0;-
8;71459;14354;5355;0;15;0;0;1;0;1;0;504000;0;504000;1214;182100;686100;0;-
9;50568;56759;18632;45;15;30;1;4;0;5;28799,999999999996;100799,99999999999;50000;179600,0;5069;760350;939950,0;0; 
10;64616;15146;3622;15;15;0;0;0;1;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1286;192900;303300,0;0;E
11;71494;13166;3847;0;15;15;1;0;0;1;0;504000;50000;554000;1106;165900;719900;0;p
12;43738;59725;19005;60;4;30;1;4;1;6;38399,99999999999;126000;50000;214400,0;5427;814050;1028450,0;0;o
13;64917;21130;6418;15;15;15;1;1;0;2;9599,999999999998;504000;50000;563600,0;1830;274500;838100,0;0;c
14;65224;13958;3119;15;15;15;0;0;1;1;9599,999999999998;100799,99999999999;50000;160400,0;1178;176700;337100,0;0;h
15;57813;30821;10789;30;15;30;1;2;0;3;19199,999999999996;100799,99999999999;50000;170000,0;2711;406650;576650,0;0;s
16;64978;13793;3332;15;15;0;0;0;1;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1163;174450;284850,0;0;:
17;58217;36772;13595;30;15;0;1;2;0;3;19199,999999999996;100799,99999999999;0;119999,99999999999;3252;487800;607800,0;0; 
18;71113;13276;5221;0;15;0;1;0;0;1;0;504000;0;504000;1116;167400;671400;0;2
19;58871;26025;7853;30;15;15;0;2;1;3;19199,999999999996;504000;50000;573200,0;2275;341250;914450,0;0;0
20;64225;27906;7309;15;15;45;1;2;0;3;9599,999999999998;504000;50000;563600,0;2446;366900;930500,0;0;0
21;64799;14332;3451;15;15;0;0;0;1;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1212;181800;292200,0;0;,
22;58538;22384;6300;30;15;15;1;1;0;2;19199,999999999996;100799,99999999999;50000;170000,0;1944;291600;461600,0;0; 
