Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;71335;12637;4316;0;15;15;0;2;0;2;0;120000;50000;170000;1173;175950;345950;0;"
"
2;64212;16261;4233;15;15;15;0;1;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1521;228150;311750,0;0;-
3;57976;28935;10984;30;15;30;0;3;0;3;19199,999999999996;23999,999999999996;50000;93200,0;2790;418500;511700,0;0;-
4;71107;16706;5093;0;15;15;0;1;0;1;0;120000;50000;170000;1580;237000;407000;0;-
5;63854;17325;4565;15;15;0;0;1;0;1;9599,999999999998;23999,999999999996;0;33599,99999999999;1620;243000;276600,0;0;-
6;64287;16390;4309;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1532;229800;289400,0;0;-
7;64601;17351;5348;15;0;15;0;2;0;2;9599,999999999998;0;50000;59600,0;1646;246900;306500,0;0;-
8;51399;24728;7689;45;15;15;0;3;0;3;28799,999999999996;23999,999999999996;50000;102800,0;2368;355200;458000,0;0;-
9;64280;18056;6007;15;30;15;0;2;0;2;9599,999999999998;144000,0;50000;203600,0;1721;258150;461750,0;0; 
10;64250;16404;4357;15;0;30;1;1;0;2;9599,999999999998;0;50000;59600,0;1530;229500;289100,0;0;E
11;64019;16609;4180;15;15;30;1;1;0;2;9599,999999999998;120000;50000;179600,0;1552;232800;412400,0;0;p
12;65377;30437;11079;15;15;15;1;1;0;2;9599,999999999998;23999,999999999996;50000;83600,0;2960;444000;527600,0;0;o
13;64744;17882;5039;15;15;15;1;1;0;2;9599,999999999998;23999,999999999996;50000;83600,0;1687;253050;336650,0;0;c
14;56684;69989;27537;30;4;15;1;5;0;6;19199,999999999996;30000;50000;99200,0;7113;1066950;1166150,0;0;h
15;70739;17044;5067;0;15;15;0;1;1;2;0;120000;50000;170000;1617;242550;412550;0;s
16;70858;16368;4927;0;15;15;1;0;0;1;0;120000;50000;170000;1550;232500;402500;0;:
17;70606;18752;6019;0;30;15;1;1;0;2;0;240000;50000;290000;1792;268800;558800;0; 
18;58165;30478;9618;30;15;15;2;1;0;3;19199,999999999996;120000;50000;189200,0;2941;441150;630350,0;0;2
19;64576;16666;4355;15;15;15;1;0;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1559;233850;317450,0;0;0
20;64968;18198;5153;15;0;30;1;1;0;2;9599,999999999998;0;50000;59600,0;1737;260550;320150,0;0;0
21;64666;17656;4751;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1658;248700;308300,0;0;,
22;63949;20322;6851;15;30;15;1;2;0;3;9599,999999999998;144000,0;50000;203600,0;1951;292650;496250,0;0; 
23;64813;17855;5470;15;0;30;2;0;0;2;9599,999999999998;0;50000;59600,0;1697;254550;314150,0;0;S
24;49236;56976;21129;49;19;4;1;3;2;6;31199,999999999996;29999,999999999996;50000;111200,0;5636;845400;956600,0;0;t
25;64369;15399;4039;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1435;215250;274850,0;0;a
26;64408;15055;3786;15;0;15;1;1;0;2;9599,999999999998;0;50000;59600,0;1405;210750;270350,0;0;r
