Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64953;22318;7209;15;15;0;0;2;0;2;9599,999999999998;504000;0;513600,0;1938;290700;804300,0;0;"
"
2;64514;12803;3289;15;15;0;0;1;0;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1073;160950;271350,0;0;-
3;69310;24331;7193;0;15;30;0;2;0;2;0;504000;50000;554000;2121;318150;872150;0;-
4;71398;13925;4106;0;15;15;0;1;0;1;0;504000;50000;554000;1175;176250;730250;0;-
5;70282;46089;17675;0;15;15;0;3;0;3;0;504000;50000;554000;4099;614850;1168850;0;-
6;65179;17918;4419;15;15;15;0;2;0;2;9599,999999999998;504000;50000;563600,0;1538;230700;794300,0;0;-
7;65086;14453;3110;15;15;15;0;1;0;1;9599,999999999998;100799,99999999999;50000;160400,0;1223;183450;343850,0;0;-
8;56593;63601;21543;30;15;30;1;4;0;5;19199,999999999996;504000;50000;573200,0;5691;853650;1426850,0;0;-
9;64464;13969;3459;15;15;0;0;0;1;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1179;176850;287250,0;0; 
10;71316;14046;4073;0;15;15;1;0;0;1;0;504000;50000;554000;1186;177900;731900;0;E
11;58490;25222;7096;30;15;30;0;2;1;3;19199,999999999996;504000;50000;573200,0;2202;330300;903500,0;0;p
12;64994;13925;3071;15;15;15;0;0;1;1;9599,999999999998;100799,99999999999;50000;160400,0;1175;176250;336650,0;0;o
13;61741;56297;17900;15;15;45;1;3;0;4;9599,999999999998;100799,99999999999;50000;160400,0;5027;754050;914450,0;0;c
14;71533;14607;4302;0;15;15;1;0;0;1;0;504000;50000;554000;1237;185550;739550;0;h
15;64666;14640;3583;15;15;0;0;0;1;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1240;186000;296400,0;0;s
16;58786;16884;4218;30;15;15;0;1;1;2;19199,999999999996;100799,99999999999;50000;170000,0;1444;216600;386600,0;0;:
17;51430;45726;12440;45;15;15;0;3;1;4;28799,999999999996;100799,99999999999;50000;179600,0;4066;609900;789500,0;0; 
18;58412;21317;5869;30;15;15;1;1;0;2;19199,999999999996;100799,99999999999;50000;170000,0;1847;277050;447050,0;0;2
19;65412;39445;14401;15;15;0;0;2;1;3;9599,999999999998;504000;0;513600,0;3495;524250;1037850,0;0;0
20;64880;30084;10716;15;15;0;1;1;0;2;9599,999999999998;100799,99999999999;0;110399,99999999999;2644;396600;507000,0;0;0
21;64395;13705;3421;15;15;0;0;0;1;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1155;173250;283650,0;0;,
22;58455;18226;4229;30;15;30;0;1;1;2;19199,999999999996;100799,99999999999;50000;170000,0;1566;234900;404900,0;0; 
23;65023;13463;2971;15;15;15;0;0;1;1;9599,999999999998;100799,99999999999;50000;160400,0;1133;169950;330350,0;0;S
24;71313;14717;5486;0;15;0;1;0;0;1;0;504000;0;504000;1247;187050;691050;0;t
25;64551;13914;3362;15;15;0;0;0;1;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1174;176100;286500,0;0;a
26;64653;14420;3142;15;15;15;1;0;0;1;9599,999999999998;100799,99999999999;50000;160400,0;1220;183000;343400,0;0;r
27;64694;14442;3183;15;15;15;1;0;0;1;9599,999999999998;100799,99999999999;50000;160400,0;1222;183300;343700,0;0;t
