Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64437;13100;3189;15;15;0;0;1;0;1;9599,999999999998;110399,99999999999;0;119999,99999999999;1100;165000;285000,0;0;"
"
2;71533;13100;4874;0;15;0;0;1;0;1;0;552000;0;552000;1100;165000;717000;0;-
3;69970;24562;7240;0;15;30;0;2;0;2;0;552000;50000;602000;2142;321300;923300;0;-
4;58721;16455;3724;30;15;30;0;2;0;2;19199,999999999996;110399,99999999999;50000;179600,0;1405;210750;390350,0;0;-
5;71609;13100;3723;0;15;15;0;1;0;1;0;552000;50000;602000;1100;165000;767000;0;-
6;64777;21339;7042;15;15;0;0;2;0;2;9599,999999999998;552000;0;561600,0;1849;277350;838950,0;0;-
7;65623;13100;2806;15;15;15;0;1;0;1;9599,999999999998;110399,99999999999;50000;170000,0;1100;165000;335000,0;0;-
8;71240;28478;12319;0;15;0;0;2;0;2;0;552000;0;552000;2498;374700;926700;0;-
9;57394;47816;13950;30;15;45;0;4;1;5;19199,999999999996;552000;50000;621200,0;4256;638400;1259600,0;0; 
10;65084;32163;9761;15;15;30;0;2;1;3;9599,999999999998;552000;50000;611600,0;2833;424950;1036550,0;0;E
11;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;110399,99999999999;0;119999,99999999999;1100;165000;285000,0;0;p
12;65155;13100;2797;15;15;15;0;0;1;1;9599,999999999998;110399,99999999999;50000;170000,0;1100;165000;335000,0;0;o
13;49822;54087;18879;45;0;19;0;5;1;6;28799,999999999996;0;50000;78800,0;4954;743100;821900,0;0;c
14;65208;16983;3932;15;15;30;0;1;1;2;9599,999999999998;552000;50000;611600,0;1453;217950;829550,0;0;h
15;58236;21218;6064;30;15;0;0;1;1;2;19199,999999999996;110399,99999999999;0;129599,99999999999;1838;275700;405300,0;0;s
16;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;110399,99999999999;0;119999,99999999999;1100;165000;285000,0;0;:
17;63978;24672;6156;15;15;30;0;1;1;2;9599,999999999998;110399,99999999999;50000;170000,0;2152;322800;492800,0;0; 
18;65311;16983;4199;15;15;15;0;1;1;2;9599,999999999998;552000;50000;611600,0;1453;217950;829550,0;0;2
19;52106;23902;6517;45;15;15;0;2;1;3;28799,999999999996;110399,99999999999;50000;189200,0;2082;312300;501500,0;0;0
20;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;110399,99999999999;0;119999,99999999999;1100;165000;285000,0;0;0
21;65155;13100;2797;15;15;15;0;0;1;1;9599,999999999998;110399,99999999999;50000;170000,0;1100;165000;335000,0;0;,
22;65462;21218;6273;15;15;15;0;1;1;2;9599,999999999998;552000;50000;611600,0;1838;275700;887300,0;0; 
23;57927;38521;11058;30;15;30;0;2;1;3;19199,999999999996;110399,99999999999;50000;179600,0;3411;511650;691250,0;0;S
24;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;110399,99999999999;0;119999,99999999999;1100;165000;285000,0;0;t
25;46938;67580;24100;49;0;19;2;3;1;6;31199,999999999996;0;50000;81200,0;6096;914400;995600,0;0;a
26;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;110399,99999999999;0;119999,99999999999;1100;165000;285000,0;0;r
27;58621;21218;5787;30;15;15;0;1;1;2;19199,999999999996;110399,99999999999;50000;179600,0;1838;275700;455300,0;0;t
