Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;71158;13474;3717;0;0;15;0;1;0;1;0;0;100000;100000;1134;170100;270100;0;"
"
2;71225;30040;12779;0;15;0;0;2;0;2;0;492000,0;0;492000,0;2640;396000;888000,0;0;-
3;64638;12572;3219;15;15;0;0;1;0;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1052;157800;265800,0;0;-
4;65008;14222;3165;15;0;15;0;1;0;1;9599,999999999998;0;100000;109600,0;1202;180300;289900,0;0;-
5;57785;40171;13194;30;15;15;0;3;0;3;19199,999999999996;98399,99999999999;100000;217600,0;3561;534150;751750,0;0;-
6;71666;13507;5165;0;15;0;0;1;0;1;0;492000,0;0;492000,0;1137;170550;662550,0;0;-
7;71423;13386;3615;0;15;15;0;1;0;1;0;492000,0;100000;592000,0;1126;168900;760900,0;0;-
8;64877;15674;3836;15;15;0;1;0;0;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1334;200100;308100,0;0;-
9;71183;13067;3511;0;0;15;1;0;0;1;0;0;100000;100000;1097;164550;264550;0; 
10;71544;13716;5263;0;15;0;1;0;0;1;0;492000,0;0;492000,0;1156;173400;665400,0;0;E
11;71394;14398;3942;0;15;15;1;0;0;1;0;492000,0;100000;592000,0;1218;182700;774700,0;0;p
12;71886;14706;4066;0;15;15;1;0;0;1;0;492000,0;100000;592000,0;1246;186900;778900,0;0;o
13;64605;14123;3503;15;15;0;1;0;0;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1193;178950;286950,0;0;c
14;65050;15124;3388;15;0;15;1;0;0;1;9599,999999999998;0;100000;109600,0;1284;192600;302200,0;0;h
15;58509;20151;5489;30;15;15;0;1;1;2;19199,999999999996;98399,99999999999;100000;217600,0;1741;261150;478750,0;0;s
16;71260;15245;4210;0;0;15;1;0;0;1;0;0;100000;100000;1295;194250;294250;0;:
17;58950;23407;6648;30;15;15;0;1;1;2;19199,999999999996;98399,99999999999;100000;217600,0;2037;305550;523150,0;0; 
18;64708;13650;2916;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1150;172500;282100,0;0;2
19;71838;14574;3984;0;15;15;1;0;0;1;0;492000,0;100000;592000,0;1234;185100;777100,0;0;0
20;64846;21669;7149;15;15;0;1;1;0;2;9599,999999999998;492000,0;0;501600,0;1879;281850;783450,0;0;0
21;64495;13551;3342;15;15;0;1;0;0;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1141;171150;279150,0;0;,
22;71136;29952;11554;0;0;15;0;1;1;2;0;0;100000;100000;2632;394800;494800;0; 
23;57857;22351;6445;30;15;0;1;1;0;2;19199,999999999996;98399,99999999999;0;117599,99999999999;1941;291150;408750,0;0;S
24;64821;14838;3173;15;15;15;0;0;1;1;9599,999999999998;98399,99999999999;100000;208000,0;1258;188700;396700,0;0;t
25;71401;13903;5316;0;15;0;1;0;0;1;0;492000,0;0;492000,0;1173;175950;667950,0;0;a
26;58388;29226;9267;30;15;15;1;2;0;3;19199,999999999996;492000,0;100000;611200,0;2566;384900;996100,0;0;r
27;71702;14585;3971;0;0;15;0;0;1;1;0;0;100000;100000;1235;185250;285250;0;t
28;65349;14772;2974;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1252;187800;297400,0;0;i
29;71744;15080;4073;0;0;15;0;0;1;1;0;0;100000;100000;1280;192000;292000;0;n
30;64615;13694;3433;15;15;0;0;0;1;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1154;173100;281100,0;0;g
31;71003;13188;5035;0;15;0;1;0;0;1;0;492000,0;0;492000,0;1108;166200;658200,0;0; 
32;64835;12550;3263;15;15;0;1;0;0;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1050;157500;265500,0;0;E
33;65244;14112;3052;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1192;178800;288400,0;0;p
34;65134;14431;3143;15;15;15;1;0;0;1;9599,999999999998;98399,99999999999;100000;208000,0;1221;183150;391150,0;0;s
35;71400;13991;3809;0;0;15;0;0;1;1;0;0;100000;100000;1181;177150;277150;0;i
36;64441;14750;3668;15;15;0;1;0;0;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1250;187500;295500,0;0;l
37;71551;14002;3829;0;0;15;0;0;1;1;0;0;100000;100000;1182;177300;277300;0;o
38;64858;13925;3546;15;15;0;1;0;0;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1175;176250;284250,0;0;n
39;65009;12539;2582;15;15;15;1;0;0;1;9599,999999999998;98399,99999999999;100000;208000,0;1049;157350;365350,0;0;:
40;65061;13892;3044;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1172;175800;285400,0;0; 
41;70974;13331;3518;0;0;15;0;0;1;1;0;0;100000;100000;1121;168150;268150;0;0
42;71591;14508;3912;0;0;15;0;0;1;1;0;0;100000;100000;1228;184200;284200;0;,
43;65387;12836;3220;15;15;0;1;0;0;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1076;161400;269400,0;0;2
44;71650;13408;3625;0;0;15;0;0;1;1;0;0;100000;100000;1128;169200;269200;0; 
45;64922;13892;3094;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1172;175800;285400,0;0;-
46;64918;13474;3297;15;15;0;1;0;0;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1134;170100;278100,0;0;-
47;65436;20712;6963;15;15;0;0;1;1;2;9599,999999999998;492000,0;0;501600,0;1792;268800;770400,0;0;-
48;71082;12880;3525;0;0;15;0;0;1;1;0;0;100000;100000;1080;162000;262000;0;-
49;71243;13672;3727;0;0;15;0;0;1;1;0;0;100000;100000;1152;172800;272800;0;-
50;64696;13980;3457;15;15;0;0;0;1;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1180;177000;285000,0;0;-
51;65339;13749;2978;15;0;15;1;0;0;1;9599,999999999998;0;100000;109600,0;1159;173850;283450,0;0;-
52;71595;13815;3786;0;0;15;0;0;1;1;0;0;100000;100000;1165;174750;274750;0;-
53;71428;14354;3915;0;0;15;0;0;1;1;0;0;100000;100000;1214;182100;282100;0;-
54;64462;13485;3346;15;15;0;0;0;1;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1135;170250;278250,0;0;-
55;65151;13881;2907;15;15;15;1;0;0;1;9599,999999999998;98399,99999999999;100000;208000,0;1171;175650;383650,0;0;-
56;71484;13903;3871;0;0;15;0;0;1;1;0;0;100000;100000;1173;175950;275950;0;-
57;70795;12253;3327;0;0;15;0;0;1;1;0;0;100000;100000;1023;153450;253450;0;-
58;71113;13331;3654;0;0;15;0;0;1;1;0;0;100000;100000;1121;168150;268150;0;-
59;64992;29776;10383;15;0;15;1;1;0;2;9599,999999999998;0;100000;109600,0;2616;392400;502000,0;0;-
60;70824;14805;4178;0;0;15;0;0;1;1;0;0;100000;100000;1255;188250;288250;0;-
61;71379;13540;3759;0;0;15;0;0;1;1;0;0;100000;100000;1140;171000;271000;0;-
62;64750;13804;3494;15;15;0;0;0;1;1;9599,999999999998;98399,99999999999;0;107999,99999999999;1164;174600;282600,0;0;-
63;70734;12341;3313;0;0;15;0;0;1;1;0;0;100000;100000;1031;154650;254650;0;-
64;71581;14607;3957;0;0;15;0;0;1;1;0;0;100000;100000;1237;185550;285550;0;-
65;71538;13331;3602;0;0;15;0;0;1;1;0;0;100000;100000;1121;168150;268150;0;-
66;71183;12396;3423;0;0;15;0;0;1;1;0;0;100000;100000;1036;155400;255400;0;-
67;71540;13738;3817;0;0;15;0;0;1;1;0;0;100000;100000;1158;173700;273700;0;-
68;71477;13793;3851;0;0;15;0;0;1;1;0;0;100000;100000;1163;174450;274450;0;-
69;71428;13705;3842;0;0;15;0;0;1;1;0;0;100000;100000;1155;173250;273250;0;-
70;71185;13760;3691;0;0;15;0;0;1;1;0;0;100000;100000;1160;174000;274000;0;-
71;71956;14024;3971;0;0;15;0;0;1;1;0;0;100000;100000;1184;177600;277600;0;-
72;71723;14838;4064;0;0;15;0;0;1;1;0;0;100000;100000;1258;188700;288700;0;-
73;71555;15454;4167;0;0;15;0;0;1;1;0;0;100000;100000;1314;197100;297100;0;-
74;71408;13507;3659;0;0;15;0;0;1;1;0;0;100000;100000;1137;170550;270550;0;-
75;71398;13980;3873;0;0;15;0;0;1;1;0;0;100000;100000;1180;177000;277000;0;-
76;71821;14816;4068;0;0;15;0;0;1;1;0;0;100000;100000;1256;188400;288400;0;-
77;71585;13562;3654;0;0;15;0;0;1;1;0;0;100000;100000;1142;171300;271300;0;-
78;71298;13353;3623;0;0;15;0;0;1;1;0;0;100000;100000;1123;168450;268450;0;-
79;71073;13881;3751;0;0;15;0;0;1;1;0;0;100000;100000;1171;175650;275650;0;-
80;71367;13694;3852;0;0;15;0;0;1;1;0;0;100000;100000;1154;173100;273100;0;-
81;71204;12572;3418;0;0;15;0;0;1;1;0;0;100000;100000;1052;157800;257800;0;-
82;71377;13661;3751;0;0;15;0;0;1;1;0;0;100000;100000;1151;172650;272650;0;-
83;70739;13848;3864;0;0;15;0;0;1;1;0;0;100000;100000;1168;175200;275200;0;-
84;71049;12737;3418;0;0;15;0;0;1;1;0;0;100000;100000;1067;160050;260050;0;-
85;71797;14233;3903;0;0;15;0;0;1;1;0;0;100000;100000;1203;180450;280450;0;-
86;71493;13903;3901;0;0;15;0;0;1;1;0;0;100000;100000;1173;175950;275950;0;-
87;71750;15311;4100;0;0;15;0;0;1;1;0;0;100000;100000;1301;195150;295150;0;-
88;71519;13408;3714;0;0;15;0;0;1;1;0;0;100000;100000;1128;169200;269200;0;-
89;71984;14640;4020;0;0;15;0;0;1;1;0;0;100000;100000;1240;186000;286000;0;-
90;71665;14101;3804;0;0;15;0;0;1;1;0;0;100000;100000;1191;178650;278650;0;-
91;71357;14585;3982;0;0;15;0;0;1;1;0;0;100000;100000;1235;185250;285250;0;-
92;71519;13496;3668;0;0;15;0;0;1;1;0;0;100000;100000;1136;170400;270400;0;-
93;71477;13705;3763;0;0;15;0;0;1;1;0;0;100000;100000;1155;173250;273250;0;-
94;71273;13474;3610;0;0;15;0;0;1;1;0;0;100000;100000;1134;170100;270100;0;-
95;71471;12847;3475;0;0;15;0;0;1;1;0;0;100000;100000;1077;161550;261550;0;-
96;71341;12671;3450;0;0;15;0;0;1;1;0;0;100000;100000;1061;159150;259150;0;-
97;71180;13419;3691;0;0;15;0;0;1;1;0;0;100000;100000;1129;169350;269350;0;-
98;71610;13947;3808;0;0;15;0;0;1;1;0;0;100000;100000;1177;176550;276550;0;-
99;71617;13947;3887;0;0;15;0;0;1;1;0;0;100000;100000;1177;176550;276550;0;-
100;71589;13551;3698;0;0;15;0;0;1;1;0;0;100000;100000;1141;171150;271150;0;-
