Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;65056;13507;2877;15;0;15;0;1;0;1;9599,999999999998;0;100000;109600,0;1137;170550;280150,0;0;"
"
2;71151;13958;3852;0;0;15;0;1;0;1;0;0;100000;100000;1178;176700;276700;0;-
3;64865;21724;6180;15;0;15;0;2;0;2;9599,999999999998;0;100000;109600,0;1884;282600;392200,0;0;-
4;71756;30777;13214;0;15;0;0;2;0;2;0;480000;0;480000;2707;406050;886050;0;-
5;64972;14794;3232;15;15;15;0;1;0;1;9599,999999999998;95999,99999999999;100000;205600,0;1254;188100;393700,0;0;-
6;64443;13793;3384;15;15;0;0;1;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1163;174450;280050,0;0;-
7;71283;13155;3570;0;15;15;0;1;0;1;0;480000;100000;580000;1105;165750;745750;0;-
8;71541;12473;4866;0;15;0;0;1;0;1;0;480000;0;480000;1043;156450;636450;0;-
9;71252;12297;3331;0;15;15;1;0;0;1;0;480000;100000;580000;1027;154050;734050;0; 
10;71482;13650;5241;0;15;0;1;0;0;1;0;480000;0;480000;1150;172500;652500;0;E
11;65193;22703;6604;15;15;15;1;1;0;2;9599,999999999998;480000;100000;589600,0;1973;295950;885550,0;0;p
12;71800;14222;3806;0;15;15;1;0;0;1;0;480000;100000;580000;1202;180300;760300;0;o
13;64870;21196;7059;15;15;0;1;1;0;2;9599,999999999998;480000;0;489600,0;1836;275400;765000,0;0;c
14;64662;13133;3324;15;15;0;1;0;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1103;165450;271050,0;0;h
15;64592;14354;3488;15;15;0;1;0;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1214;182100;287700,0;0;s
16;71554;13837;3752;0;0;15;1;0;0;1;0;0;100000;100000;1167;175050;275050;0;:
17;65293;13837;2925;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1167;175050;284650,0;0; 
18;71418;13870;3886;0;15;15;1;0;0;1;0;480000;100000;580000;1170;175500;755500;0;2
19;71221;14321;3839;0;0;15;1;0;0;1;0;0;100000;100000;1211;181650;281650;0;0
20;64989;14376;3128;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1216;182400;292000,0;0;0
21;64962;30865;10813;15;15;0;0;1;1;2;9599,999999999998;95999,99999999999;0;105599,99999999999;2715;407250;512850,0;0;,
