
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (1) 1 / 100 excecuted, epsilon 0.21142857142857144, random actions 0, random actions on zero 1, max actions 0
 - Run (2) 2 / 100 excecuted, epsilon 0.22285714285714286, random actions 0, random actions on zero 1, max actions 0
 - Run (3) 3 / 100 excecuted, epsilon 0.2342857142857143, random actions 0, random actions on zero 3, max actions 0
 - Run (4) 4 / 100 excecuted, epsilon 0.24571428571428572, random actions 0, random actions on zero 3, max actions 0
 - Run (5) 5 / 100 excecuted, epsilon 0.2571428571428572, random actions 0, random actions on zero 1, max actions 0
 - Run (6) 6 / 100 excecuted, epsilon 0.2685714285714286, random actions 0, random actions on zero 1, max actions 0
 - Run (7) 7 / 100 excecuted, epsilon 0.2800000000000001, random actions 0, random actions on zero 1, max actions 0
 - Run (8) 8 / 100 excecuted, epsilon 0.29142857142857154, random actions 0, random actions on zero 0, max actions 1
 - Run (9) 9 / 100 excecuted, epsilon 0.302857142857143, random actions 0, random actions on zero 0, max actions 1
 - Run (10) 10 / 100 excecuted, epsilon 0.31428571428571445, random actions 1, random actions on zero 0, max actions 0
 - Run (11) 11 / 100 excecuted, epsilon 0.3257142857142859, random actions 1, random actions on zero 0, max actions 0
 - Run (12) 12 / 100 excecuted, epsilon 0.33714285714285736, random actions 1, random actions on zero 1, max actions 0
 - Run (13) 13 / 100 excecuted, epsilon 0.3485714285714288, random actions 0, random actions on zero 0, max actions 1
 - Run (14) 14 / 100 excecuted, epsilon 0.36000000000000026, random actions 1, random actions on zero 0, max actions 0
 - Run (15) 15 / 100 excecuted, epsilon 0.3714285714285717, random actions 0, random actions on zero 1, max actions 1
 - Run (16) 16 / 100 excecuted, epsilon 0.3828571428571432, random actions 0, random actions on zero 0, max actions 1
 - Run (17) 17 / 100 excecuted, epsilon 0.39428571428571463, random actions 1, random actions on zero 1, max actions 1
 - Run (18) 18 / 100 excecuted, epsilon 0.4057142857142861, random actions 1, random actions on zero 0, max actions 0
 - Run (19) 19 / 100 excecuted, epsilon 0.41714285714285754, random actions 1, random actions on zero 0, max actions 0
 - Run (20) 20 / 100 excecuted, epsilon 0.428571428571429, random actions 1, random actions on zero 0, max actions 0
 - Run (21) 21 / 100 excecuted, epsilon 0.44000000000000045, random actions 1, random actions on zero 1, max actions 0
 - Run (22) 22 / 100 excecuted, epsilon 0.4514285714285719, random actions 1, random actions on zero 2, max actions 0
 - Run (23) 23 / 100 excecuted, epsilon 0.46285714285714336, random actions 1, random actions on zero 0, max actions 0
 - Run (24) 24 / 100 excecuted, epsilon 0.4742857142857148, random actions 0, random actions on zero 0, max actions 1
 - Run (25) 25 / 100 excecuted, epsilon 0.48571428571428626, random actions 1, random actions on zero 0, max actions 0
 - Run (26) 26 / 100 excecuted, epsilon 0.4971428571428577, random actions 1, random actions on zero 0, max actions 0
