Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;71519;13408;3714;0;15;15;0;1;0;1;0;468000,0;100000;568000,0;1128;169200;737200,0;0;"
"
2;65627;14640;3132;15;15;15;0;1;0;1;9599,999999999998;93599,99999999999;100000;203200,0;1240;186000;389200,0;0;-
3;64697;29391;10574;15;15;0;0;2;0;2;9599,999999999998;93599,99999999999;0;103199,99999999999;2581;387150;490350,0;0;-
4;64646;22549;7292;15;15;0;0;2;0;2;9599,999999999998;468000,0;0;477600,0;1959;293850;771450,0;0;-
5;71519;13496;3668;0;0;15;0;1;0;1;0;0;100000;100000;1136;170400;270400;0;-
6;64890;13705;2894;15;0;15;0;1;0;1;9599,999999999998;0;100000;109600,0;1155;173250;282850,0;0;-
7;64422;13474;3308;15;15;0;0;1;0;1;9599,999999999998;93599,99999999999;0;103199,99999999999;1134;170100;273300,0;0;-
8;71777;12847;4884;0;15;0;0;1;0;1;0;468000,0;0;468000,0;1077;161550;629550,0;0;-
9;70717;12671;4981;0;15;0;1;0;0;1;0;468000,0;0;468000,0;1061;159150;627150,0;0; 
10;71688;13419;5154;0;15;0;1;0;0;1;0;468000,0;0;468000,0;1129;169350;637350,0;0;E
11;64876;13947;3479;15;15;0;0;0;1;1;9599,999999999998;93599,99999999999;0;103199,99999999999;1177;176550;279750,0;0;p
12;65080;13947;3005;15;15;15;1;0;0;1;9599,999999999998;93599,99999999999;100000;203200,0;1177;176550;379750,0;0;o
13;71589;13551;3698;0;0;15;0;0;1;1;0;0;100000;100000;1141;171150;271150;0;c
14;58851;22329;6189;30;0;15;0;1;1;2;19199,999999999996;0;100000;119200,0;1939;290850;410050,0;0;h
15;64750;14156;3465;15;15;0;1;0;0;1;9599,999999999998;93599,99999999999;0;103199,99999999999;1196;179400;282600,0;0;s
16;65306;14695;3129;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1245;186750;296350,0;0;:
17;64538;21284;6043;15;15;15;1;1;0;2;9599,999999999998;468000,0;100000;577600,0;1844;276600;854200,0;0; 
18;71212;13782;3816;0;0;15;0;0;1;1;0;0;100000;100000;1162;174300;274300;0;2
