Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;70900;15158;4658;0;15;15;0;1;0;1;0;6000,0;50000;56000,0;1429;214350;270350,0;0;"
"
2;65353;25735;8720;15;15;30;0;4;0;4;9599,999999999998;6000,0;50000;65600,0;2490;373500;439100,0;0;-
3;64443;17056;4466;15;15;15;0;2;0;2;9599,999999999998;6000,0;50000;65600,0;1598;239700;305300,0;0;-
4;70373;18413;5458;0;0;15;0;2;0;2;0;0;50000;50000;1756;263400;313400;0;-
5;65019;30433;11223;15;15;30;0;3;0;3;9599,999999999998;6000,0;50000;65600,0;2949;442350;507950,0;0;-
6;64217;17561;4839;15;30;15;0;2;0;2;9599,999999999998;7200,0;50000;66800,0;1649;247350;314150,0;0;-
7;64500;17339;4716;15;15;15;0;1;0;1;9599,999999999998;1199,9999999999998;50000;60800,0;1622;243300;304100,0;0;-
8;51426;26415;8537;45;30;15;0;3;0;3;28799,999999999996;2399,9999999999995;50000;81200,0;2536;380400;461600,0;0;-
9;64875;16608;4395;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1554;233100;292700,0;0; 
10;58081;18495;5420;30;15;15;0;1;1;2;19199,999999999996;1199,9999999999998;50000;70400,0;1745;261750;332150,0;0;E
11;63285;38534;14680;15;45;30;1;3;0;4;9599,999999999998;13200,0;50000;72800,0;3769;565350;638150,0;0;p
12;64258;17729;4897;15;15;0;2;0;0;2;9599,999999999998;1199,9999999999998;0;10799,999999999998;1663;249450;260250,0;0;o
13;71238;16317;5082;0;0;30;1;1;0;2;0;0;50000;50000;1548;232200;282200;0;c
14;57678;15702;4309;30;15;0;1;0;1;2;19199,999999999996;1199,9999999999998;0;20399,999999999996;1458;218700;239100,0;0;h
15;64807;14648;4608;15;15;30;0;2;0;2;9599,999999999998;6000,0;50000;65600,0;1373;205950;271550,0;0;s
16;58593;47313;17585;30;15;30;2;3;0;5;19199,999999999996;6000,0;50000;75200,0;4631;694650;769850,0;0;:
17;64697;18213;5360;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1737;260550;320150,0;0; 
18;64600;18321;5525;15;15;30;2;0;0;2;9599,999999999998;1199,9999999999998;50000;60800,0;1747;262050;322850,0;0;2
