Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64072;16868;4247;15;15;15;0;1;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1578;236700;315500,0;0;"
"
2;64860;17570;5220;15;0;15;0;2;0;2;9599,999999999998;0;50000;59600,0;1667;250050;309650,0;0;-
3;71518;28821;11452;0;15;15;0;2;0;2;0;96000;50000;146000;2796;419400;565400;0;-
4;64410;16925;4426;15;30;15;0;2;0;2;9599,999999999998;115200,0;50000;174800,0;1589;238350;413150,0;0;-
5;71161;22807;8285;0;30;15;0;3;0;3;0;192000;50000;242000;2191;328650;570650;0;-
6;64681;16752;4402;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1566;234900;294500,0;0;-
7;51421;23799;7797;45;15;15;0;3;0;3;28799,999999999996;19199,999999999996;50000;98000,0;2275;341250;439250,0;0;-
8;65429;17651;5344;15;15;30;0;2;0;2;9599,999999999998;96000;50000;155600,0;1686;252900;408500,0;0;-
9;58196;22951;6978;30;15;15;1;1;0;2;19199,999999999996;19199,999999999996;50000;88400,0;2186;327900;416300,0;0; 
10;59100;44900;14773;30;15;30;1;3;0;4;19199,999999999996;96000;50000;165200,0;4379;656850;822050,0;0;E
11;70996;19632;6441;0;15;15;2;0;0;2;0;96000;50000;146000;1879;281850;427850;0;p
12;64794;22636;7531;15;30;15;1;1;0;2;9599,999999999998;115200,0;50000;174800,0;2179;326850;501650,0;0;o
13;69590;36656;14866;0;30;30;2;2;0;4;0;192000;50000;242000;3581;537150;779150;0;c
14;64794;17561;4881;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1654;248100;326900,0;0;h
15;57997;16147;4429;30;15;0;0;0;2;2;19199,999999999996;19199,999999999996;0;38399,99999999999;1508;226200;264600,0;0;s
16;64819;24847;8483;15;30;15;2;1;0;3;9599,999999999998;192000;50000;251600,0;2387;358050;609650,0;0;:
17;57583;18194;5196;30;30;15;1;0;1;2;19199,999999999996;38399,99999999999;50000;107600,0;1715;257250;364850,0;0; 
18;64265;18093;4836;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1705;255750;315350,0;0;2
19;64847;18426;5617;15;15;30;0;1;1;2;9599,999999999998;19199,999999999996;50000;78800,0;1757;263550;342350,0;0;0
20;64642;23810;7368;15;15;15;2;0;0;2;9599,999999999998;96000;50000;155600,0;2268;340200;495800,0;0;0
21;64392;15233;3940;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1412;211800;290600,0;0;,
22;71163;18910;5620;0;0;30;1;0;1;2;0;0;50000;50000;1806;270900;320900;0; 
23;64771;17660;5163;15;15;15;2;0;0;2;9599,999999999998;19199,999999999996;50000;78800,0;1681;252150;330950,0;0;S
24;57841;17854;4790;30;15;0;0;0;2;2;19199,999999999996;19199,999999999996;0;38399,99999999999;1679;251850;290250,0;0;t
25;64568;14987;4671;15;15;30;2;0;0;2;9599,999999999998;96000;50000;155600,0;1414;212100;367700,0;0;a
26;64219;16965;4545;15;30;15;1;0;1;2;9599,999999999998;115200,0;50000;174800,0;1593;238950;413750,0;0;r
27;58193;29016;10066;30;15;30;2;0;2;4;19199,999999999996;96000;50000;165200,0;2809;421350;586550,0;0;t
28;70870;17208;5178;0;0;30;1;0;1;2;0;0;50000;50000;1633;244950;294950;0;i
29;51763;42876;14987;45;45;0;2;2;1;5;28799,999999999996;134400,0;0;163200,0;4159;623850;787050,0;0;n
30;64677;18453;5102;15;15;0;2;0;0;2;9599,999999999998;19199,999999999996;0;28799,999999999996;1744;261600;290400,0;0;g
31;70673;15114;4620;0;15;30;1;0;1;2;0;96000;50000;146000;1430;214500;360500;0; 
32;57726;17235;4658;30;30;0;1;0;1;2;19199,999999999996;38399,99999999999;0;57599,99999999999;1615;242250;299850,0;0;E
