Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,58307,27178,8728,30,30,15,0,3,0,3,19199.999999999996,244800.0,50000,314000.0,2615,392250,706250.0,0,"
"
2,70487,17255,5236,0,15,30,0,2,0,2,0,204000.0,50000,254000.0,1642,246300,500300.0,0,-
3,71067,27982,11434,0,15,15,0,2,0,2,0,204000.0,50000,254000.0,2715,407250,661250.0,0,-
4,57457,17051,4626,30,30,15,0,2,0,2,19199.999999999996,81599.99999999999,50000,150800.0,1593,238950,389750.0,0,-
5,58081,20402,6559,30,15,15,0,4,0,4,19199.999999999996,204000.0,50000,273200.0,1938,290700,563900.0,0,-
6,64394,15705,3882,15,15,15,0,1,0,1,9599.999999999998,40799.99999999999,50000,100400.0,1464,219600,320000.0,0,-
7,64428,16476,5034,15,0,30,0,2,0,2,9599.999999999998,0,50000,59600.0,1561,234150,293750.0,0,-
8,64203,18070,4882,15,0,15,0,1,0,1,9599.999999999998,0,50000,59600.0,1702,255300,314900.0,0,-
9,68135,52452,23641,4,45,4,2,3,1,6,2399.9999999999995,612000.0,50000,664400.0,5162,774300,1438700.0,0, 
10,57540,18366,5237,30,15,15,0,0,2,2,19199.999999999996,40799.99999999999,50000,110000.0,1731,259650,369650.0,0,E
11,71332,32929,12415,0,15,30,3,1,0,4,0,204000.0,50000,254000.0,3203,480450,734450.0,0,p
12,64708,19088,6739,15,30,0,2,0,1,3,9599.999999999998,408000.0,0,417600.0,1821,273150,690750.0,0,o
13,64918,17772,5411,15,15,30,2,0,0,2,9599.999999999998,40799.99999999999,50000,100400.0,1696,254400,354800.0,0,c
14,57997,17739,4730,30,0,15,1,0,1,2,19199.999999999996,0,50000,69200.0,1666,249900,319100.0,0,h
15,65072,18113,5839,15,15,0,2,0,0,2,9599.999999999998,204000.0,0,213600.0,1718,257700,471300.0,0,s
16,57839,17618,4720,30,15,0,0,0,2,2,19199.999999999996,40799.99999999999,0,59999.99999999999,1655,248250,308250.0,0,:
17,70945,16917,5272,0,0,30,2,0,0,2,0,0,50000,50000,1604,240600,290600,0, 
18,64685,23658,7541,15,15,15,1,1,0,2,9599.999999999998,204000.0,50000,263600.0,2271,340650,604250.0,0,2
19,64188,17446,4334,15,15,15,2,0,0,2,9599.999999999998,204000.0,50000,263600.0,1642,246300,509900.0,0,0
20,70934,16746,4957,0,15,30,2,0,0,2,0,204000.0,50000,254000.0,1593,238950,492950.0,0,0
21,64499,14850,3777,15,15,15,0,0,1,1,9599.999999999998,40799.99999999999,50000,100400.0,1385,207750,308150.0,0,","
22,58522,28890,9787,30,15,15,1,0,3,4,19199.999999999996,204000.0,50000,273200.0,2784,417600,690800.0,0, 
23,64125,16989,4941,15,0,15,1,0,1,2,9599.999999999998,0,50000,59600.0,1615,242250,301850.0,0,S
24,64483,17780,5064,15,30,15,2,0,0,2,9599.999999999998,244800.0,50000,304400.0,1672,250800,555200.0,0,t
25,64571,17098,4733,15,15,0,2,0,0,2,9599.999999999998,40799.99999999999,0,50399.99999999999,1602,240300,290700.0,0,a
26,64538,17044,4408,15,15,15,1,0,0,1,9599.999999999998,40799.99999999999,50000,100400.0,1594,239100,339500.0,0,r
27,64250,16034,4062,15,0,15,0,0,1,1,9599.999999999998,0,50000,59600.0,1503,225450,285050.0,0,t
28,57954,22960,6931,30,0,15,2,0,1,3,19199.999999999996,0,50000,69200.0,2187,328050,397250.0,0,i
29,57952,17674,4955,30,15,0,0,0,2,2,19199.999999999996,40799.99999999999,0,59999.99999999999,1663,249450,309450.0,0,n
30,54960,56271,22578,34,30,0,4,2,0,6,21599.999999999996,244800.0,0,266400.0,5633,844950,1111350.0,0,g
31,52061,36784,12117,45,30,15,2,2,0,4,28799.999999999996,244800.0,50000,323600.0,3562,534300,857900.0,0, 
32,64173,44434,17200,15,45,15,2,2,0,4,9599.999999999998,448800.0,50000,508400.0,4346,651900,1160300.0,0,E
33,57824,17531,4572,30,0,30,0,0,2,2,19199.999999999996,0,50000,69200.0,1646,246900,316100.0,0,p
34,51604,24085,7169,45,15,15,2,0,1,3,28799.999999999996,40799.99999999999,50000,119600.0,2298,344700,464300.0,0,s
35,58125,15222,4338,30,15,15,0,1,1,2,19199.999999999996,40799.99999999999,50000,110000.0,1417,212550,322550.0,0,i
36,64735,14162,3685,15,15,15,0,1,0,1,9599.999999999998,40799.99999999999,50000,100400.0,1314,197100,297500.0,0,l
37,64415,17282,5022,15,30,30,2,0,0,2,9599.999999999998,244800.0,50000,304400.0,1643,246450,550850.0,0,o
38,57274,17219,4605,30,30,0,1,0,1,2,19199.999999999996,81599.99999999999,0,100799.99999999999,1616,242400,343200.0,0,n
39,64479,24111,7260,15,15,15,2,0,0,2,9599.999999999998,204000.0,50000,263600.0,2301,345150,608750.0,0,:
40,58285,31459,11256,30,15,15,1,1,1,3,19199.999999999996,40799.99999999999,50000,110000.0,3053,457950,567950.0,0, 
41,71274,16428,5155,0,0,30,1,0,1,2,0,0,50000,50000,1558,233700,283700,0,0
42,57472,16881,4642,30,30,0,2,0,0,2,19199.999999999996,81599.99999999999,0,100799.99999999999,1581,237150,337950.0,0,.
43,70935,19003,6320,0,15,15,1,0,1,2,0,204000.0,50000,254000.0,1814,272100,526100.0,0,2
44,64395,15998,4105,15,15,15,1,0,0,1,9599.999999999998,40799.99999999999,50000,100400.0,1497,224550,324950.0,0, 
45,64668,19583,7548,15,15,15,1,2,0,3,9599.999999999998,204000.0,50000,263600.0,1873,280950,544550.0,0,-
46,65385,32580,11746,15,15,15,1,1,0,2,9599.999999999998,40799.99999999999,50000,100400.0,3158,473700,574100.0,0,-
47,64671,15996,4773,15,15,15,2,0,0,2,9599.999999999998,204000.0,50000,263600.0,1512,226800,490400.0,0,-
48,64231,17087,4735,15,15,15,1,0,1,2,9599.999999999998,40799.99999999999,50000,100400.0,1598,239700,340100.0,0,-
49,50716,45842,15830,45,0,30,1,3,1,5,28799.999999999996,0,50000,78800.0,4486,672900,751700.0,0,-
50,57409,17152,4412,30,15,30,1,0,1,2,19199.999999999996,40799.99999999999,50000,110000.0,1611,241650,351650.0,0,-
51,64171,17738,4805,15,15,0,1,0,1,2,9599.999999999998,40799.99999999999,0,50399.99999999999,1671,250650,301050.0,0,-
52,57502,17062,4514,30,15,0,0,0,2,2,19199.999999999996,40799.99999999999,0,59999.99999999999,1598,239700,299700.0,0,-
53,57606,18607,5286,30,15,15,1,0,1,2,19199.999999999996,40799.99999999999,50000,110000.0,1754,263100,373100.0,0,-
54,57937,44213,16911,30,30,15,1,2,2,5,19199.999999999996,244800.0,50000,314000.0,4321,648150,962150.0,0,-
55,64476,18498,5995,15,30,0,2,0,0,2,9599.999999999998,244800.0,0,254400.0,1769,265350,519750.0,0,-
56,57744,16659,4475,30,30,15,0,0,2,2,19199.999999999996,81599.99999999999,50000,150800.0,1561,234150,384950.0,0,-
57,64406,15664,4171,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1459,218850,319250.0,0,-
58,64476,17579,4919,15,15,15,1,0,0,1,9599.999999999998,40799.99999999999,50000,100400.0,1652,247800,348200.0,0,-
59,64592,17489,6048,15,30,0,2,0,0,2,9599.999999999998,244800.0,0,254400.0,1663,249450,503850.0,0,-
60,71193,19916,6756,0,30,15,2,0,0,2,0,408000.0,50000,458000.0,1910,286500,744500.0,0,-
61,64714,15095,4805,15,0,30,0,1,1,2,9599.999999999998,0,50000,59600.0,1419,212850,272450.0,0,-
62,64460,17592,4977,15,30,15,1,0,1,2,9599.999999999998,244800.0,50000,304400.0,1657,248550,552950.0,0,-
63,64357,16511,4556,15,15,15,1,0,1,2,9599.999999999998,40799.99999999999,50000,100400.0,1542,231300,331700.0,0,-
64,70231,16554,4680,0,15,15,1,0,0,1,0,204000.0,50000,254000.0,1568,235200,489200.0,0,-
65,58047,17702,5022,30,15,15,0,0,2,2,19199.999999999996,40799.99999999999,50000,110000.0,1662,249300,359300.0,0,-
66,58290,17642,4817,30,15,15,0,0,2,2,19199.999999999996,40799.99999999999,50000,110000.0,1658,248700,358700.0,0,-
67,64536,16692,5873,15,15,15,1,0,1,2,9599.999999999998,204000.0,50000,263600.0,1579,236850,500450.0,0,-
68,57922,18548,5485,30,30,0,1,0,1,2,19199.999999999996,81599.99999999999,0,100799.99999999999,1751,262650,363450.0,0,-
69,64240,16360,4470,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1532,229800,330200.0,0,-
70,64130,17372,4858,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1632,244800,345200.0,0,-
71,64673,18201,4800,15,0,30,0,0,2,2,9599.999999999998,0,50000,59600.0,1714,257100,316700.0,0,-
72,57644,17273,4766,30,30,0,1,0,1,2,19199.999999999996,81599.99999999999,0,100799.99999999999,1617,242550,343350.0,0,-
73,71325,18107,5518,0,0,30,2,0,0,2,0,0,50000,50000,1727,259050,309050,0,-
74,64341,18182,5266,15,15,15,1,0,1,2,9599.999999999998,40799.99999999999,50000,100400.0,1715,257250,357650.0,0,-
75,64374,18546,5255,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1746,261900,362300.0,0,-
76,64008,17610,4648,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1649,247350,347750.0,0,-
77,64646,23459,7099,15,0,15,1,0,1,2,9599.999999999998,0,50000,59600.0,2242,336300,395900.0,0,-
78,70795,17103,5204,0,15,15,1,0,0,1,0,204000.0,50000,254000.0,1624,243600,497600.0,0,-
79,64848,18360,5020,15,15,15,1,0,1,2,9599.999999999998,40799.99999999999,50000,100400.0,1731,259650,360050.0,0,-
80,70905,17442,5409,0,0,30,1,0,1,2,0,0,50000,50000,1659,248850,298850,0,-
81,58297,18687,5234,30,15,0,1,0,1,2,19199.999999999996,40799.99999999999,0,59999.99999999999,1759,263850,323850.0,0,-
82,64523,17144,4725,15,15,0,0,0,1,1,9599.999999999998,40799.99999999999,0,50399.99999999999,1605,240750,291150.0,0,-
83,64303,16259,4249,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1518,227700,328100.0,0,-
84,70521,18917,5772,0,0,30,1,0,1,2,0,0,50000,50000,1801,270150,320150,0,-
85,63922,17300,4661,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1621,243150,343550.0,0,-
86,64257,16485,4485,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1538,230700,331100.0,0,-
87,57461,16006,4368,30,15,15,1,0,1,2,19199.999999999996,40799.99999999999,50000,110000.0,1493,223950,333950.0,0,-
88,64479,16436,4449,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1527,229050,329450.0,0,-
89,57687,17687,5021,30,15,0,0,0,2,2,19199.999999999996,40799.99999999999,0,59999.99999999999,1662,249300,309300.0,0,-
90,64575,16142,5018,15,0,15,0,1,1,2,9599.999999999998,0,50000,59600.0,1524,228600,288200.0,0,-
91,58030,16509,4633,30,15,0,0,0,2,2,19199.999999999996,40799.99999999999,0,59999.99999999999,1548,232200,292200.0,0,-
92,57861,17396,4728,30,15,0,0,1,2,3,19199.999999999996,40799.99999999999,0,59999.99999999999,1631,244650,304650.0,0,-
93,50068,37209,12364,49,19,30,1,1,4,6,31199.999999999996,214200.0,50000,295400.0,3610,541500,836900.0,0,-
94,57747,16771,4492,30,30,0,0,0,2,2,19199.999999999996,81599.99999999999,0,100799.99999999999,1570,235500,336300.0,0,-
95,57634,17697,4936,30,30,0,0,0,2,2,19199.999999999996,81599.99999999999,0,100799.99999999999,1666,249900,350700.0,0,-
96,64302,16493,4335,15,15,15,1,0,1,2,9599.999999999998,40799.99999999999,50000,100400.0,1546,231900,332300.0,0,-
97,57665,18141,5067,30,30,0,0,0,2,2,19199.999999999996,81599.99999999999,0,100799.99999999999,1700,255000,355800.0,0,-
98,57790,18217,5039,30,30,0,0,0,2,2,19199.999999999996,81599.99999999999,0,100799.99999999999,1711,256650,357450.0,0,-
99,57666,16312,4374,30,15,15,0,0,2,2,19199.999999999996,40799.99999999999,50000,110000.0,1529,229350,339350.0,0,-
100,57666,23881,7599,30,15,15,1,0,2,3,19199.999999999996,40799.99999999999,50000,110000.0,2271,340650,450650.0,0,-
101,64194,17823,4892,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1675,251250,351650.0,0,-
102,64086,17415,4757,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1633,244950,345350.0,0,-
103,64130,16759,4493,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1563,234450,334850.0,0,-
104,71787,16033,5021,0,0,30,1,0,1,2,0,0,50000,50000,1521,228150,278150,0,-
105,63919,18186,5215,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1711,256650,357050.0,0,-
106,64524,16827,4726,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1578,236700,337100.0,0,-
107,71605,20011,7057,0,30,30,1,1,1,3,0,408000.0,50000,458000.0,1911,286650,744650.0,0,-
108,64374,16001,4237,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1489,223350,323750.0,0,-
109,71295,16443,4965,0,15,15,1,0,0,1,0,204000.0,50000,254000.0,1556,233400,487400.0,0,-
110,64116,16634,4557,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1554,233100,333500.0,0,-
111,64967,16696,4633,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1564,234600,335000.0,0,-
112,57561,17689,4909,30,30,0,1,0,1,2,19199.999999999996,81599.99999999999,0,100799.99999999999,1659,248850,349650.0,0,-
113,64614,17743,5022,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1671,250650,351050.0,0,-
114,64858,17722,4994,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1665,249750,350150.0,0,-
115,63685,15603,4367,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1456,218400,318800.0,0,-
116,64252,18895,5348,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1781,267150,367550.0,0,-
117,64418,16285,4392,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1526,228900,329300.0,0,-
118,64135,16672,4536,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1555,233250,333650.0,0,-
119,64144,16233,4679,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1520,228000,328400.0,0,-
120,63869,17565,4755,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1650,247500,347900.0,0,-
121,64479,17534,4817,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1654,248100,348500.0,0,-
122,64184,18351,5171,15,15,15,0,0,2,2,9599.999999999998,40799.99999999999,50000,100400.0,1731,259650,360050.0,0,"
"
