Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;56931;47607;19317;34;34;19;0;6;0;6;21599,999999999996;240000,0;50000;311600,0;4658;698700;1010300,0;0;"
"
2;64360;17813;4863;15;15;15;0;1;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1672;250800;348800,0;0;-
3;57906;34557;13469;30;15;15;0;3;0;3;19199,999999999996;38399,99999999999;50000;107600,0;3364;504600;612200,0;0;-
4;51994;24823;7206;45;30;15;0;3;0;3;28799,999999999996;76799,99999999999;50000;155600,0;2366;354900;510500,0;0;-
5;70331;20062;7172;0;45;15;0;3;0;3;0;576000;50000;626000;1920;288000;914000;0;-
6;64490;17153;5087;15;0;30;0;2;0;2;9599,999999999998;0;50000;59600,0;1630;244500;304100,0;0;-
7;64811;18061;4890;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1701;255150;314750,0;0;-
8;65020;15864;5181;15;0;30;0;1;1;2;9599,999999999998;0;50000;59600,0;1503;225450;285050,0;0;-
9;71663;16217;4853;0;15;15;0;1;0;1;0;192000;50000;242000;1533;229950;471950;0; 
10;64618;16357;4934;15;15;30;1;0;1;2;9599,999999999998;192000;50000;251600,0;1552;232800;484400,0;0;E
11;58350;24809;7477;30;15;15;3;0;0;3;19199,999999999996;192000;50000;261200,0;2363;354450;615650,0;0;p
12;64421;17165;4883;15;30;15;1;0;1;2;9599,999999999998;230400,0;50000;290000,0;1610;241500;531500,0;0;o
13;70440;17503;5869;0;15;15;1;0;1;2;0;192000;50000;242000;1668;250200;492200;0;c
14;64219;16113;4875;15;15;30;2;0;0;2;9599,999999999998;192000;50000;251600,0;1522;228300;479900,0;0;h
15;64794;16839;4669;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1579;236850;296450,0;0;s
16;65208;31557;12164;15;30;15;1;1;1;3;9599,999999999998;230400,0;50000;290000,0;3071;460650;750650,0;0;:
17;64971;40134;16385;15;30;15;3;0;1;4;9599,999999999998;384000;50000;443600,0;3937;590550;1034150,0;0; 
18;64406;17393;5181;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1655;248250;307850,0;0;2
19;64285;16005;4023;15;15;15;0;0;1;1;9599,999999999998;38399,99999999999;50000;98000,0;1498;224700;322700,0;0;0
20;64928;32019;11440;15;15;15;1;1;0;2;9599,999999999998;38399,99999999999;50000;98000,0;3108;466200;564200,0;0;0
21;70390;16971;4942;0;15;15;1;0;0;1;0;192000;50000;242000;1608;241200;483200;0;,
22;57732;16795;4282;30;0;30;0;0;2;2;19199,999999999996;0;50000;69200,0;1570;235500;304700,0;0; 
23;56932;53495;22178;30;45;0;3;2;0;5;19199,999999999996;268800,0;0;288000,0;5252;787800;1075800,0;0;S
24;64722;30573;10969;15;15;30;2;1;0;3;9599,999999999998;192000;50000;251600,0;2968;445200;696800,0;0;t
25;58031;17342;5107;30;15;15;1;0;1;2;19199,999999999996;38399,99999999999;50000;107600,0;1632;244800;352400,0;0;a
26;64297;15712;3808;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1462;219300;278900,0;0;r
27;64410;17916;5265;15;15;30;1;0;1;2;9599,999999999998;38399,99999999999;50000;98000,0;1711;256650;354650,0;0;t
28;64350;18403;4979;15;15;15;1;0;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1740;261000;359000,0;0;i
29;70983;15728;4800;0;15;30;1;0;1;2;0;192000;50000;242000;1483;222450;464450;0;n
30;64248;16799;4410;15;15;15;1;0;0;1;9599,999999999998;38399,99999999999;50000;98000,0;1572;235800;333800,0;0;g
31;57865;22288;6772;30;15;15;3;0;0;3;19199,999999999996;192000;50000;261200,0;2125;318750;579950,0;0; 
32;64663;18018;5154;15;30;15;1;0;1;2;9599,999999999998;230400,0;50000;290000,0;1692;253800;543800,0;0;E
33;64552;30317;11513;15;15;15;1;1;1;3;9599,999999999998;38399,99999999999;50000;98000,0;2946;441900;539900,0;0;p
