Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt

1;71274;17899;5517;0;15;15;0;2;0;2;0;120000;50000;170000;1703;255450;425450;0;"
"

2;71267;16502;5245;0;15;30;0;2;0;2;0;120000;50000;170000;1568;235200;405200;0;-

3;57783;15784;4165;30;0;30;0;2;0;2;19199,999999999996;0;50000;69200,0;1475;221250;290450,0;0;-

4;64602;15134;4502;15;30;30;0;2;0;2;9599,999999999998;144000,0;50000;203600,0;1425;213750;417350,0;0;-

5;57854;36029;14542;30;45;4;0;6;0;6;19199,999999999996;264000,0;50000;333200,0;3517;527550;860750,0;0;-

6;64531;16073;4149;15;15;15;0;1;0;1;9599,999999999998;23999,999999999996;50000;83600,0;1503;225450;309050,0;0;-

7;64039;18286;5281;15;15;15;0;2;0;2;9599,999999999998;23999,999999999996;50000;83600,0;1724;258600;342200,0;0;-

8;44927;32109;10055;60;0;30;2;2;0;4;38399,99999999999;0;50000;88400,0;3099;464850;553250,0;0;-

9;57782;32335;12258;30;30;15;2;3;0;5;19199,999999999996;144000,0;50000;213200,0;3145;471750;684950,0;0; 

10;64523;16305;4543;15;15;0;1;0;1;2;9599,999999999998;23999,999999999996;0;33599,99999999999;1529;229350;262950,0;0;E

11;64758;14235;3494;15;0;15;0;1;0;1;9599,999999999998;0;50000;59600,0;1325;198750;258350,0;0;p

12;64265;16480;4437;15;15;15;1;0;1;2;9599,999999999998;23999,999999999996;50000;83600,0;1535;230250;313850,0;0;o

13;65032;18085;5522;15;0;30;0;0;2;2;9599,999999999998;0;50000;59600,0;1722;258300;317900,0;0;c

14;57997;17345;4966;30;15;0;2;0;0;2;19199,999999999996;23999,999999999996;0;43199,99999999999;1631;244650;287850,0;0;h

15;57625;16944;4655;30;30;0;2;0;0;2;19199,999999999996;47999,99999999999;0;67199,99999999999;1584;237600;304800,0;0;s

16;64430;14956;4125;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1389;208350;267950,0;0;:

17;64504;16616;4271;15;15;15;0;0;1;1;9599,999999999998;23999,999999999996;50000;83600,0;1556;233400;317000,0;0; 

18;64390;15055;4024;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1403;210450;270050,0;0;2

19;71391;34972;14057;0;30;15;1;2;0;3;0;240000;50000;290000;3425;513750;803750;0;0

