Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;58223;15176;4409;30;30;0;0;2;0;2;19199,999999999996;86399,99999999999;0;105599,99999999999;1408;211200;316800,0;0;"
"
2;65146;31278;11314;15;0;30;0;3;0;3;9599,999999999998;0;50000;59600,0;3041;456150;515750,0;0;-
3;71289;20101;6705;0;30;15;0;2;0;2;0;432000;50000;482000;1926;288900;770900;0;-
4;64322;16131;4064;15;15;15;0;1;0;1;9599,999999999998;43199,99999999999;50000;102800,0;1510;226500;329300,0;0;-
5;51432;44838;15511;45;15;15;0;4;0;4;28799,999999999996;43199,99999999999;50000;122000,0;4366;654900;776900,0;0;-
6;70472;15723;4629;0;15;15;0;1;0;1;0;216000;50000;266000;1490;223500;489500;0;-
7;57243;16809;4327;30;0;15;0;2;0;2;19199,999999999996;0;50000;69200,0;1573;235950;305150,0;0;-
8;70764;16494;5100;0;15;15;0;2;0;2;0;216000;50000;266000;1561;234150;500150;0;-
9;57900;21210;6537;30;15;15;1;1;0;2;19199,999999999996;43199,99999999999;50000;112400,0;2017;302550;414950,0;0; 
10;58067;17691;4828;30;30;15;1;0;1;2;19199,999999999996;86399,99999999999;50000;155600,0;1665;249750;405350,0;0;E
11;64561;16990;4585;15;15;30;2;0;0;2;9599,999999999998;216000;50000;275600,0;1597;239550;515150,0;0;p
12;57867;32023;11916;30;30;15;2;1;0;3;19199,999999999996;86399,99999999999;50000;155600,0;3114;467100;622700,0;0;o
13;71450;17818;5153;0;0;30;0;0;2;2;0;0;50000;50000;1698;254700;304700;0;c
14;64238;16814;4196;15;15;15;0;0;1;1;9599,999999999998;43199,99999999999;50000;102800,0;1576;236400;339200,0;0;h
15;57554;15862;4433;30;15;0;2;0;0;2;19199,999999999996;43199,99999999999;0;62399,99999999999;1477;221550;283950,0;0;s
