Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;57841;16752;4302;30;0;30;0;2;0;2;19199,999999999996;0;50000;69200,0;1568;235200;304400,0;0;"
"
2;65088;18036;5626;15;30;15;0;3;0;3;9599,999999999998;14400,0;50000;74000,0;1715;257250;331250,0;0;-
3;51261;40358;13645;45;0;15;0;4;0;4;28799,999999999996;0;50000;78800,0;3931;589650;668450,0;0;-
4;70646;17880;5434;0;15;15;0;1;0;1;0;12000,0;50000;62000,0;1697;254550;316550,0;0;-
5;65039;28649;11057;15;0;15;0;2;0;2;9599,999999999998;0;50000;59600,0;2768;415200;474800,0;0;-
6;64104;17476;5032;15;30;15;0;2;0;2;9599,999999999998;14400,0;50000;74000,0;1640;246000;320000,0;0;-
7;65008;17964;5719;15;30;15;0;2;0;2;9599,999999999998;14400,0;50000;74000,0;1711;256650;330650,0;0;-
8;64501;16842;4530;15;15;15;0;1;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1579;236850;298850,0;0;-
9;70522;19354;6357;0;15;15;1;1;0;2;0;12000,0;50000;62000,0;1847;277050;339050,0;0; 
10;64645;16472;4939;15;0;30;1;1;0;2;9599,999999999998;0;50000;59600,0;1564;234600;294200,0;0;E
11;64356;16823;5279;15;15;30;2;0;0;2;9599,999999999998;2399,9999999999995;50000;62000,0;1590;238500;300500,0;0;p
12;64926;17689;5322;15;30;0;1;0;1;2;9599,999999999998;14400,0;0;24000,0;1664;249600;273600,0;0;o
13;64662;16996;4917;15;15;15;1;0;1;2;9599,999999999998;2399,9999999999995;50000;62000,0;1618;242700;304700,0;0;c
14;70936;15338;4907;0;15;30;2;0;0;2;0;12000,0;50000;62000,0;1446;216900;278900,0;0;h
15;65403;33397;11849;15;15;15;1;1;0;2;9599,999999999998;2399,9999999999995;50000;62000,0;3250;487500;549500,0;0;s
16;64676;17897;5002;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1685;252750;314750,0;0;:
17;64002;16781;4308;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1574;236100;295700,0;0; 
18;64069;17416;4819;15;30;15;2;0;0;2;9599,999999999998;14400,0;50000;74000,0;1636;245400;319400,0;0;2
19;71094;16493;4867;0;15;15;0;0;1;1;0;12000,0;50000;62000,0;1562;234300;296300,0;0;0
20;44832;31622;9969;60;0;30;2;0;2;4;38399,99999999999;0;50000;88400,0;3039;455850;544250,0;0;0
21;64618;21631;7428;15;30;15;2;0;1;3;9599,999999999998;24000,0;50000;83600,0;2081;312150;395750,0;0;,
22;71039;16624;4807;0;15;15;1;0;0;1;0;12000,0;50000;62000,0;1578;236700;298700,0;0; 
23;64739;15888;4034;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1485;222750;282350,0;0;S
24;64382;17082;4320;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1612;241800;303800,0;0;t
25;64676;13480;3441;15;15;15;0;1;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1247;187050;249050,0;0;a
26;70958;17299;5240;0;0;15;1;0;0;1;0;0;50000;50000;1646;246900;296900;0;r
27;64501;16643;4704;15;30;15;1;0;1;2;9599,999999999998;14400,0;50000;74000,0;1561;234150;308150,0;0;t
28;64951;18866;5692;15;15;15;1;0;1;2;9599,999999999998;2399,9999999999995;50000;62000,0;1805;270750;332750,0;0;i
29;57710;23918;6966;30;0;15;2;0;0;2;19199,999999999996;0;50000;69200,0;2281;342150;411350,0;0;n
30;51263;41846;18221;45;30;30;1;3;1;5;28799,999999999996;14400,0;50000;93200,0;4101;615150;708350,0;0;g
31;64310;18487;5532;15;0;15;2;0;0;2;9599,999999999998;0;50000;59600,0;1765;264750;324350,0;0; 
32;64703;17614;4618;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1657;248550;308150,0;0;E
33;64114;15612;4063;15;15;15;0;0;1;1;9599,999999999998;2399,9999999999995;50000;62000,0;1452;217800;279800,0;0;p
34;64331;17181;4353;15;30;15;1;0;1;2;9599,999999999998;14400,0;50000;74000,0;1610;241500;315500,0;0;s
35;70226;19396;6347;0;15;15;0;0;2;2;0;12000,0;50000;62000,0;1854;278100;340100,0;0;i
36;58259;17185;4899;30;30;15;2;0;0;2;19199,999999999996;4799,999999999999;50000;74000,0;1616;242400;316400,0;0;l
37;64685;16670;4624;15;30;0;2;0;0;2;9599,999999999998;14400,0;0;24000,0;1561;234150;258150,0;0;o
38;64797;15282;3853;15;15;15;0;0;1;1;9599,999999999998;2399,9999999999995;50000;62000,0;1424;213600;275600,0;0;n
39;51650;37297;12924;45;30;15;3;2;0;5;28799,999999999996;24000,0;50000;102800,0;3620;543000;645800,0;0;:
40;57728;29817;11566;30;60;0;1;2;1;4;19199,999999999996;28800,0;0;48000,0;2898;434700;482700,0;0; 
41;64944;21945;7525;15;30;15;2;0;0;2;9599,999999999998;14400,0;50000;74000,0;2107;316050;390050,0;0;0
42;70120;49848;20230;0;0;30;1;2;1;4;0;0;50000;50000;4907;736050;786050;0;,
43;58103;17705;6217;30;30;0;2;0;1;3;19199,999999999996;14400,0;0;33600,0;1683;252450;286050,0;0;2
44;70945;16398;5116;0;15;15;0;0;1;1;0;12000,0;50000;62000,0;1552;232800;294800,0;0; 
45;64630;16683;4402;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1561;234150;293750,0;0;-
46;57201;16091;4167;30;15;15;1;0;1;2;19199,999999999996;2399,9999999999995;50000;71600,0;1506;225900;297500,0;0;-
47;51165;57388;21623;45;30;0;1;3;1;5;28799,999999999996;4799,999999999999;0;33599,99999999999;5627;844050;877650,0;0;-
48;64716;24957;8204;15;30;15;2;0;1;3;9599,999999999998;24000,0;50000;83600,0;2387;358050;441650,0;0;-
49;56016;63533;23141;30;15;30;1;2;2;5;19199,999999999996;2399,9999999999995;50000;71600,0;6254;938100;1009700,0;0;-
50;64228;15575;4485;15;30;15;0;0;2;2;9599,999999999998;14400,0;50000;74000,0;1451;217650;291650,0;0;-
51;64655;27715;11309;15;30;15;2;1;0;3;9599,999999999998;14400,0;50000;74000,0;2686;402900;476900,0;0;-
52;56730;35601;12066;34;19;19;4;2;0;6;21599,999999999996;12600,0;50000;84200,0;3614;542100;626300,0;0;-
53;64465;16447;4122;15;15;15;0;0;1;1;9599,999999999998;2399,9999999999995;50000;62000,0;1543;231450;293450,0;0;-
54;64775;33446;12405;15;30;15;1;1;1;3;9599,999999999998;14400,0;50000;74000,0;3254;488100;562100,0;0;-
55;59611;61058;25683;19;30;15;3;3;0;6;11999,999999999998;24000,0;50000;86000,0;6019;902850;988850,0;0;-
56;71012;14953;4663;0;15;15;1;0;0;1;0;12000,0;50000;62000,0;1407;211050;273050,0;0;-
57;57913;17400;4928;30;15;0;1;0;1;2;19199,999999999996;2399,9999999999995;0;21599,999999999996;1634;245100;266700,0;0;-
58;58181;27233;9182;30;30;30;3;1;0;4;19199,999999999996;14400,0;50000;83600,0;2623;393450;477050,0;0;-
59;71118;17314;5223;0;15;15;1;0;0;1;0;12000,0;50000;62000,0;1645;246750;308750,0;0;-
60;52195;31510;10228;45;15;15;2;1;0;3;28799,999999999996;2399,9999999999995;50000;81200,0;3037;455550;536750,0;0;-
61;57221;17705;4766;30;30;15;0;0;2;2;19199,999999999996;4799,999999999999;50000;74000,0;1660;249000;323000,0;0;-
62;64785;17709;5326;15;15;30;1;0;1;2;9599,999999999998;2399,9999999999995;50000;62000,0;1684;252600;314600,0;0;-
63;57939;17611;4795;30;15;30;1;0;1;2;19199,999999999996;2399,9999999999995;50000;71600,0;1658;248700;320300,0;0;-
64;57572;18305;5153;30;30;15;1;0;1;2;19199,999999999996;4799,999999999999;50000;74000,0;1722;258300;332300,0;0;-
65;64071;16511;4252;15;15;15;1;0;0;1;9599,999999999998;2399,9999999999995;50000;62000,0;1538;230700;292700,0;0;-
66;57895;24230;7291;30;0;30;3;0;0;3;19199,999999999996;0;50000;69200,0;2317;347550;416750,0;0;-
67;57994;17856;5069;30;30;15;0;0;2;2;19199,999999999996;4799,999999999999;50000;74000,0;1680;252000;326000,0;0;-
68;64766;16797;5066;15;15;30;2;0;0;2;9599,999999999998;12000,0;50000;71600,0;1595;239250;310850,0;0;-
69;71322;28834;11489;0;15;15;1;0;1;2;0;12000,0;50000;62000,0;2795;419250;481250,0;0;-
70;57651;18537;5198;30;30;15;0;0;2;2;19199,999999999996;4799,999999999999;50000;74000,0;1752;262800;336800,0;0;-
71;57605;16655;4310;30;30;15;1;0;1;2;19199,999999999996;4799,999999999999;50000;74000,0;1559;233850;307850,0;0;-
72;57896;17779;4982;30;15;15;0;0;2;2;19199,999999999996;2399,9999999999995;50000;71600,0;1676;251400;323000,0;0;-
73;71271;14735;4445;0;15;15;1;0;0;1;0;12000,0;50000;62000,0;1391;208650;270650,0;0;-
74;64606;17532;4797;15;15;0;0;0;1;1;9599,999999999998;2399,9999999999995;0;11999,999999999998;1647;247050;259050,0;0;-
