Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;62612;37253;16318;15;60;30;0;5;0;5;9599,999999999998;307200,0;50000;366800,0;3634;545100;911900,0;0;"
"
2;64496;17183;4479;15;15;15;0;1;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1613;241950;320750,0;0;-
3;64239;18350;5528;15;0;15;0;2;0;2;9599,999999999998;0;50000;59600,0;1749;262350;321950,0;0;-
4;64759;23191;7015;15;15;30;0;3;0;3;9599,999999999998;96000;50000;155600,0;2218;332700;488300,0;0;-
5;64535;19415;6214;15;15;15;0;2;0;2;9599,999999999998;96000;50000;155600,0;1856;278400;434000,0;0;-
6;58020;14723;3590;30;15;15;0;2;0;2;19199,999999999996;19199,999999999996;50000;88400,0;1370;205500;293900,0;0;-
7;71563;15397;4721;0;15;15;0;1;0;1;0;96000;50000;146000;1456;218400;364400;0;-
8;57971;14931;4293;30;30;15;1;1;0;2;19199,999999999996;38399,99999999999;50000;107600,0;1391;208650;316250,0;0;-
9;57548;15840;4067;30;0;30;1;1;0;2;19199,999999999996;0;50000;69200,0;1477;221550;290750,0;0; 
10;58023;39889;16094;30;45;0;0;2;2;4;19199,999999999996;134400,0;0;153600,0;3909;586350;739950,0;0;E
11;57634;17751;4807;30;15;0;0;1;1;2;19199,999999999996;19199,999999999996;0;38399,99999999999;1664;249600;288000,0;0;p
12;44588;31974;11055;60;15;15;2;1;1;4;38399,99999999999;19199,999999999996;50000;107600,0;3078;461700;569300,0;0;o
13;64247;17423;4980;15;15;15;1;0;1;2;9599,999999999998;19199,999999999996;50000;78800,0;1635;245250;324050,0;0;c
14;64313;17375;4385;15;15;30;0;0;2;2;9599,999999999998;96000;50000;155600,0;1627;244050;399650,0;0;h
15;71189;18001;5386;0;0;30;1;0;1;2;0;0;50000;50000;1711;256650;306650;0;s
16;51439;34919;12678;45;45;30;5;0;0;5;28799,999999999996;211200,0;50000;290000,0;3405;510750;800750,0;0;:
17;64467;17374;4681;15;15;15;0;0;1;1;9599,999999999998;19199,999999999996;50000;78800,0;1631;244650;323450,0;0; 
18;64538;17023;4646;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1597;239550;318350,0;0;2
19;70825;17201;5207;0;15;15;1;0;0;1;0;96000;50000;146000;1638;245700;391700;0;0
20;64193;16793;4306;15;0;15;1;0;0;1;9599,999999999998;0;50000;59600,0;1574;236100;295700,0;0;0
21;64061;17179;4514;15;15;15;1;0;0;1;9599,999999999998;19199,999999999996;50000;78800,0;1615;242250;321050,0;0;,
22;64147;17477;4706;15;15;0;1;0;1;2;9599,999999999998;19199,999999999996;0;28799,999999999996;1644;246600;275400,0;0; 
23;57947;23559;6922;30;0;15;1;0;1;2;19199,999999999996;0;50000;69200,0;2248;337200;406400,0;0;S
24;64558;17140;5364;15;0;30;1;0;1;2;9599,999999999998;0;50000;59600,0;1617;242550;302150,0;0;t
25;71482;16747;5130;0;15;15;1;0;0;1;0;96000;50000;146000;1590;238500;384500;0;a
26;58510;42860;16237;30;30;15;2;2;0;4;19199,999999999996;115200,0;50000;184400,0;4187;628050;812450,0;0;r
27;64500;18315;5036;15;15;15;1;0;1;2;9599,999999999998;19199,999999999996;50000;78800,0;1724;258600;337400,0;0;t
28;57723;16537;4577;30;30;15;2;0;0;2;19199,999999999996;38399,99999999999;50000;107600,0;1546;231900;339500,0;0;i
29;64193;16322;4135;15;0;30;2;0;0;2;9599,999999999998;0;50000;59600,0;1524;228600;288200,0;0;n
30;64017;27563;8684;15;15;15;1;1;1;3;9599,999999999998;19199,999999999996;50000;78800,0;2651;397650;476450,0;0;g
31;70666;17441;5277;0;15;15;1;0;0;1;0;96000;50000;146000;1662;249300;395300;0; 
32;51558;26040;8188;45;15;15;2;0;1;3;28799,999999999996;19199,999999999996;50000;98000,0;2494;374100;472100,0;0;E
33;64226;17402;4911;15;15;0;2;0;0;2;9599,999999999998;19199,999999999996;0;28799,999999999996;1634;245100;273900,0;0;p
34;65016;49520;20121;15;15;15;1;2;1;4;9599,999999999998;19199,999999999996;50000;78800,0;4868;730200;809000,0;0;s
35;64112;16056;4167;15;0;15;0;0;1;1;9599,999999999998;0;50000;59600,0;1499;224850;284450,0;0;i
36;64301;16798;4501;15;30;15;1;0;1;2;9599,999999999998;115200,0;50000;174800,0;1570;235500;410300,0;0;l
37;64746;17521;4756;15;0;15;0;0;2;2;9599,999999999998;0;50000;59600,0;1648;247200;306800,0;0;o
38;70194;29831;11752;0;30;15;2;1;0;3;0;192000;50000;242000;2897;434550;676550;0;n
39;57775;35578;13072;30;30;30;3;1;0;4;19199,999999999996;115200,0;50000;184400,0;3463;519450;703850,0;0;:
40;64361;15992;4251;15;15;15;0;0;1;1;9599,999999999998;19199,999999999996;50000;78800,0;1497;224550;303350,0;0; 
