Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,64549,15059,3944,15,0,15,0,1,0,1,9599.999999999998,0,50000,59600.0,1401,210150,269750.0,0,"
"
2,64623,23693,7230,15,15,15,0,2,0,2,9599.999999999998,228000.0,50000,287600.0,2263,339450,627050.0,0,-
3,57766,17585,4998,30,30,15,0,2,0,2,19199.999999999996,91199.99999999999,50000,160400.0,1659,248850,409250.0,0,-
4,64521,16784,4363,15,15,15,0,1,0,1,9599.999999999998,45599.99999999999,50000,105200.0,1572,235800,341000.0,0,-
5,64293,52504,20900,15,30,15,0,4,0,4,9599.999999999998,273600.0,50000,333200.0,5159,773850,1107050.0,0,-
6,70997,18580,5593,0,15,15,0,2,0,2,0,228000.0,50000,278000.0,1772,265800,543800.0,0,-
7,71128,17293,5096,0,15,15,0,1,0,1,0,228000.0,50000,278000.0,1651,247650,525650.0,0,-
8,70959,20154,6790,0,15,15,0,2,0,2,0,228000.0,50000,278000.0,1931,289650,567650.0,0,-
9,71093,16652,4973,0,15,15,1,0,0,1,0,228000.0,50000,278000.0,1579,236850,514850.0,0, 
10,64627,18018,6329,15,15,15,1,1,0,2,9599.999999999998,228000.0,50000,287600.0,1715,257250,544850.0,0,E
11,58741,26337,8189,30,15,15,1,2,0,3,19199.999999999996,228000.0,50000,297200.0,2545,381750,678950.0,0,p
12,57731,17756,4928,30,30,0,0,1,1,2,19199.999999999996,91199.99999999999,0,110399.99999999999,1673,250950,361350.0,0,o
13,64338,15343,4119,15,15,15,1,0,0,1,9599.999999999998,45599.99999999999,50000,105200.0,1431,214650,319850.0,0,c
14,57593,22585,7482,30,30,15,1,1,1,3,19199.999999999996,273600.0,50000,342800.0,2148,322200,665000.0,0,h
15,64528,17600,4887,15,15,15,1,0,1,2,9599.999999999998,45599.99999999999,50000,105200.0,1656,248400,353600.0,0,s
16,57995,17294,4908,30,15,15,1,0,1,2,19199.999999999996,45599.99999999999,50000,114800.0,1626,243900,358700.0,0,:
17,64824,16425,4348,15,0,15,1,0,0,1,9599.999999999998,0,50000,59600.0,1538,230700,290300.0,0, 
18,63284,58112,23771,15,19,19,3,3,0,6,9599.999999999998,285000.0,50000,344600.0,5769,865350,1209950.0,0,2
19,57840,24936,7597,30,15,30,0,0,3,3,19199.999999999996,45599.99999999999,50000,114800.0,2384,357600,472400.0,0,0
20,71229,16890,5131,0,15,15,1,0,0,1,0,228000.0,50000,278000.0,1605,240750,518750.0,0,0
21,64417,18395,5106,15,30,15,2,0,0,2,9599.999999999998,273600.0,50000,333200.0,1729,259350,592550.0,0,","
22,64459,17105,4487,15,15,15,1,0,1,2,9599.999999999998,228000.0,50000,287600.0,1607,241050,528650.0,0, 
23,64546,17031,4483,15,15,15,1,0,0,1,9599.999999999998,45599.99999999999,50000,105200.0,1598,239700,344900.0,0,S
24,70515,17065,4998,0,0,15,0,0,1,1,0,0,50000,50000,1622,243300,293300,0,t
25,51461,43432,17790,45,15,15,1,2,2,5,28799.999999999996,228000.0,50000,306800.0,4251,637650,944450.0,0,a
26,57469,16798,4186,30,0,15,0,0,2,2,19199.999999999996,0,50000,69200.0,1578,236700,305900.0,0,r
27,70635,14244,4174,0,15,15,0,1,0,1,0,228000.0,50000,278000.0,1343,201450,479450.0,0,t
28,64542,31624,11924,15,15,15,1,2,0,3,9599.999999999998,228000.0,50000,287600.0,3085,462750,750350.0,0,i
29,64872,30382,11170,15,15,15,1,1,0,2,9599.999999999998,45599.99999999999,50000,105200.0,2946,441900,547100.0,0,n
30,57445,14252,4103,30,15,15,1,1,0,2,19199.999999999996,45599.99999999999,50000,114800.0,1320,198000,312800.0,0,g
31,65100,17643,5599,15,0,15,0,0,2,2,9599.999999999998,0,50000,59600.0,1675,251250,310850.0,0, 
32,64568,15635,3957,15,0,15,0,0,1,1,9599.999999999998,0,50000,59600.0,1464,219600,279200.0,0,E
