Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,57689,30473,11719,30,15,15,0,3,0,3,19199.999999999996,43199.99999999999,50000,112400.0,2963,444450,556850.0,0,"
"
2,70688,18935,6238,0,30,15,0,3,0,3,0,432000,50000,482000,1811,271650,753650,0,-
3,64448,17887,5142,15,15,30,0,2,0,2,9599.999999999998,43199.99999999999,50000,102800.0,1706,255900,358700.0,0,-
4,62966,39958,16719,15,15,30,0,5,0,5,9599.999999999998,216000,50000,275600.0,3914,587100,862700.0,0,-
5,51809,40115,14372,45,30,15,2,1,1,4,28799.999999999996,259200.0,50000,338000.0,3893,583950,921950.0,0,-
6,64569,17657,4786,15,15,15,0,1,0,1,9599.999999999998,43199.99999999999,50000,102800.0,1659,248850,351650.0,0,-
7,58007,17977,4941,30,15,15,0,1,1,2,19199.999999999996,43199.99999999999,50000,112400.0,1687,253050,365450.0,0,-
8,64592,16197,4152,15,0,15,0,1,0,1,9599.999999999998,0,50000,59600.0,1518,227700,287300.0,0,-
9,70789,17379,5233,0,15,30,0,1,1,2,0,216000,50000,266000,1649,247350,513350,0, 
10,71255,16780,5133,0,15,15,1,0,0,1,0,216000,50000,266000,1591,238650,504650,0,E
11,64490,16605,4369,15,0,15,1,0,0,1,9599.999999999998,0,50000,59600.0,1555,233250,292850.0,0,p
12,57956,14422,3701,30,15,15,1,1,0,2,19199.999999999996,43199.99999999999,50000,112400.0,1343,201450,313850.0,0,o
13,64621,17314,5135,15,0,15,2,0,0,2,9599.999999999998,0,50000,59600.0,1648,247200,306800.0,0,c
14,64690,17666,4771,15,30,15,2,0,0,2,9599.999999999998,259200.0,50000,318800.0,1660,249000,567800.0,0,h
15,70741,16835,5356,0,15,15,1,0,0,1,0,216000,50000,266000,1601,240150,506150,0,s
16,71245,17338,4989,0,15,15,1,0,0,1,0,216000,50000,266000,1654,248100,514100,0,:
17,64214,17858,5008,15,15,15,0,0,2,2,9599.999999999998,43199.99999999999,50000,102800.0,1678,251700,354500.0,0, 
