Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64437;13100;3189;15;15;0;0;1;0;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;"
"
2;71533;13100;4874;0;15;0;0;1;0;1;0;432000;0;432000;1100;165000;597000;0;-
3;69970;24562;7240;0;15;30;0;2;0;2;0;432000;50000;482000;2142;321300;803300;0;-
4;58721;16455;3724;30;15;30;0;2;0;2;19199,999999999996;86399,99999999999;50000;155600,0;1405;210750;366350,0;0;-
5;71609;13100;3723;0;15;15;0;1;0;1;0;432000;50000;482000;1100;165000;647000;0;-
6;64777;21339;7042;15;15;0;0;2;0;2;9599,999999999998;432000;0;441600,0;1849;277350;718950,0;0;-
7;65623;13100;2806;15;15;15;0;1;0;1;9599,999999999998;86399,99999999999;50000;146000,0;1100;165000;311000,0;0;-
8;71240;28478;12319;0;15;0;0;2;0;2;0;432000;0;432000;2498;374700;806700;0;-
9;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0; 
10;57394;47816;13950;30;15;45;0;4;1;5;19199,999999999996;432000;50000;501200,0;4256;638400;1139600,0;0;E
11;65084;32163;9761;15;15;30;0;2;1;3;9599,999999999998;432000;50000;491600,0;2833;424950;916550,0;0;p
12;65155;13100;2797;15;15;15;0;0;1;1;9599,999999999998;86399,99999999999;50000;146000,0;1100;165000;311000,0;0;o
13;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;c
14;49822;54087;18879;45;0;19;0;5;1;6;28799,999999999996;0;50000;78800,0;4954;743100;821900,0;0;h
15;65208;16983;3932;15;15;30;0;1;1;2;9599,999999999998;432000;50000;491600,0;1453;217950;709550,0;0;s
16;58236;21218;6064;30;15;0;0;1;1;2;19199,999999999996;86399,99999999999;0;105599,99999999999;1838;275700;381300,0;0;:
17;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0; 
18;63978;24672;6156;15;15;30;0;1;1;2;9599,999999999998;86399,99999999999;50000;146000,0;2152;322800;468800,0;0;2
19;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;0
20;65155;13100;2797;15;15;15;0;0;1;1;9599,999999999998;86399,99999999999;50000;146000,0;1100;165000;311000,0;0;0
21;65311;16983;4199;15;15;15;0;1;1;2;9599,999999999998;432000;50000;491600,0;1453;217950;709550,0;0;,
22;52106;23902;6517;45;15;15;0;2;1;3;28799,999999999996;86399,99999999999;50000;165200,0;2082;312300;477500,0;0; 
23;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;S
24;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;t
25;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;a
26;65462;21218;6273;15;15;15;0;1;1;2;9599,999999999998;432000;50000;491600,0;1838;275700;767300,0;0;r
27;57927;38521;11058;30;15;30;0;2;1;3;19199,999999999996;86399,99999999999;50000;155600,0;3411;511650;667250,0;0;t
28;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;i
29;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;n
30;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;g
31;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0; 
32;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;E
33;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;p
34;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;s
35;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;i
36;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;l
37;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;o
38;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;n
39;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;:
40;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0; 
41;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;0
42;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;,
43;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;2
44;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0; 
45;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
46;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
47;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
48;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
49;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
50;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
51;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
52;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
53;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
54;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
55;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;86399,99999999999;0;95999,99999999999;1100;165000;261000,0;0;-
