Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;71410;13617;3750;0;0;15;0;1;0;1;0;0;100000;100000;1147;172050;272050;0;"
"
2;64744;14464;3583;15;15;0;0;1;0;1;9599,999999999998;101999,99999999999;0;111599,99999999999;1224;183600;295200,0;0;-
3;65149;30722;10531;15;0;15;0;2;0;2;9599,999999999998;0;100000;109600,0;2702;405300;514900,0;0;-
4;71452;14321;4048;0;15;15;0;1;0;1;0;510000,0;100000;610000,0;1211;181650;791650,0;0;-
5;65243;14431;3037;15;0;15;0;1;0;1;9599,999999999998;0;100000;109600,0;1221;183150;292750,0;0;-
6;64523;41634;16134;15;15;0;0;3;0;3;9599,999999999998;510000,0;0;519600,0;3694;554100;1073700,0;0;-
7;65319;13683;2920;15;15;15;0;1;0;1;9599,999999999998;101999,99999999999;100000;211600,0;1153;172950;384550,0;0;-
8;65113;14310;2949;15;15;15;1;0;0;1;9599,999999999998;101999,99999999999;100000;211600,0;1210;181500;393100,0;0;-
9;71083;12528;3383;0;0;15;0;0;1;1;0;0;100000;100000;1048;157200;257200;0; 
10;71292;30788;12940;0;15;0;1;1;0;2;0;510000,0;0;510000,0;2708;406200;916200,0;0;E
11;58283;22450;6408;30;15;0;0;1;1;2;19199,999999999996;101999,99999999999;0;121199,99999999999;1950;292500;413700,0;0;p
12;64830;13617;3336;15;15;0;0;0;1;1;9599,999999999998;101999,99999999999;0;111599,99999999999;1147;172050;283650,0;0;o
13;71469;13958;3889;0;0;15;1;0;0;1;0;0;100000;100000;1178;176700;276700;0;c
14;65237;13441;2858;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1131;169650;279250,0;0;h
15;64969;14321;3590;15;15;0;0;0;1;1;9599,999999999998;101999,99999999999;0;111599,99999999999;1211;181650;293250,0;0;s
16;64957;14145;3055;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1195;179250;288850,0;0;:
17;71798;14420;5403;0;15;0;1;0;0;1;0;510000,0;0;510000,0;1220;183000;693000,0;0; 
18;65083;13727;2988;15;15;15;1;0;0;1;9599,999999999998;101999,99999999999;100000;211600,0;1157;173550;385150,0;0;2
19;71529;14222;3846;0;0;15;1;0;0;1;0;0;100000;100000;1202;180300;280300;0;0
20;65176;14728;3164;15;0;15;1;0;0;1;9599,999999999998;0;100000;109600,0;1248;187200;296800,0;0;0
21;71350;14640;5355;0;15;0;1;0;0;1;0;510000,0;0;510000,0;1240;186000;696000,0;0;,
22;58959;22362;6067;30;0;15;0;1;1;2;19199,999999999996;0;100000;119200,0;1942;291300;410500,0;0; 
23;71557;13826;5358;0;15;0;1;0;0;1;0;510000,0;0;510000,0;1166;174900;684900,0;0;S
24;58489;30172;9337;30;0;15;0;2;1;3;19199,999999999996;0;100000;119200,0;2652;397800;517000,0;0;t
25;71462;14673;4056;0;0;15;1;0;0;1;0;0;100000;100000;1243;186450;286450;0;a
26;65240;14772;3621;15;15;0;0;0;1;1;9599,999999999998;101999,99999999999;0;111599,99999999999;1252;187800;299400,0;0;r
