Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64835;13826;3443;15;15;0;0;1;0;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1166;174900;285300,0;0;"
"
2;64621;41106;15945;15;15;0;0;3;0;3;9599,999999999998;504000;0;513600,0;3646;546900;1060500,0;0;-
3;64713;13133;2827;15;0;15;0;1;0;1;9599,999999999998;0;100000;109600,0;1103;165450;275050,0;0;-
4;65501;12693;2646;15;15;15;0;1;0;1;9599,999999999998;100799,99999999999;100000;210400,0;1063;159450;369850,0;0;-
5;70996;14486;3876;0;15;15;0;1;0;1;0;504000;100000;604000;1226;183900;787900;0;-
6;71889;14310;3916;0;0;15;0;1;0;1;0;0;100000;100000;1210;181500;281500;0;-
7;71352;29567;12696;0;15;0;0;2;0;2;0;504000;0;504000;2597;389550;893550;0;-
8;71482;13496;3663;0;0;15;0;0;1;1;0;0;100000;100000;1136;170400;270400;0;-
9;65167;14310;3074;15;15;15;1;0;0;1;9599,999999999998;100799,99999999999;100000;210400,0;1210;181500;391900,0;0; 
10;58579;21273;5821;30;0;15;1;1;0;2;19199,999999999996;0;100000;119200,0;1843;276450;395650,0;0;E
11;64571;12308;3086;15;15;0;0;0;1;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1028;154200;264600,0;0;p
12;70892;29963;11628;0;15;15;1;1;0;2;0;504000;100000;604000;2633;394950;998950;0;o
13;65176;13837;2976;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1167;175050;284650,0;0;c
14;64918;13518;2974;15;15;15;1;0;0;1;9599,999999999998;100799,99999999999;100000;210400,0;1138;170700;381100,0;0;h
15;71411;13529;3671;0;0;15;0;0;1;1;0;0;100000;100000;1139;170850;270850;0;s
16;71533;12913;5037;0;15;0;1;0;0;1;0;504000;0;504000;1083;162450;666450;0;:
17;64554;29116;10516;15;15;0;1;1;0;2;9599,999999999998;100799,99999999999;0;110399,99999999999;2556;383400;493800,0;0; 
18;65398;13342;2794;15;0;15;1;0;0;1;9599,999999999998;0;100000;109600,0;1122;168300;277900,0;0;2
19;65641;13419;3326;15;15;0;0;0;1;1;9599,999999999998;100799,99999999999;0;110399,99999999999;1129;169350;279750,0;0;0
