Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64235;16963;4841;15;0;15;0;2;0;2;9599,999999999998;0;30000;39600,0;1611;241650;281250,0;0;"
"
2;64597;23751;7236;15;15;15;0;2;0;2;9599,999999999998;24000;30000;63600,0;2271;340650;404250,0;0;-
3;64762;63634;25384;15;30;19;0;6;0;6;9599,999999999998;28800,0;30000;68400,0;6263;939450;1007850,0;0;-
4;64248;16624;4224;15;15;15;0;1;0;1;9599,999999999998;4799,999999999999;30000;44400,0;1551;232650;277050,0;0;-
5;71105;14476;4527;0;15;15;0;1;0;1;0;24000;30000;54000;1363;204450;258450;0;-
6;64684;18949;6024;15;15;15;0;2;0;2;9599,999999999998;24000;30000;63600,0;1813;271950;335550,0;0;-
7;57927;17188;4921;30;30;0;0;2;0;2;19199,999999999996;9599,999999999998;0;28799,999999999996;1612;241800;270600,0;0;-
8;64207;14867;3837;15;0;15;0;1;0;1;9599,999999999998;0;30000;39600,0;1382;207300;246900,0;0;-
9;57437;15863;4163;30;30;15;0;1;1;2;19199,999999999996;9599,999999999998;30000;58800,0;1479;221850;280650,0;0; 
10;64106;17454;4855;15;15;15;1;1;0;2;9599,999999999998;4799,999999999999;30000;44400,0;1641;246150;290550,0;0;E
11;70358;19134;6434;0;30;0;2;1;0;3;0;48000;0;48000;1829;274350;322350;0;p
12;65030;32996;12239;15;15;30;1;2;0;3;9599,999999999998;4799,999999999999;30000;44400,0;3220;483000;527400,0;0;o
13;64512;17919;4845;15;0;15;1;0;0;1;9599,999999999998;0;30000;39600,0;1691;253650;293250,0;0;c
14;70414;17021;4977;0;15;15;0;0;1;1;0;24000;30000;54000;1615;242250;296250;0;h
15;64680;20157;6807;15;30;0;1;0;1;2;9599,999999999998;28800,0;0;38400,0;1926;288900;327300,0;0;s
16;64161;16040;4142;15;15;15;0;0;1;1;9599,999999999998;4799,999999999999;30000;44400,0;1501;225150;269550,0;0;:
17;64900;29986;11125;15;0;15;1;1;0;2;9599,999999999998;0;30000;39600,0;2909;436350;475950,0;0; 
18;64244;17637;4723;15;0;15;1;0;0;1;9599,999999999998;0;30000;39600,0;1661;249150;288750,0;0;2
19;70994;16783;5040;0;15;15;1;0;0;1;0;24000;30000;54000;1594;239100;293100;0;0
20;57829;16881;4332;30;0;30;1;1;0;2;19199,999999999996;0;30000;49200,0;1591;238650;287850,0;0;0
21;51833;32421;10336;45;15;15;1;1;1;3;28799,999999999996;4799,999999999999;30000;63600,0;3132;469800;533400,0;0;,
22;64540;17626;4770;15;0;15;1;0;0;1;9599,999999999998;0;30000;39600,0;1659;248850;288450,0;0; 
23;70825;18428;6168;0;15;15;1;0;1;2;0;24000;30000;54000;1767;265050;319050;0;S
24;71299;16116;4995;0;15;30;0;1;1;2;0;24000;30000;54000;1521;228150;282150;0;t
25;64132;16062;3975;15;15;15;1;0;0;1;9599,999999999998;4799,999999999999;30000;44400,0;1499;224850;269250,0;0;a
26;64524;18170;5151;15;30;0;2;0;0;2;9599,999999999998;28800,0;0;38400,0;1712;256800;295200,0;0;r
27;58056;17714;5030;30;15;0;2;0;0;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1666;249900;273900,0;0;t
28;64556;18187;4877;15;0;15;1;0;0;1;9599,999999999998;0;30000;39600,0;1716;257400;297000,0;0;i
29;70874;16662;5227;0;0;30;0;1;1;2;0;0;30000;30000;1579;236850;266850;0;n
30;64323;16159;4067;15;15;15;1;0;0;1;9599,999999999998;4799,999999999999;30000;44400,0;1508;226200;270600,0;0;g
31;70951;18274;5488;0;15;15;1;0;1;2;0;24000;30000;54000;1737;260550;314550;0; 
32;58028;41641;17302;30;30;15;1;2;1;4;19199,999999999996;28800,0;30000;78000,0;4063;609450;687450,0;0;E
33;70770;16453;5001;0;15;15;0;0;1;1;0;24000;30000;54000;1557;233550;287550;0;p
34;64637;17141;4507;15;15;15;0;0;1;1;9599,999999999998;4799,999999999999;30000;44400,0;1604;240600;285000,0;0;s
35;51734;23972;7188;45;0;30;2;0;1;3;28799,999999999996;0;30000;58800,0;2290;343500;402300,0;0;i
36;64177;17472;4577;15;30;15;1;0;1;2;9599,999999999998;28800,0;30000;68400,0;1641;246150;314550,0;0;l
37;64312;16649;4094;15;0;15;1;0;0;1;9599,999999999998;0;30000;39600,0;1557;233550;273150,0;0;o
38;57827;16015;4492;30;30;0;2;0;0;2;19199,999999999996;9599,999999999998;0;28799,999999999996;1489;223350;252150,0;0;n
39;70816;18769;5601;0;0;30;1;0;1;2;0;0;30000;30000;1796;269400;299400;0;:
40;64308;17021;4694;15;15;15;1;0;1;2;9599,999999999998;4799,999999999999;30000;44400,0;1596;239400;283800,0;0; 
41;64777;17267;5101;15;15;30;1;0;1;2;9599,999999999998;24000;30000;63600,0;1643;246450;310050,0;0;0
42;64619;18330;5044;15;15;15;0;0;1;1;9599,999999999998;4799,999999999999;30000;44400,0;1731;259650;304050,0;0;,
43;65025;16532;5062;15;0;30;1;1;0;2;9599,999999999998;0;30000;39600,0;1560;234000;273600,0;0;2
44;71506;17504;5490;0;30;15;1;1;0;2;0;48000;30000;78000;1658;248700;326700;0; 
45;64433;18588;5440;15;15;15;2;0;0;2;9599,999999999998;4799,999999999999;30000;44400,0;1771;265650;310050,0;0;-
46;64501;16977;4569;15;30;15;1;0;1;2;9599,999999999998;28800,0;30000;68400,0;1591;238650;307050,0;0;-
47;71531;19909;6458;0;15;15;1;0;1;2;0;24000;30000;54000;1902;285300;339300;0;-
48;64359;17555;4597;15;0;15;1;0;0;1;9599,999999999998;0;30000;39600,0;1646;246900;286500,0;0;-
49;64612;18647;6224;15;15;15;2;0;0;2;9599,999999999998;24000;30000;63600,0;1773;265950;329550,0;0;-
50;64072;17352;4635;15;15;15;1;0;0;1;9599,999999999998;4799,999999999999;30000;44400,0;1629;244350;288750,0;0;-
51;64793;18359;5104;15;15;15;1;0;1;2;9599,999999999998;4799,999999999999;30000;44400,0;1731;259650;304050,0;0;-
52;64982;21605;7037;15;15;15;2;0;0;2;9599,999999999998;24000;30000;63600,0;2074;311100;374700,0;0;-
53;64695;18522;5320;15;15;15;1;0;1;2;9599,999999999998;4799,999999999999;30000;44400,0;1747;262050;306450,0;0;-
54;70973;16517;4968;0;15;15;1;0;0;1;0;24000;30000;54000;1561;234150;288150;0;-
55;64775;16837;4580;15;15;15;0;0;1;1;9599,999999999998;4799,999999999999;30000;44400,0;1573;235950;280350,0;0;-
56;64728;17306;4771;15;15;15;1;0;1;2;9599,999999999998;4799,999999999999;30000;44400,0;1623;243450;287850,0;0;-
57;57637;17062;4670;30;30;0;1;0;1;2;19199,999999999996;9599,999999999998;0;28799,999999999996;1595;239250;268050,0;0;-
58;57475;17350;4818;30;15;0;1;0;1;2;19199,999999999996;4799,999999999999;0;23999,999999999996;1635;245250;269250,0;0;-
59;64370;18323;5094;15;30;0;1;0;1;2;9599,999999999998;28800,0;0;38400,0;1725;258750;297150,0;0;-
60;57549;16627;4393;30;30;0;0;0;2;2;19199,999999999996;9599,999999999998;0;28799,999999999996;1554;233100;261900,0;0;-
61;57871;17836;5025;30;30;15;1;0;1;2;19199,999999999996;9599,999999999998;30000;58800,0;1672;250800;309600,0;0;-
62;65024;15294;3919;15;0;15;0;1;0;1;9599,999999999998;0;30000;39600,0;1421;213150;252750,0;0;-
63;58231;18175;5088;30;30;0;0;0;2;2;19199,999999999996;9599,999999999998;0;28799,999999999996;1714;257100;285900,0;0;-
64;71077;17415;5297;0;0;30;2;0;0;2;0;0;30000;30000;1657;248550;278550;0;-
