Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64869;15201;3797;15;15;0;0;1;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1291;193650;299250,0;0;"
"
2;58357;22868;6505;30;15;0;0;2;0;2;19199,999999999996;95999,99999999999;0;115199,99999999999;1988;298200;413400,0;0;-
3;65082;14167;3062;15;15;15;0;1;0;1;9599,999999999998;95999,99999999999;98000;203600,0;1197;179550;383150,0;0;-
4;71131;13584;3752;0;0;15;0;1;0;1;0;0;98000;98000;1144;171600;269600;0;-
5;65122;13100;2704;15;0;15;0;1;0;1;9599,999999999998;0;98000;107600,0;1100;165000;272600,0;0;-
6;70893;13001;3555;0;15;15;0;1;0;1;0;480000;98000;578000;1091;163650;741650;0;-
7;65173;38774;14354;15;15;0;0;3;0;3;9599,999999999998;480000;0;489600,0;3434;515100;1004700,0;0;-
8;71836;13408;5115;0;15;0;0;1;0;1;0;480000;0;480000;1128;169200;649200;0;-
9;71693;14519;3943;0;15;15;1;0;0;1;0;480000;98000;578000;1229;184350;762350;0; 
10;71671;14420;4011;0;0;15;0;0;1;1;0;0;98000;98000;1220;183000;281000;0;E
11;64913;13628;3384;15;15;0;1;0;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1148;172200;277800,0;0;p
12;65132;13540;2937;15;0;15;0;0;1;1;9599,999999999998;0;98000;107600,0;1140;171000;278600,0;0;o
13;71199;13276;3619;0;15;15;1;0;0;1;0;480000;98000;578000;1116;167400;745400;0;c
14;58711;21988;5997;30;15;15;0;1;1;2;19199,999999999996;95999,99999999999;98000;213200,0;1908;286200;499400,0;0;h
15;64928;31569;10890;15;15;0;1;1;0;2;9599,999999999998;95999,99999999999;0;105599,99999999999;2779;416850;522450,0;0;s
16;71157;12979;3492;0;0;15;1;0;0;1;0;0;98000;98000;1089;163350;261350;0;:
17;64606;12253;3023;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1023;153450;259050,0;0; 
18;65045;14464;3208;15;0;15;0;0;1;1;9599,999999999998;0;98000;107600,0;1224;183600;291200,0;0;2
19;71928;13892;3853;0;15;15;1;0;0;1;0;480000;98000;578000;1172;175800;753800;0;0
20;65193;21999;6394;15;15;15;0;1;1;2;9599,999999999998;480000;98000;587600,0;1909;286350;873950,0;0;0
21;71480;13287;5160;0;15;0;1;0;0;1;0;480000;0;480000;1117;167550;647550;0;,
22;58476;21669;5930;30;15;15;1;1;0;2;19199,999999999996;95999,99999999999;98000;213200,0;1879;281850;495050,0;0; 
23;65622;13067;2691;15;0;15;1;0;0;1;9599,999999999998;0;98000;107600,0;1097;164550;272150,0;0;S
24;71072;28830;12521;0;15;0;1;1;0;2;0;480000;0;480000;2530;379500;859500;0;t
25;71461;29413;12900;0;15;0;1;1;0;2;0;480000;0;480000;2583;387450;867450;0;a
26;65467;13969;3002;15;15;15;0;0;1;1;9599,999999999998;95999,99999999999;98000;203600,0;1179;176850;380450,0;0;r
27;71500;14497;3955;0;0;15;0;0;1;1;0;0;98000;98000;1227;184050;282050;0;t
28;71210;12891;3466;0;15;15;1;0;0;1;0;480000;98000;578000;1081;162150;740150;0;i
29;71505;15058;4173;0;15;15;1;0;0;1;0;480000;98000;578000;1278;191700;769700;0;n
30;64404;14321;3513;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1211;181650;287250,0;0;g
