Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64831;12649;3178;15;15;0;0;1;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1059;158850;264450,0;0;"
"
2;70657;12682;3570;0;0;15;0;1;0;1;0;0;97500;97500;1062;159300;256800;0;-
3;71070;12836;3432;0;15;15;0;1;0;1;0;480000;97500;577500;1076;161400;738900;0;-
4;65031;13199;2892;15;15;15;0;1;0;1;9599,999999999998;95999,99999999999;97500;203100,0;1109;166350;369450,0;0;-
5;71396;13012;5030;0;15;0;0;1;0;1;0;480000;0;480000;1092;163800;643800;0;-
6;65352;14233;3028;15;0;15;0;1;0;1;9599,999999999998;0;97500;107100,0;1203;180450;287550,0;0;-
7;64476;51897;20893;15;15;15;0;4;0;4;9599,999999999998;480000;97500;587100,0;4627;694050;1281150,0;0;-
8;64404;13914;3512;15;15;0;1;0;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1174;176100;281700,0;0;-
9;71316;13463;3668;0;0;15;0;0;1;1;0;0;97500;97500;1133;169950;267450;0; 
10;70998;12957;3463;0;15;15;1;0;0;1;0;480000;97500;577500;1087;163050;740550;0;E
11;65465;30370;10500;15;15;15;1;1;0;2;9599,999999999998;95999,99999999999;97500;203100,0;2670;400500;603600,0;0;p
12;71436;13705;3822;0;0;15;1;0;0;1;0;0;97500;97500;1155;173250;270750;0;o
13;58361;29215;9234;30;0;15;0;2;1;3;19199,999999999996;0;97500;116700,0;2565;384750;501450,0;0;c
14;64581;13892;3522;15;15;0;1;0;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1172;175800;281400,0;0;h
15;70780;45968;19892;0;15;0;2;1;0;3;0;480000;0;480000;4088;613200;1093200;0;s
16;65214;13419;3027;15;0;15;0;0;1;1;9599,999999999998;0;97500;107100,0;1129;169350;276450,0;0;:
17;58418;22153;6598;30;15;0;0;1;1;2;19199,999999999996;95999,99999999999;0;115199,99999999999;1923;288450;403650,0;0; 
18;65511;12924;2739;15;0;15;0;0;1;1;9599,999999999998;0;97500;107100,0;1084;162600;269700,0;0;2
19;65413;14288;3154;15;15;15;0;0;1;1;9599,999999999998;95999,99999999999;97500;203100,0;1208;181200;384300,0;0;0
20;71307;13650;3745;0;0;15;0;0;1;1;0;0;97500;97500;1150;172500;270000;0;0
21;64318;14717;3650;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1247;187050;292650,0;0;,
22;71482;14530;5365;0;15;0;1;0;0;1;0;480000;0;480000;1230;184500;664500;0; 
23;71348;13892;5298;0;15;0;1;0;0;1;0;480000;0;480000;1172;175800;655800;0;S
24;71620;13474;3701;0;0;15;1;0;0;1;0;0;97500;97500;1134;170100;267600;0;t
25;65372;15223;3266;15;0;15;1;0;0;1;9599,999999999998;0;97500;107100,0;1293;193950;301050,0;0;a
26;64661;21603;7088;15;15;0;0;1;1;2;9599,999999999998;480000;0;489600,0;1873;280950;770550,0;0;r
27;64871;13397;3423;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1127;169050;274650,0;0;t
28;65154;14420;3131;15;0;15;0;0;1;1;9599,999999999998;0;97500;107100,0;1220;183000;290100,0;0;i
29;71467;12924;5149;0;15;0;1;0;0;1;0;480000;0;480000;1084;162600;642600;0;n
30;71128;13958;3849;0;0;15;0;0;1;1;0;0;97500;97500;1178;176700;274200;0;g
31;64562;14123;3454;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1193;178950;284550,0;0; 
32;56811;48091;17470;30;0;15;1;2;1;4;19199,999999999996;0;97500;116700,0;4281;642150;758850,0;0;E
33;64671;12968;3163;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1088;163200;268800,0;0;p
34;71184;13023;3536;0;0;15;1;0;0;1;0;0;97500;97500;1093;163950;261450;0;s
35;65277;15377;3349;15;0;15;0;0;1;1;9599,999999999998;0;97500;107100,0;1307;196050;303150,0;0;i
36;64885;20855;5926;15;15;15;0;1;1;2;9599,999999999998;480000;97500;587100,0;1805;270750;857850,0;0;l
37;64883;14222;3574;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1202;180300;285900,0;0;o
38;64670;13562;3302;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1142;171300;276900,0;0;n
39;71192;14123;5296;0;15;0;1;0;0;1;0;480000;0;480000;1193;178950;658950;0;:
40;71284;13694;3701;0;0;15;1;0;0;1;0;0;97500;97500;1154;173100;270600;0; 
41;65470;12616;2622;15;0;15;0;0;1;1;9599,999999999998;0;97500;107100,0;1056;158400;265500,0;0;0
42;64578;13331;3354;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1121;168150;273750,0;0;,
