Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,57687,20259,6732,30,30,15,0,3,0,3,19199.999999999996,230400.0,45000,294600.0,1941,291150,585750.0,0,"
"
2,71139,18070,5469,0,0,15,0,2,0,2,0,0,45000,45000,1719,257850,302850,0,-
3,57581,17371,4625,30,15,30,0,2,0,2,19199.999999999996,38399.99999999999,45000,102600.0,1627,244050,346650.0,0,-
4,64354,15821,4804,15,30,0,0,2,0,2,9599.999999999998,230400.0,0,240000.0,1476,221400,461400.0,0,-
5,70766,47525,21521,0,30,15,0,4,0,4,0,384000,45000,429000,4677,701550,1130550,0,-
6,51286,45805,16337,45,15,15,0,4,0,4,28799.999999999996,38399.99999999999,45000,112200.0,4464,669600,781800.0,0,-
7,64683,15221,4736,15,15,15,0,2,0,2,9599.999999999998,192000,45000,246600.0,1436,215400,462000.0,0,-
8,64792,18578,5202,15,15,15,0,2,0,2,9599.999999999998,38399.99999999999,45000,93000.0,1754,263100,356100.0,0,-
9,64293,16494,4307,15,15,15,0,1,0,1,9599.999999999998,38399.99999999999,45000,93000.0,1542,231300,324300.0,0, 
10,51573,33943,10581,45,15,30,2,2,0,4,28799.999999999996,38399.99999999999,45000,112200.0,3285,492750,604950.0,0,E
11,64942,30637,11121,15,0,15,1,1,0,2,9599.999999999998,0,45000,54600.0,2970,445500,500100.0,0,p
12,71711,34779,12937,0,0,30,2,1,0,3,0,0,45000,45000,3400,510000,555000,0,o
13,70931,18078,5527,0,15,15,2,0,0,2,0,192000,45000,237000,1720,258000,495000,0,c
14,64587,17275,4544,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,45000,93000.0,1624,243600,336600.0,0,h
15,70707,16746,4921,0,0,30,1,0,1,2,0,0,45000,45000,1589,238350,283350,0,s
16,57553,17247,4704,30,15,0,2,0,0,2,19199.999999999996,38399.99999999999,0,57599.99999999999,1621,243150,300750.0,0,:
17,64415,15237,3609,15,0,15,0,1,0,1,9599.999999999998,0,45000,54600.0,1423,213450,268050.0,0, 
18,64174,17066,4351,15,0,15,1,0,0,1,9599.999999999998,0,45000,54600.0,1600,240000,294600.0,0,2
19,65067,28784,11485,15,15,15,1,2,0,3,9599.999999999998,38399.99999999999,45000,93000.0,2780,417000,510000.0,0,0
20,57921,16089,4262,30,15,15,0,0,2,2,19199.999999999996,38399.99999999999,45000,102600.0,1502,225300,327900.0,0,0
21,51273,28942,9714,45,30,15,1,0,3,4,28799.999999999996,76799.99999999999,45000,150600.0,2783,417450,568050.0,0,","
22,64332,16813,4348,15,0,15,0,0,1,1,9599.999999999998,0,45000,54600.0,1572,235800,290400.0,0, 
23,64622,17070,6629,15,30,15,0,1,1,2,9599.999999999998,230400.0,45000,285000.0,1621,243150,528150.0,0,S
24,64536,17272,4565,15,0,15,1,0,0,1,9599.999999999998,0,45000,54600.0,1620,243000,297600.0,0,t
25,71533,15981,5048,0,30,15,2,0,0,2,0,384000,45000,429000,1507,226050,655050,0,a
26,64904,16368,4956,15,15,30,2,0,0,2,9599.999999999998,192000,45000,246600.0,1545,231750,478350.0,0,r
27,64036,16713,4225,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,45000,93000.0,1559,233850,326850.0,0,t
28,64542,18546,5160,15,15,15,2,0,0,2,9599.999999999998,192000,45000,246600.0,1753,262950,509550.0,0,i
29,64272,16051,4728,15,15,30,1,0,1,2,9599.999999999998,192000,45000,246600.0,1523,228450,475050.0,0,n
30,70198,18296,5482,0,0,30,2,0,0,2,0,0,45000,45000,1747,262050,307050,0,g
31,64483,17699,4766,15,15,15,0,0,2,2,9599.999999999998,38399.99999999999,45000,93000.0,1659,248850,341850.0,0, 
32,64957,16234,5070,15,0,30,0,1,1,2,9599.999999999998,0,45000,54600.0,1534,230100,284700.0,0,E
33,70572,18604,5741,0,0,15,2,0,0,2,0,0,45000,45000,1770,265500,310500,0,p
34,57205,16648,4879,30,15,15,0,0,2,2,19199.999999999996,38399.99999999999,45000,102600.0,1563,234450,337050.0,0,s
35,64256,17832,5077,15,30,15,2,0,0,2,9599.999999999998,230400.0,45000,285000.0,1673,250950,535950.0,0,i
36,64681,17945,4960,15,0,15,0,0,1,1,9599.999999999998,0,45000,54600.0,1689,253350,307950.0,0,l
37,57171,17208,4703,30,15,15,1,0,1,2,19199.999999999996,38399.99999999999,45000,102600.0,1613,241950,344550.0,0,o
38,64595,16454,4369,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,45000,93000.0,1535,230250,323250.0,0,n
39,57721,18344,5164,30,30,0,1,0,1,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1720,258000,354000.0,0,:
40,64315,18030,4904,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,45000,93000.0,1699,254850,347850.0,0, 
41,64678,24874,7511,15,0,30,1,0,2,3,9599.999999999998,0,45000,54600.0,2376,356400,411000.0,0,0
42,64538,16798,4364,15,0,15,0,0,1,1,9599.999999999998,0,45000,54600.0,1578,236700,291300.0,0,.
43,70150,17792,5305,0,0,30,1,0,1,2,0,0,45000,45000,1693,253950,298950,0,2
44,64125,13215,3335,15,0,30,0,1,1,2,9599.999999999998,0,45000,54600.0,1221,183150,237750.0,0, 
45,71401,29040,11290,0,15,15,1,1,0,2,0,192000,45000,237000,2814,422100,659100,0,-
46,64516,17262,4558,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,45000,93000.0,1619,242850,335850.0,0,-
47,57608,57696,20907,30,15,15,1,3,0,4,19199.999999999996,38399.99999999999,45000,102600.0,5656,848400,951000.0,0,-
48,64450,17580,4403,15,0,15,0,0,1,1,9599.999999999998,0,45000,54600.0,1647,247050,301650.0,0,-
