Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64437;13100;3189;15;15;0;0;1;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1100;165000;270600,0;0;"
"
2;71533;13100;4874;0;15;0;0;1;0;1;0;480000;0;480000;1100;165000;645000;0;-
3;69970;24562;7240;0;15;30;0;2;0;2;0;480000;40000;520000;2142;321300;841300;0;-
4;58721;16455;3724;30;15;30;0;2;0;2;19199,999999999996;95999,99999999999;40000;155200,0;1405;210750;365950,0;0;-
5;71609;13100;3723;0;15;15;0;1;0;1;0;480000;40000;520000;1100;165000;685000;0;-
6;64777;21339;7042;15;15;0;0;2;0;2;9599,999999999998;480000;0;489600,0;1849;277350;766950,0;0;-
7;65623;13100;2806;15;15;15;0;1;0;1;9599,999999999998;95999,99999999999;40000;145600,0;1100;165000;310600,0;0;-
8;71240;28478;12319;0;15;0;0;2;0;2;0;480000;0;480000;2498;374700;854700;0;-
9;57394;47816;13950;30;15;45;0;4;1;5;19199,999999999996;480000;40000;539200,0;4256;638400;1177600,0;0; 
10;65084;32163;9761;15;15;30;0;2;1;3;9599,999999999998;480000;40000;529600,0;2833;424950;954550,0;0;E
11;59039;20976;5298;30;15;30;0;2;1;3;19199,999999999996;480000;40000;539200,0;1816;272400;811600,0;0;p
12;49822;54087;18879;45;0;19;0;5;1;6;28799,999999999996;0;40000;68800,0;4954;743100;811900,0;0;o
13;58236;21218;6064;30;15;0;0;1;1;2;19199,999999999996;95999,99999999999;0;115199,99999999999;1838;275700;390900,0;0;c
14;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1100;165000;270600,0;0;h
15;65208;16983;3932;15;15;30;0;1;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;s
16;52106;23902;6517;45;15;15;0;2;1;3;28799,999999999996;95999,99999999999;40000;164800,0;2082;312300;477100,0;0;:
17;57927;38521;11058;30;15;30;0;2;1;3;19199,999999999996;95999,99999999999;40000;155200,0;3411;511650;666850,0;0; 
18;65155;13100;2797;15;15;15;0;0;1;1;9599,999999999998;95999,99999999999;40000;145600,0;1100;165000;310600,0;0;2
19;65462;21218;6273;15;15;15;0;1;1;2;9599,999999999998;480000;40000;529600,0;1838;275700;805300,0;0;0
20;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;0
21;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;,
22;49015;67580;24391;45;4;15;3;2;1;6;28799,999999999996;120000;40000;188800,0;6096;914400;1103200,0;0; 
23;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;S
24;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;t
25;64546;13100;3195;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1100;165000;270600,0;0;a
26;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;r
27;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;t
28;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;i
29;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;n
30;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;g
31;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0; 
32;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;E
33;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;p
34;65311;16983;4199;15;15;15;1;0;1;2;9599,999999999998;480000;40000;529600,0;1453;217950;747550,0;0;s
35;45617;32944;10022;60;15;30;1;1;2;4;38399,99999999999;95999,99999999999;40000;174400,0;2904;435600;610000,0;0;i
36;50978;36123;8658;45;15;75;1;1;3;5;28799,999999999996;480000;40000;548800,0;3193;478950;1027750,0;0;l
37;58708;16983;3877;30;15;30;0;0;2;2;19199,999999999996;95999,99999999999;40000;155200,0;1453;217950;373150,0;0;o
38;58619;16983;4131;30;15;15;0;0;2;2;19199,999999999996;95999,99999999999;40000;155200,0;1453;217950;373150,0;0;n
39;47529;55713;15968;45;0;64;0;3;3;6;28799,999999999996;0;40000;68800,0;5048;757200;826000,0;0;:
40;58346;28918;6588;30;15;30;0;1;2;3;19199,999999999996;95999,99999999999;40000;155200,0;2538;380700;535900,0;0; 
41;45252;24837;6057;60;15;60;0;0;4;4;38399,99999999999;95999,99999999999;40000;174400,0;2167;325050;499450,0;0;0
42;58619;16983;4131;30;15;15;0;0;2;2;19199,999999999996;95999,99999999999;40000;155200,0;1453;217950;373150,0;0;,
43;51065;32823;7710;45;15;60;0;1;3;4;28799,999999999996;95999,99999999999;40000;164800,0;2893;433950;598750,0;0;2
