Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,64644,18205,5491,15,15,15,0,2,0,2,9599.999999999998,38399.99999999999,50000,98000.0,1739,260850,358850.0,0,"
"
2,71147,15669,4678,0,15,15,0,1,0,1,0,192000,50000,242000,1474,221100,463100,0,-
3,55640,44159,16040,30,15,45,0,5,0,5,19199.999999999996,38399.99999999999,50000,107600.0,4324,648600,756200.0,0,-
4,64581,41486,15249,15,30,15,0,4,0,4,9599.999999999998,384000,50000,443600.0,4042,606300,1049900.0,0,-
5,58193,17613,4643,30,0,30,0,2,0,2,19199.999999999996,0,50000,69200.0,1659,248850,318050.0,0,-
6,70656,19809,6746,0,15,15,0,2,0,2,0,192000,50000,242000,1899,284850,526850,0,-
7,64228,16838,4854,15,30,15,0,2,0,2,9599.999999999998,230400.0,50000,290000.0,1580,237000,527000.0,0,-
8,64143,15217,3948,15,15,15,0,1,0,1,9599.999999999998,38399.99999999999,50000,98000.0,1421,213150,311150.0,0,-
9,57664,17149,4439,30,15,15,1,0,1,2,19199.999999999996,38399.99999999999,50000,107600.0,1598,239700,347300.0,0, 
10,64493,17334,4966,15,15,30,2,0,0,2,9599.999999999998,38399.99999999999,50000,98000.0,1649,247350,345350.0,0,E
11,64669,17203,4442,15,0,15,1,0,0,1,9599.999999999998,0,50000,59600.0,1608,241200,300800.0,0,p
12,64310,16175,4122,15,15,15,0,0,1,1,9599.999999999998,38399.99999999999,50000,98000.0,1513,226950,324950.0,0,o
13,58096,32304,11527,30,30,15,2,0,2,4,19199.999999999996,230400.0,50000,299600.0,3135,470250,769850.0,0,c
14,57729,16988,4616,30,15,15,0,0,2,2,19199.999999999996,38399.99999999999,50000,107600.0,1598,239700,347300.0,0,h
15,71157,17334,5080,0,15,15,1,0,0,1,0,192000,50000,242000,1644,246600,488600,0,s
16,58018,23669,7190,30,15,30,1,1,1,3,19199.999999999996,192000,50000,261200.0,2252,337800,599000.0,0,:
17,58102,23153,6925,30,15,15,1,0,1,2,19199.999999999996,38399.99999999999,50000,107600.0,2208,331200,438800.0,0, 
