Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,64377,16938,4960,15,15,15,0,2,0,2,9599.999999999998,192000,55000,256600.0,1610,241500,498100.0,0,"
"
2,51772,30435,9871,45,15,15,0,3,0,3,28799.999999999996,38399.99999999999,55000,122200.0,2935,440250,562450.0,0,-
3,70839,18656,6255,0,30,15,0,2,0,2,0,384000,55000,439000,1779,266850,705850,0,-
4,64172,17359,4593,15,0,15,0,1,0,1,9599.999999999998,0,55000,64600.0,1634,245100,309700.0,0,-
5,64639,17765,4634,15,15,15,0,1,0,1,9599.999999999998,38399.99999999999,55000,103000.0,1675,251250,354250.0,0,-
6,64349,29964,9320,15,15,30,0,4,0,4,9599.999999999998,38399.99999999999,55000,103000.0,2898,434700,537700.0,0,-
7,57918,17346,4683,30,15,15,0,2,0,2,19199.999999999996,38399.99999999999,55000,112600.0,1632,244800,357400.0,0,-
8,64970,32102,11434,15,15,15,0,2,0,2,9599.999999999998,38399.99999999999,55000,103000.0,3122,468300,571300.0,0,-
9,64802,21149,7400,15,45,0,1,2,0,3,9599.999999999998,422400.0,0,432000.0,2029,304350,736350.0,0, 
10,51510,24955,7698,45,30,15,2,1,1,4,28799.999999999996,76799.99999999999,55000,160600.0,2393,358950,519550.0,0,E
11,64517,51160,22329,15,30,0,1,2,1,4,9599.999999999998,230400.0,0,240000.0,5037,755550,995550.0,0,p
12,70403,19162,5839,0,0,30,1,0,1,2,0,0,55000,55000,1829,274350,329350,0,o
13,64729,17769,5073,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,55000,103000.0,1677,251550,354550.0,0,c
14,64454,17429,4682,15,0,15,0,0,1,1,9599.999999999998,0,55000,64600.0,1638,245700,310300.0,0,h
15,64206,24691,7377,15,15,30,1,0,2,3,9599.999999999998,192000,55000,256600.0,2363,354450,611050.0,0,s
16,58090,18250,5261,30,15,15,0,0,2,2,19199.999999999996,38399.99999999999,55000,112600.0,1717,257550,370150.0,0,:
17,70902,16102,4983,0,0,30,0,1,1,2,0,0,55000,55000,1527,229050,284050,0, 
18,64590,17371,4478,15,0,15,1,0,0,1,9599.999999999998,0,55000,64600.0,1634,245100,309700.0,0,2
19,58499,34345,11220,30,15,30,2,1,1,4,19199.999999999996,192000,55000,266200.0,3318,497700,763900.0,0,0
20,71145,16609,4930,0,15,15,1,0,0,1,0,192000,55000,247000,1576,236400,483400,0,0
21,58184,30835,11227,30,0,30,2,1,0,3,19199.999999999996,0,55000,74200.0,2989,448350,522550.0,0,","
22,64519,17329,4649,15,0,15,1,0,0,1,9599.999999999998,0,55000,64600.0,1631,244650,309250.0,0, 
23,71132,17118,5251,0,15,15,1,0,1,2,0,192000,55000,247000,1622,243300,490300,0,S
24,64209,20411,7126,15,45,15,3,0,0,3,9599.999999999998,422400.0,55000,487000.0,1951,292650,779650.0,0,t
