
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (1) 1 / 200 excecuted, epsilon 0.2064, random actions 0, random actions on zero 2, max actions 0
 - Run (2) 2 / 200 excecuted, epsilon 0.2128, random actions 0, random actions on zero 3, max actions 0
 - Run (3) 3 / 200 excecuted, epsilon 0.21919999999999998, random actions 0, random actions on zero 2, max actions 0
 - Run (4) 4 / 200 excecuted, epsilon 0.22559999999999997, random actions 0, random actions on zero 1, max actions 0
 - Run (5) 5 / 200 excecuted, epsilon 0.23199999999999996, random actions 0, random actions on zero 1, max actions 0
 - Run (6) 6 / 200 excecuted, epsilon 0.23839999999999995, random actions 0, random actions on zero 4, max actions 0
 - Run (7) 7 / 200 excecuted, epsilon 0.24479999999999993, random actions 0, random actions on zero 2, max actions 0
 - Run (8) 8 / 200 excecuted, epsilon 0.2511999999999999, random actions 0, random actions on zero 2, max actions 0
 - Run (9) 9 / 200 excecuted, epsilon 0.25759999999999994, random actions 1, random actions on zero 2, max actions 0
 - Run (10) 10 / 200 excecuted, epsilon 0.26399999999999996, random actions 2, random actions on zero 1, max actions 1
 - Run (11) 11 / 200 excecuted, epsilon 0.2704, random actions 1, random actions on zero 2, max actions 1
 - Run (12) 12 / 200 excecuted, epsilon 0.2768, random actions 1, random actions on zero 0, max actions 1
 - Run (13) 13 / 200 excecuted, epsilon 0.2832, random actions 1, random actions on zero 0, max actions 0
 - Run (14) 14 / 200 excecuted, epsilon 0.2896, random actions 0, random actions on zero 0, max actions 1
 - Run (15) 15 / 200 excecuted, epsilon 0.29600000000000004, random actions 1, random actions on zero 0, max actions 2
 - Run (16) 16 / 200 excecuted, epsilon 0.30240000000000006, random actions 0, random actions on zero 0, max actions 2
 - Run (17) 17 / 200 excecuted, epsilon 0.3088000000000001, random actions 0, random actions on zero 1, max actions 1
 - Run (18) 18 / 200 excecuted, epsilon 0.3152000000000001, random actions 1, random actions on zero 0, max actions 0
 - Run (19) 19 / 200 excecuted, epsilon 0.3216000000000001, random actions 2, random actions on zero 1, max actions 1
 - Run (20) 20 / 200 excecuted, epsilon 0.3280000000000001, random actions 1, random actions on zero 0, max actions 0
 - Run (21) 21 / 200 excecuted, epsilon 0.33440000000000014, random actions 2, random actions on zero 1, max actions 0
 - Run (22) 22 / 200 excecuted, epsilon 0.34080000000000016, random actions 1, random actions on zero 0, max actions 0
 - Run (23) 23 / 200 excecuted, epsilon 0.3472000000000002, random actions 1, random actions on zero 0, max actions 1
 - Run (24) 24 / 200 excecuted, epsilon 0.3536000000000002, random actions 3, random actions on zero 0, max actions 0
 - Run (25) 25 / 200 excecuted, epsilon 0.3600000000000002, random actions 0, random actions on zero 1, max actions 1
 - Run (26) 26 / 200 excecuted, epsilon 0.3664000000000002, random actions 2, random actions on zero 0, max actions 0
 - Run (27) 27 / 200 excecuted, epsilon 0.37280000000000024, random actions 1, random actions on zero 0, max actions 1
 - Run (28) 28 / 200 excecuted, epsilon 0.37920000000000026, random actions 2, random actions on zero 0, max actions 0
 - Run (29) 29 / 200 excecuted, epsilon 0.3856000000000003, random actions 1, random actions on zero 0, max actions 1
 - Run (30) 30 / 200 excecuted, epsilon 0.3920000000000003, random actions 1, random actions on zero 0, max actions 1
 - Run (31) 31 / 200 excecuted, epsilon 0.3984000000000003, random actions 1, random actions on zero 0, max actions 1
 - Run (32) 32 / 200 excecuted, epsilon 0.4048000000000003, random actions 2, random actions on zero 0, max actions 0
 - Run (33) 33 / 200 excecuted, epsilon 0.41120000000000034, random actions 1, random actions on zero 0, max actions 1
 - Run (34) 34 / 200 excecuted, epsilon 0.41760000000000036, random actions 2, random actions on zero 2, max actions 2
 - Run (35) 35 / 200 excecuted, epsilon 0.4240000000000004, random actions 1, random actions on zero 0, max actions 1
 - Run (36) 36 / 200 excecuted, epsilon 0.4304000000000004, random actions 1, random actions on zero 3, max actions 1
 - Run (37) 37 / 200 excecuted, epsilon 0.4368000000000004, random actions 2, random actions on zero 0, max actions 0
 - Run (38) 38 / 200 excecuted, epsilon 0.4432000000000004, random actions 1, random actions on zero 0, max actions 1
 - Run (39) 39 / 200 excecuted, epsilon 0.44960000000000044, random actions 2, random actions on zero 0, max actions 1
 - Run (40) 40 / 200 excecuted, epsilon 0.45600000000000046, random actions 0, random actions on zero 0, max actions 1
 - Run (41) 41 / 200 excecuted, epsilon 0.4624000000000005, random actions 1, random actions on zero 0, max actions 1
 - Run (42) 42 / 200 excecuted, epsilon 0.4688000000000005, random actions 0, random actions on zero 1, max actions 0
 - Run (43) 43 / 200 excecuted, epsilon 0.4752000000000005, random actions 0, random actions on zero 0, max actions 2
 - Run (44) 44 / 200 excecuted, epsilon 0.4816000000000005, random actions 1, random actions on zero 0, max actions 0
 - Run (45) 45 / 200 excecuted, epsilon 0.48800000000000054, random actions 0, random actions on zero 0, max actions 2
 - Run (46) 46 / 200 excecuted, epsilon 0.49440000000000056, random actions 3, random actions on zero 0, max actions 0
 - Run (47) 47 / 200 excecuted, epsilon 0.5008000000000006, random actions 1, random actions on zero 0, max actions 0
 - Run (48) 48 / 200 excecuted, epsilon 0.5072000000000005, random actions 0, random actions on zero 0, max actions 2
 - Run (49) 49 / 200 excecuted, epsilon 0.5136000000000005, random actions 0, random actions on zero 0, max actions 2
 - Run (50) 50 / 200 excecuted, epsilon 0.5200000000000005, random actions 0, random actions on zero 0, max actions 2
 - Run (51) 51 / 200 excecuted, epsilon 0.5264000000000004, random actions 1, random actions on zero 0, max actions 0
 - Run (52) 52 / 200 excecuted, epsilon 0.5328000000000004, random actions 2, random actions on zero 0, max actions 0
 - Run (53) 53 / 200 excecuted, epsilon 0.5392000000000003, random actions 1, random actions on zero 0, max actions 0
 - Run (54) 54 / 200 excecuted, epsilon 0.5456000000000003, random actions 2, random actions on zero 0, max actions 0
 - Run (55) 55 / 200 excecuted, epsilon 0.5520000000000003, random actions 1, random actions on zero 2, max actions 3
 - Run (56) 56 / 200 excecuted, epsilon 0.5584000000000002, random actions 1, random actions on zero 2, max actions 2
 - Run (57) 57 / 200 excecuted, epsilon 0.5648000000000002, random actions 1, random actions on zero 0, max actions 1
 - Run (58) 58 / 200 excecuted, epsilon 0.5712000000000002, random actions 0, random actions on zero 0, max actions 2
 - Run (59) 59 / 200 excecuted, epsilon 0.5776000000000001, random actions 1, random actions on zero 0, max actions 0
 - Run (60) 60 / 200 excecuted, epsilon 0.5840000000000001, random actions 1, random actions on zero 0, max actions 0
 - Run (61) 61 / 200 excecuted, epsilon 0.5904, random actions 0, random actions on zero 0, max actions 2
 - Run (62) 62 / 200 excecuted, epsilon 0.5968, random actions 1, random actions on zero 0, max actions 1
 - Run (63) 63 / 200 excecuted, epsilon 0.6032, random actions 1, random actions on zero 1, max actions 1
 - Run (64) 64 / 200 excecuted, epsilon 0.6095999999999999, random actions 1, random actions on zero 0, max actions 0
 - Run (65) 65 / 200 excecuted, epsilon 0.6159999999999999, random actions 2, random actions on zero 0, max actions 1
 - Run (66) 66 / 200 excecuted, epsilon 0.6223999999999998, random actions 1, random actions on zero 0, max actions 1
 - Run (67) 67 / 200 excecuted, epsilon 0.6287999999999998, random actions 1, random actions on zero 0, max actions 1
 - Run (68) 68 / 200 excecuted, epsilon 0.6351999999999998, random actions 0, random actions on zero 0, max actions 2
 - Run (69) 69 / 200 excecuted, epsilon 0.6415999999999997, random actions 0, random actions on zero 0, max actions 2
 - Run (70) 70 / 200 excecuted, epsilon 0.6479999999999997, random actions 1, random actions on zero 0, max actions 1
 - Run (71) 71 / 200 excecuted, epsilon 0.6543999999999996, random actions 0, random actions on zero 0, max actions 2
 - Run (72) 72 / 200 excecuted, epsilon 0.6607999999999996, random actions 0, random actions on zero 0, max actions 2
 - Run (73) 73 / 200 excecuted, epsilon 0.6671999999999996, random actions 0, random actions on zero 0, max actions 2
 - Run (74) 74 / 200 excecuted, epsilon 0.6735999999999995, random actions 0, random actions on zero 0, max actions 2
 - Run (75) 75 / 200 excecuted, epsilon 0.6799999999999995, random actions 1, random actions on zero 0, max actions 1
 - Run (76) 76 / 200 excecuted, epsilon 0.6863999999999995, random actions 0, random actions on zero 0, max actions 1
 - Run (77) 77 / 200 excecuted, epsilon 0.6927999999999994, random actions 2, random actions on zero 0, max actions 1
 - Run (78) 78 / 200 excecuted, epsilon 0.6991999999999994, random actions 0, random actions on zero 0, max actions 2
 - Run (79) 79 / 200 excecuted, epsilon 0.7055999999999993, random actions 1, random actions on zero 0, max actions 1
 - Run (80) 80 / 200 excecuted, epsilon 0.7119999999999993, random actions 0, random actions on zero 0, max actions 3
 - Run (81) 81 / 200 excecuted, epsilon 0.7183999999999993, random actions 1, random actions on zero 0, max actions 1
 - Run (82) 82 / 200 excecuted, epsilon 0.7247999999999992, random actions 0, random actions on zero 0, max actions 2
 - Run (83) 83 / 200 excecuted, epsilon 0.7311999999999992, random actions 1, random actions on zero 0, max actions 0
 - Run (84) 84 / 200 excecuted, epsilon 0.7375999999999991, random actions 0, random actions on zero 0, max actions 2
 - Run (85) 85 / 200 excecuted, epsilon 0.7439999999999991, random actions 1, random actions on zero 0, max actions 1
 - Run (86) 86 / 200 excecuted, epsilon 0.7503999999999991, random actions 0, random actions on zero 1, max actions 2
 - Run (87) 87 / 200 excecuted, epsilon 0.756799999999999, random actions 0, random actions on zero 0, max actions 2
 - Run (88) 88 / 200 excecuted, epsilon 0.763199999999999, random actions 0, random actions on zero 0, max actions 2
 - Run (89) 89 / 200 excecuted, epsilon 0.769599999999999, random actions 0, random actions on zero 0, max actions 2
 - Run (90) 90 / 200 excecuted, epsilon 0.7759999999999989, random actions 0, random actions on zero 0, max actions 3
 - Run (91) 91 / 200 excecuted, epsilon 0.7823999999999989, random actions 0, random actions on zero 0, max actions 2
 - Run (92) 92 / 200 excecuted, epsilon 0.7887999999999988, random actions 0, random actions on zero 0, max actions 2
 - Run (93) 93 / 200 excecuted, epsilon 0.7951999999999988, random actions 0, random actions on zero 0, max actions 2
 - Run (94) 94 / 200 excecuted, epsilon 0.8015999999999988, random actions 0, random actions on zero 0, max actions 2
 - Run (95) 95 / 200 excecuted, epsilon 0.8079999999999987, random actions 0, random actions on zero 0, max actions 2
 - Run (96) 96 / 200 excecuted, epsilon 0.8143999999999987, random actions 0, random actions on zero 2, max actions 2
 - Run (97) 97 / 200 excecuted, epsilon 0.8207999999999986, random actions 1, random actions on zero 0, max actions 1
 - Run (98) 98 / 200 excecuted, epsilon 0.8271999999999986, random actions 1, random actions on zero 0, max actions 0
 - Run (99) 99 / 200 excecuted, epsilon 0.8335999999999986, random actions 1, random actions on zero 0, max actions 3
 - Run (100) 100 / 200 excecuted, epsilon 0.8399999999999985, random actions 0, random actions on zero 0, max actions 2
 - Run (101) 101 / 200 excecuted, epsilon 0.8463999999999985, random actions 0, random actions on zero 0, max actions 2
 - Run (102) 102 / 200 excecuted, epsilon 0.8527999999999984, random actions 1, random actions on zero 0, max actions 1
 - Run (103) 103 / 200 excecuted, epsilon 0.8591999999999984, random actions 0, random actions on zero 0, max actions 2
 - Run (104) 104 / 200 excecuted, epsilon 0.8655999999999984, random actions 1, random actions on zero 0, max actions 1
 - Run (105) 105 / 200 excecuted, epsilon 0.8719999999999983, random actions 0, random actions on zero 0, max actions 2
 - Run (106) 106 / 200 excecuted, epsilon 0.8783999999999983, random actions 0, random actions on zero 0, max actions 2
 - Run (107) 107 / 200 excecuted, epsilon 0.8847999999999983, random actions 0, random actions on zero 0, max actions 2
 - Run (108) 108 / 200 excecuted, epsilon 0.8911999999999982, random actions 0, random actions on zero 0, max actions 2
 - Run (109) 109 / 200 excecuted, epsilon 0.8975999999999982, random actions 1, random actions on zero 0, max actions 0
 - Run (110) 110 / 200 excecuted, epsilon 0.9039999999999981, random actions 0, random actions on zero 1, max actions 0
 - Run (111) 111 / 200 excecuted, epsilon 0.9103999999999981, random actions 0, random actions on zero 0, max actions 2
 - Run (112) 112 / 200 excecuted, epsilon 0.9167999999999981, random actions 0, random actions on zero 0, max actions 2
 - Run (113) 113 / 200 excecuted, epsilon 0.923199999999998, random actions 0, random actions on zero 0, max actions 2
 - Run (114) 114 / 200 excecuted, epsilon 0.929599999999998, random actions 0, random actions on zero 0, max actions 2
 - Run (115) 115 / 200 excecuted, epsilon 0.935999999999998, random actions 0, random actions on zero 0, max actions 2
 - Run (116) 116 / 200 excecuted, epsilon 0.9423999999999979, random actions 0, random actions on zero 0, max actions 2
 - Run (117) 117 / 200 excecuted, epsilon 0.9487999999999979, random actions 1, random actions on zero 0, max actions 1
 - Run (118) 118 / 200 excecuted, epsilon 0.9551999999999978, random actions 0, random actions on zero 0, max actions 2
 - Run (119) 119 / 200 excecuted, epsilon 0.9615999999999978, random actions 0, random actions on zero 0, max actions 2
 - Run (120) 120 / 200 excecuted, epsilon 0.9679999999999978, random actions 0, random actions on zero 1, max actions 1
 - Run (121) 121 / 200 excecuted, epsilon 0.9743999999999977, random actions 0, random actions on zero 0, max actions 2
 - Run (122) 122 / 200 excecuted, epsilon 0.9807999999999977, random actions 0, random actions on zero 0, max actions 2
 - Run (123) 123 / 200 excecuted, epsilon 0.9871999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (124) 124 / 200 excecuted, epsilon 0.9935999999999976, random actions 0, random actions on zero 0, max actions 2
