Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,71414,15826,4861,0,15,15,0,1,0,1,0,192000,50000,242000,1491,223650,465650,0,"
"
2,64914,17622,4878,15,30,15,0,2,0,2,9599.999999999998,230400.0,50000,290000.0,1661,249150,539150.0,0,-
3,64415,28174,10423,15,15,15,0,2,0,2,9599.999999999998,38399.99999999999,50000,98000.0,2723,408450,506450.0,0,-
4,64157,17020,4633,15,15,15,0,1,0,1,9599.999999999998,38399.99999999999,50000,98000.0,1594,239100,337100.0,0,-
5,57974,23736,7050,30,0,30,0,3,0,3,19199.999999999996,0,50000,69200.0,2267,340050,409250.0,0,-
6,71091,17977,5468,0,15,15,0,2,0,2,0,192000,50000,242000,1714,257100,499100,0,-
7,58235,24694,8788,30,30,15,0,3,0,3,19199.999999999996,230400.0,50000,299600.0,2381,357150,656750.0,0,-
8,64743,15987,4082,15,0,15,0,1,0,1,9599.999999999998,0,50000,59600.0,1493,223950,283550.0,0,-
9,57623,36494,12911,30,30,15,1,3,0,4,19199.999999999996,230400.0,50000,299600.0,3557,533550,833150.0,0, 
10,57156,54687,20294,30,15,15,2,2,0,4,19199.999999999996,38399.99999999999,50000,107600.0,5372,805800,913400.0,0,E
11,64189,16088,4090,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,50000,98000.0,1507,226050,324050.0,0,p
12,64367,18559,5951,15,15,15,1,0,1,2,9599.999999999998,192000,50000,251600.0,1769,265350,516950.0,0,o
13,71099,21455,8345,0,30,15,2,1,0,3,0,384000,50000,434000,2065,309750,743750,0,c
14,64519,18843,6120,15,30,0,1,0,1,2,9599.999999999998,230400.0,0,240000.0,1795,269250,509250.0,0,h
15,71229,16713,5070,0,15,15,1,0,0,1,0,192000,50000,242000,1587,238050,480050,0,s
16,71776,16470,4924,0,15,30,1,0,1,2,0,192000,50000,242000,1563,234450,476450,0,:
17,64350,17592,4818,15,15,15,0,0,2,2,9599.999999999998,38399.99999999999,50000,98000.0,1655,248250,346250.0,0, 
18,57798,16503,4259,30,0,30,1,0,1,2,19199.999999999996,0,50000,69200.0,1550,232500,301700.0,0,2
19,64614,16373,4264,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,50000,98000.0,1537,230550,328550.0,0,0
20,64788,18377,5573,15,15,15,2,0,0,2,9599.999999999998,38399.99999999999,50000,98000.0,1751,262650,360650.0,0,0
21,57631,16693,4496,30,15,15,1,0,1,2,19199.999999999996,38399.99999999999,50000,107600.0,1561,234150,341750.0,0,","
22,70538,19029,5775,0,0,30,1,0,1,2,0,0,50000,50000,1817,272550,322550,0, 
23,64475,37763,15154,15,30,0,2,1,0,3,9599.999999999998,230400.0,0,240000.0,3691,553650,793650.0,0,S
24,58242,24516,7339,30,0,30,1,0,2,3,19199.999999999996,0,50000,69200.0,2343,351450,420650.0,0,t
25,64022,44971,18873,15,30,30,2,2,0,4,9599.999999999998,230400.0,50000,290000.0,4414,662100,952100.0,0,a
26,57700,17585,4572,30,0,30,1,0,1,2,19199.999999999996,0,50000,69200.0,1645,246750,315950.0,0,r
27,64868,17666,4713,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,50000,98000.0,1660,249000,347000.0,0,t
28,63868,17072,4399,15,15,0,1,0,1,2,9599.999999999998,38399.99999999999,0,47999.99999999999,1599,239850,287850.0,0,i
29,57877,15846,4296,30,0,30,2,0,0,2,19199.999999999996,0,50000,69200.0,1476,221400,290600.0,0,n
30,57961,16636,4597,30,30,0,1,0,1,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1557,233550,329550.0,0,g
31,64069,20917,6586,15,15,30,3,0,0,3,9599.999999999998,192000,50000,251600.0,1985,297750,549350.0,0, 
32,70743,16344,5002,0,15,15,1,0,0,1,0,192000,50000,242000,1546,231900,473900,0,E
33,65114,18499,5570,15,0,30,1,0,1,2,9599.999999999998,0,50000,59600.0,1766,264900,324500.0,0,p
34,57740,18055,4966,30,15,15,1,0,1,2,19199.999999999996,38399.99999999999,50000,107600.0,1701,255150,362750.0,0,s
35,64463,17902,5007,15,30,15,1,0,1,2,9599.999999999998,230400.0,50000,290000.0,1688,253200,543200.0,0,i
36,71579,17071,5509,0,0,30,0,1,1,2,0,0,50000,50000,1618,242700,292700,0,l
37,57804,26572,9119,30,15,30,2,1,1,4,19199.999999999996,192000,50000,261200.0,2554,383100,644300.0,0,o
38,64720,17845,5328,15,15,15,2,0,0,2,9599.999999999998,38399.99999999999,50000,98000.0,1705,255750,353750.0,0,n
39,58518,24951,7561,30,15,30,2,0,1,3,19199.999999999996,38399.99999999999,50000,107600.0,2382,357300,464900.0,0,:
40,64404,17753,4716,15,0,30,0,0,2,2,9599.999999999998,0,50000,59600.0,1669,250350,309950.0,0, 
41,64309,16882,4696,15,15,15,0,0,2,2,9599.999999999998,38399.99999999999,50000,98000.0,1580,237000,335000.0,0,0
42,57443,16241,4300,30,15,15,1,0,1,2,19199.999999999996,38399.99999999999,50000,107600.0,1514,227100,334700.0,0,.
43,63830,16666,4563,15,15,15,0,0,2,2,9599.999999999998,38399.99999999999,50000,98000.0,1563,234450,332450.0,0,2
44,71848,28269,11366,0,15,15,2,1,0,3,0,192000,50000,242000,2739,410850,652850,0, 
45,58579,24908,7402,30,0,30,2,0,1,3,19199.999999999996,0,50000,69200.0,2384,357600,426800.0,0,-
46,70648,19466,6474,0,15,15,2,0,0,2,0,192000,50000,242000,1859,278850,520850,0,-
47,58060,16703,4320,30,0,30,0,0,2,2,19199.999999999996,0,50000,69200.0,1560,234000,303200.0,0,-
48,64612,18030,5050,15,15,0,1,0,1,2,9599.999999999998,38399.99999999999,0,47999.99999999999,1692,253800,301800.0,0,-
49,65123,17236,4522,15,0,15,1,0,0,1,9599.999999999998,0,50000,59600.0,1624,243600,303200.0,0,-
50,64525,17717,4762,15,15,15,2,0,0,2,9599.999999999998,192000,50000,251600.0,1669,250350,501950.0,0,-
51,64412,18373,4758,15,15,15,1,0,1,2,9599.999999999998,38399.99999999999,50000,98000.0,1728,259200,357200.0,0,-
52,64721,19657,6447,15,15,15,1,0,1,2,9599.999999999998,192000,50000,251600.0,1872,280800,532400.0,0,-
53,67856,51130,20997,4,49,15,3,2,1,6,2399.9999999999995,585600.0,50000,638000.0,5088,763200,1401200.0,0,-
54,64454,17742,5169,15,15,30,1,0,1,2,9599.999999999998,38399.99999999999,50000,98000.0,1686,252900,350900.0,0,-
55,64480,16487,4206,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,50000,98000.0,1542,231300,329300.0,0,-
56,57932,17915,5084,30,15,30,1,1,2,4,19199.999999999996,38399.99999999999,50000,107600.0,1682,252300,359900.0,0,-
57,57801,16408,4665,30,15,15,0,0,2,2,19199.999999999996,38399.99999999999,50000,107600.0,1530,229500,337100.0,0,-
58,56911,42459,16892,30,15,30,2,2,1,5,19199.999999999996,38399.99999999999,50000,107600.0,4151,622650,730250.0,0,-
59,58273,17446,4801,30,15,15,0,0,2,2,19199.999999999996,38399.99999999999,50000,107600.0,1638,245700,353300.0,0,-
60,64491,17006,4578,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,50000,98000.0,1601,240150,338150.0,0,-
61,57893,17158,4790,30,15,15,0,0,2,2,19199.999999999996,38399.99999999999,50000,107600.0,1614,242100,349700.0,0,-
62,64702,29589,11893,15,15,15,1,1,1,3,9599.999999999998,38399.99999999999,50000,98000.0,2869,430350,528350.0,0,-
63,64180,16502,4872,15,30,0,1,0,1,2,9599.999999999998,230400.0,0,240000.0,1543,231450,471450.0,0,-
64,64351,16798,4306,15,15,15,1,0,0,1,9599.999999999998,38399.99999999999,50000,98000.0,1578,236700,334700.0,0,-
65,64425,17018,4878,15,30,0,1,0,1,2,9599.999999999998,230400.0,0,240000.0,1598,239700,479700.0,0,-
66,57522,16554,4310,30,15,15,1,0,1,2,19199.999999999996,38399.99999999999,50000,107600.0,1554,233100,340700.0,0,-
67,57903,17806,5038,30,30,15,0,0,2,2,19199.999999999996,76799.99999999999,50000,146000.0,1676,251400,397400.0,0,-
68,70673,16989,5040,0,15,15,1,0,0,1,0,192000,50000,242000,1612,241800,483800,0,-
69,64535,17253,4832,15,30,15,1,0,1,2,9599.999999999998,230400.0,50000,290000.0,1621,243150,533150.0,0,-
70,64142,17706,4714,15,15,0,0,0,1,1,9599.999999999998,38399.99999999999,0,47999.99999999999,1663,249450,297450.0,0,-
71,51029,20431,5878,45,45,15,2,1,1,4,28799.999999999996,268800.0,50000,347600.0,1936,290400,638000.0,0,-
72,57450,17806,4972,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1673,250950,346950.0,0,-
73,70987,15130,4671,0,15,15,1,0,0,1,0,192000,50000,242000,1435,215250,457250,0,-
74,64498,16421,4252,15,15,0,0,0,1,1,9599.999999999998,38399.99999999999,0,47999.99999999999,1541,231150,279150.0,0,-
75,44414,54665,19170,60,15,15,3,2,0,5,38399.99999999999,38399.99999999999,50000,126800.0,5333,799950,926750.0,0,-
76,64999,30824,11895,15,15,15,1,0,2,3,9599.999999999998,38399.99999999999,50000,98000.0,3004,450600,548600.0,0,-
77,57746,17860,4969,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1679,251850,347850.0,0,-
78,64990,17237,5344,15,15,15,1,1,0,2,9599.999999999998,192000,50000,251600.0,1640,246000,497600.0,0,-
79,57372,18625,5078,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1761,264150,360150.0,0,-
80,64640,16688,4321,15,0,15,1,0,0,1,9599.999999999998,0,50000,59600.0,1566,234900,294500.0,0,-
81,57725,18029,4922,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1698,254700,350700.0,0,-
82,58116,18299,5298,30,30,0,1,0,1,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1724,258600,354600.0,0,-
83,58028,18019,5005,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1695,254250,350250.0,0,-
84,70924,14306,4549,0,15,15,0,1,0,1,0,192000,50000,242000,1344,201600,443600,0,-
85,58084,17899,4996,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1686,252900,348900.0,0,-
86,57300,15650,4133,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1458,218700,314700.0,0,-
87,57628,18167,4986,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1708,256200,352200.0,0,-
88,64283,15227,4657,15,30,15,1,0,1,2,9599.999999999998,230400.0,50000,290000.0,1435,215250,505250.0,0,-
89,57841,17394,4680,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1632,244800,340800.0,0,-
90,58086,14908,4107,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1380,207000,303000.0,0,-
91,58078,17418,4697,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1637,245550,341550.0,0,-
92,64685,16760,5166,15,30,15,1,0,1,2,9599.999999999998,230400.0,50000,290000.0,1582,237300,527300.0,0,-
93,57660,17381,4829,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1631,244650,340650.0,0,-
94,57679,16279,4646,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1526,228900,324900.0,0,-
95,64382,16639,4947,15,30,15,1,0,1,2,9599.999999999998,230400.0,50000,290000.0,1579,236850,526850.0,0,-
96,57844,16594,4436,30,15,15,0,0,2,2,19199.999999999996,38399.99999999999,50000,107600.0,1554,233100,340700.0,0,-
97,57836,15952,4483,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1491,223650,319650.0,0,-
98,57606,17942,4701,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1683,252450,348450.0,0,-
99,57756,17959,5058,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1684,252600,348600.0,0,-
100,57967,16949,4647,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1587,238050,334050.0,0,-
101,57497,18082,5131,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1701,255150,351150.0,0,-
102,57407,15181,4406,30,30,0,0,1,1,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1416,212400,308400.0,0,-
103,63979,18711,6196,15,30,0,1,0,1,2,9599.999999999998,230400.0,0,240000.0,1783,267450,507450.0,0,-
104,57670,16241,4235,30,30,0,1,0,1,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1518,227700,323700.0,0,-
105,57357,16410,4590,30,30,0,1,0,1,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1532,229800,325800.0,0,-
106,58111,15607,4315,30,30,0,0,0,2,2,19199.999999999996,76799.99999999999,0,95999.99999999999,1460,219000,315000.0,0,-
