Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,71996,27548,12475,0,15,15,0,2,0,2,0,192000,50000,242000,2497,374550,616550,0,"
"
2,69801,25038,8997,15,30,15,0,2,0,2,19200.0,268800.0,50000,338000.0,2249,337350,675350.0,0,-
3,71489,16333,5662,0,15,15,0,2,0,2,0,192000,50000,242000,1442,216300,458300,0,-
4,68384,30099,10797,30,15,15,0,2,0,2,38400.0,76800.0,50000,165200.0,2722,408300,573500.0,0,-
5,64851,67012,28892,34,30,19,0,6,0,6,43200.0,268800.0,50000,362000.0,6524,978600,1340600.0,0,-
6,68387,16404,5144,30,0,30,0,2,0,2,38400.0,0,50000,88400.0,1444,216600,305000.0,0,-
7,70326,17948,5441,15,15,15,0,1,0,1,19200.0,76800.0,50000,146000.0,1587,238050,384050.0,0,-
8,66478,29384,12434,45,45,15,0,3,0,3,57600.0,230400.0,50000,338000.0,2662,399300,737300.0,0,-
9,70444,52944,22914,15,15,15,0,4,0,4,19200.0,192000,50000,261200.0,4874,731100,992300.0,0, 
10,71485,24776,9030,0,30,15,2,1,0,3,0,384000,50000,434000,2233,334950,768950,0,E
11,70317,14729,4839,15,15,15,0,1,0,1,19200.0,76800.0,50000,146000.0,1290,193500,339500.0,0,p
12,71616,13294,4755,0,15,15,0,1,0,1,0,192000,50000,242000,1157,173550,415550,0,o
13,68482,32559,13442,30,15,30,2,1,1,4,38400.0,76800.0,50000,165200.0,2967,445050,610250.0,0,c
14,66363,81787,36167,49,15,4,2,4,0,6,62400.0,192000,50000,304400.0,7708,1156200,1460600.0,0,h
15,70104,17881,6023,15,0,30,0,0,2,2,19200.0,0,50000,69200.0,1586,237900,307100.0,0,s
16,69009,33426,13148,30,15,30,1,2,0,3,38400.0,76800.0,50000,165200.0,3045,456750,621950.0,0,:
17,69751,19318,5664,15,0,15,0,1,0,1,19200.0,0,50000,69200.0,1714,257100,326300.0,0, 
18,70766,17798,5696,0,15,15,0,1,0,1,0,192000,50000,242000,1577,236550,478550,0,2
19,68628,35809,16412,30,15,30,2,1,1,4,38400.0,76800.0,50000,165200.0,3266,489900,655100.0,0,0
20,71434,18279,5730,0,0,15,0,1,0,1,0,0,50000,50000,1627,244050,294050,0,0
21,68603,43345,17578,15,30,15,2,1,0,3,19200.0,268800.0,50000,338000.0,3970,595500,933500.0,0,","
22,70763,23994,8639,0,30,15,2,0,0,2,0,384000,50000,434000,2161,324150,758150,0, 
23,70782,18919,5948,0,15,30,2,0,0,2,0,192000,50000,242000,1683,252450,494450,0,S
24,69957,16428,5051,15,15,15,1,0,0,1,19200.0,76800.0,50000,146000.0,1446,216900,362900.0,0,t
25,70176,16325,5282,15,0,30,2,0,0,2,19200.0,0,50000,69200.0,1435,215250,284450.0,0,a
26,68865,33489,11780,30,0,30,1,0,2,3,38400.0,0,50000,88400.0,3044,456600,545000.0,0,r
27,66548,30623,11228,45,0,30,2,0,1,3,57600.0,0,50000,107600.0,2778,416700,524300.0,0,t
28,69871,17563,5283,15,0,15,1,0,0,1,19200.0,0,50000,69200.0,1553,232950,302150.0,0,i
29,70483,16340,5545,15,15,15,2,0,0,2,19200.0,76800.0,50000,146000.0,1442,216300,362300.0,0,n
30,70284,24017,8821,15,15,30,1,0,2,3,19200.0,192000,50000,261200.0,2162,324300,585500.0,0,g
31,71374,31123,12195,0,30,30,3,0,1,4,0,384000,50000,434000,2829,424350,858350,0, 
32,69966,18849,5937,15,15,15,1,0,1,2,19200.0,76800.0,50000,146000.0,1676,251400,397400.0,0,E
33,70163,17558,5669,15,15,30,1,0,1,2,19200.0,76800.0,50000,146000.0,1554,233100,379100.0,0,p
34,69816,18284,5443,15,0,15,0,0,1,1,19200.0,0,50000,69200.0,1620,243000,312200.0,0,s
35,68620,17462,5396,30,0,15,1,0,1,2,38400.0,0,50000,88400.0,1542,231300,319700.0,0,i
36,70300,23874,8719,15,15,30,2,0,1,3,19200.0,192000,50000,261200.0,2148,322200,583400.0,0,l
37,68491,25398,9307,30,15,15,1,1,1,3,38400.0,76800.0,50000,165200.0,2283,342450,507650.0,0,o
38,70097,16266,4997,15,15,15,1,0,0,1,19200.0,76800.0,50000,146000.0,1433,214950,360950.0,0,n
39,67370,42181,18006,45,45,30,3,0,2,5,57600.0,345600.0,50000,453200.0,3862,579300,1032500.0,0,:
40,69130,22773,8891,30,15,15,2,0,1,3,38400.0,192000,50000,280400.0,2044,306600,587000.0,0, 
41,71495,30390,13099,0,0,30,2,0,1,3,0,0,50000,50000,2760,414000,464000,0,0
42,70096,17341,5234,15,15,15,1,0,0,1,19200.0,76800.0,50000,146000.0,1530,229500,375500.0,0,.
43,71642,31354,13399,0,0,45,2,0,2,4,0,0,50000,50000,2853,427950,477950,0,2
44,66598,60446,24151,45,30,30,3,1,1,5,57600.0,268800.0,50000,376400.0,5571,835650,1212050.0,0, 
45,70327,35518,14486,15,60,30,3,1,1,5,19200.0,652800.0,50000,722000.0,3247,487050,1209050.0,0,-
46,71137,17866,5719,0,0,30,0,0,2,2,0,0,50000,50000,1584,237600,287600,0,-
47,70702,17591,5757,0,0,30,0,0,2,2,0,0,50000,50000,1558,233700,283700,0,-
48,70168,18354,5821,15,15,30,1,0,1,2,19200.0,76800.0,50000,146000.0,1632,244800,390800.0,0,-
49,70298,22862,8903,15,15,30,1,0,2,3,19200.0,76800.0,50000,146000.0,2052,307800,453800.0,0,-
50,70251,16676,5310,15,0,30,1,0,1,2,19200.0,0,50000,69200.0,1472,220800,290000.0,0,-
51,71222,17427,5835,0,0,30,0,0,2,2,0,0,50000,50000,1541,231150,281150,0,-
52,68318,24482,9092,30,30,15,2,0,0,2,38400.0,153600.0,50000,242000.0,2205,330750,572750.0,0,-
53,70461,29926,12920,15,0,30,1,0,2,3,19200.0,0,50000,69200.0,2713,406950,476150.0,0,-
54,71133,16520,5821,0,0,30,0,0,2,2,0,0,50000,50000,1457,218550,268550,0,-
55,70950,53099,22654,0,15,30,3,1,0,4,0,192000,50000,242000,4892,733800,975800,0,-
56,70210,18420,5764,15,15,15,1,0,1,2,19200.0,76800.0,50000,146000.0,1638,245700,391700.0,0,-
57,70548,16772,5328,15,0,15,0,0,1,1,19200.0,0,50000,69200.0,1479,221850,291050.0,0,-
58,71057,18231,5956,0,15,15,1,0,1,2,0,192000,50000,242000,1617,242550,484550,0,-
59,71236,17039,5558,0,15,30,2,0,0,2,0,192000,50000,242000,1508,226200,468200,0,-
60,70214,18148,5265,15,15,15,1,0,0,1,19200.0,76800.0,50000,146000.0,1607,241050,387050.0,0,-
