Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,71957,14846,5258,0,15,15,0,1,0,1,0,192000,150000,342000,1303,195450,537450,0,"
"
2,62616,71738,28604,64,34,19,0,6,0,6,81600.0,172800.0,150000,404400.0,6695,1004250,1408650.0,0,-
3,68514,25034,9395,30,30,15,0,2,0,2,38400.0,153600.0,150000,342000.0,2255,338250,680250.0,0,-
4,70611,19694,6071,0,0,15,0,1,0,1,0,0,150000,150000,1757,263550,413550,0,-
5,68774,35178,12143,30,0,30,0,3,0,3,38400.0,0,150000,188400.0,3195,479250,667650.0,0,-
6,68685,31235,11289,30,15,15,0,2,0,2,38400.0,76800.0,150000,265200.0,2830,424500,689700.0,0,-
7,72082,35351,16266,0,30,15,0,3,0,3,0,384000,150000,534000,3225,483750,1017750,0,-
8,70235,18434,5579,15,15,15,0,1,0,1,19200.0,76800.0,150000,246000.0,1636,245400,491400.0,0,-
9,70963,18126,5553,0,15,15,0,1,0,1,0,192000,150000,342000,1613,241950,583950,0, 
10,70545,24363,9000,15,30,15,0,3,0,3,19200.0,384000,150000,553200.0,2196,329400,882600.0,0,E
11,68569,40103,16843,15,15,30,0,4,0,4,19200.0,192000,150000,361200.0,3666,549900,911100.0,0,p
12,70024,16614,5094,15,15,15,0,1,0,1,19200.0,76800.0,150000,246000.0,1466,219900,465900.0,0,o
13,69253,40866,17217,30,30,30,1,2,1,4,38400.0,153600.0,150000,342000.0,3741,561150,903150.0,0,c
14,68923,23858,8938,30,15,30,2,1,0,3,38400.0,192000,150000,380400.0,2151,322650,703050.0,0,h
15,70215,17788,5478,15,0,15,0,1,1,2,19200.0,0,150000,169200.0,1571,235650,404850.0,0,s
16,70314,24398,9171,15,15,15,2,0,1,3,19200.0,76800.0,150000,246000.0,2193,328950,574950.0,0,:
17,70195,31086,11836,15,0,30,2,1,0,3,19200.0,0,150000,169200.0,2824,423600,592800.0,0, 
18,70033,18620,5563,15,0,15,1,0,0,1,19200.0,0,150000,169200.0,1653,247950,417150.0,0,2
19,70202,18869,5967,15,0,15,1,0,1,2,19200.0,0,150000,169200.0,1680,252000,421200.0,0,0
20,71867,14604,5181,0,15,15,1,0,0,1,0,192000,150000,342000,1279,191850,533850,0,0
21,70864,17233,5681,0,0,15,0,0,2,2,0,0,150000,150000,1529,229350,379350,0,","
22,71349,13492,4684,0,15,15,1,0,0,1,0,192000,150000,342000,1175,176250,518250,0, 
23,70285,31149,12903,15,0,15,1,0,2,3,19200.0,0,150000,169200.0,2828,424200,593400.0,0,S
24,68919,55078,22501,15,15,45,4,0,1,5,19200.0,76800.0,150000,246000.0,5077,761550,1007550.0,0,t
25,70574,32485,11548,15,15,15,1,0,1,2,19200.0,192000,150000,361200.0,2949,442350,803550.0,0,a
26,66694,61272,27743,34,60,4,1,4,1,6,43200.0,537600.0,150000,730800.0,5785,867750,1598550.0,0,r
27,68878,32528,13397,30,45,15,1,0,3,4,38400.0,345600.0,150000,534000.0,2954,443100,977100.0,0,t
28,70563,16503,5292,15,0,15,0,0,1,1,19200.0,0,150000,169200.0,1453,217950,387150.0,0,i
29,70807,17087,5642,0,15,15,1,0,0,1,0,192000,150000,342000,1510,226500,568500,0,n
30,70848,15701,4903,15,15,15,0,0,1,1,19200.0,76800.0,150000,246000.0,1379,206850,452850.0,0,g
31,68368,17404,5493,30,15,30,2,0,0,2,38400.0,76800.0,150000,265200.0,1539,230850,496050.0,0, 
32,70240,17274,5459,15,15,15,0,0,1,1,19200.0,76800.0,150000,246000.0,1527,229050,475050.0,0,E
33,61954,77475,30514,75,15,15,4,0,2,6,96000.0,76800.0,150000,322800.0,7570,1135500,1458300.0,0,p
34,70539,22639,8862,15,15,30,1,0,2,3,19200.0,192000,150000,361200.0,2031,304650,665850.0,0,s
35,70443,16326,5591,15,15,30,1,0,1,2,19200.0,76800.0,150000,246000.0,1439,215850,461850.0,0,i
