Epoch,Attendance,Contagion,Present contagion,A1,A2,A3,Action on random,Action on random zero,Action on max,Actions,A1 cost,A2 cost,A3 cost,Action cost,New infections,New infected cost,Total cost,Total revenues,Epoch txt
1,69690,24037,8947,15,30,15,0,2,0,2,19200.0,268800.0,200000,488000.0,2167,325050,813050.0,453400,"
"
2,68210,57264,23482,15,34,30,2,4,0,6,19200.0,316800.0,200000,536000.0,5280,792000,1328000.0,1071200,-
3,68532,42378,19091,30,0,30,2,1,1,4,38400.0,0,200000,238400.0,3878,581700,820100.0,795600,-
4,70477,18260,5505,0,15,15,1,0,0,1,0,192000,200000,392000,1624,243600,635600,344800,-
5,60700,65997,25848,79,34,19,4,0,2,6,100800.0,172800.0,200000,473600.0,6121,918150,1391750.0,1216000,-
6,67877,47825,20216,34,45,15,4,2,0,6,43200.0,460800.0,200000,704000.0,4909,736350,1440350.0,819000,-
7,70588,16267,5543,0,15,15,1,0,0,1,0,192000,200000,392000,1436,215400,607400,307200,-
8,66730,50721,18606,45,0,30,2,0,2,4,57600.0,0,200000,257600.0,4648,697200,954800.0,949600,-
9,70290,31487,12513,15,15,15,2,0,0,2,19200.0,76800.0,200000,296000.0,2859,428850,724850.0,591800, 
10,69683,17617,5410,15,0,15,2,0,0,2,19200.0,0,200000,219200.0,1557,233550,452750.0,331400,E
11,70241,23969,8946,15,30,15,1,0,2,3,19200.0,268800.0,200000,488000.0,2155,323250,811250.0,451000,p
12,70990,18665,6000,0,0,15,1,0,1,2,0,0,200000,200000,1660,249000,449000,352000,o
13,67051,51543,18602,45,0,30,3,1,0,4,57600.0,0,200000,257600.0,4727,709050,966650.0,965400,c
14,71362,18742,6087,0,15,15,2,0,0,2,0,192000,200000,392000,1670,250500,642500,354000,h
15,70731,18322,5731,0,15,15,1,0,0,1,0,192000,200000,392000,1630,244500,636500,346000,s
16,70017,31581,12489,15,0,30,1,0,2,3,19200.0,0,200000,219200.0,2870,430500,649700.0,594000,:
17,69039,25014,9202,30,30,15,1,0,2,3,38400.0,153600.0,200000,392000.0,2253,337950,729950.0,470600, 
18,65192,57434,22184,60,30,15,3,0,1,4,76800.0,153600.0,200000,430400.0,5278,791700,1222100.0,1075600,2
19,70778,46614,20239,0,30,30,3,1,1,5,0,384000,200000,584000,4277,641550,1225550,875400,0
20,68482,17194,5471,30,0,30,1,1,0,2,38400.0,0,200000,238400.0,1520,228000,466400.0,324000,0
21,70905,36547,16129,15,15,15,2,0,1,3,19200.0,192000,200000,411200.0,3339,500850,912050.0,687800,","
22,68960,25393,9365,30,15,15,1,0,2,3,38400.0,76800.0,200000,315200.0,2286,342900,658100.0,477200, 
23,70521,22274,9122,15,30,15,2,0,0,2,19200.0,268800.0,200000,488000.0,1998,299700,787700.0,419600,S
24,64964,80368,37605,49,19,0,3,1,2,6,62400.0,96000.0,0,158400.0,7771,1165650,1324050.0,1420200,t
25,64856,65662,25955,60,0,30,4,0,1,5,76800.0,0,200000,276800.0,6055,908250,1185050.0,1231000,a
26,69738,17759,5263,15,15,15,1,0,0,1,19200.0,76800.0,200000,296000.0,1572,235800,531800.0,334400,r
