Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;58159;26520;5589;30;0;15;0;2;0;2;76864;0;95000;171864;2320;348000;519864;0;"
"
2;63561;18710;2688;15;0;15;0;1;0;1;38432;0;95000;133432;1610;241500;374932;0;-
3;68052;18710;3635;0;15;15;0;1;0;1;0;123520;95000;218520;1610;241500;460020;0;-
4;63561;18710;2688;15;15;15;0;1;0;1;38432;47840;95000;181272;1610;241500;422772;0;-
5;67688;41524;9794;0;15;15;0;2;0;2;0;124030;95000;219030;3684;552600;771630;0;-
6;63330;18710;3225;15;15;0;0;1;0;1;38432;47840;0;86272;1610;241500;327772;0;-
7;68409;18710;4942;0;15;0;0;1;0;1;0;128630;0;128630;1610;241500;370130;0;-
8;68074;18710;3635;0;0;15;0;1;0;1;0;0;95000;95000;1610;241500;336500;0;-
9;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0; 
10;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;E
11;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;p
12;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;o
13;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;c
14;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;h
15;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;s
16;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;:
17;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0; 
18;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;2
19;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;0
20;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;0
21;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;,
22;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0; 
23;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;S
24;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;t
25;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;a
26;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;r
27;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;t
28;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;i
29;63349;18710;2699;15;0;15;1;0;0;1;38432;0;95000;133432;1610;241500;374932;0;n
