Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;65324;14541;3136;15;15;15;0;1;0;1;9599,999999999998;95999,99999999999;100000;205600,0;1231;184650;390250,0;0;"
"
2;71364;13353;3583;0;15;15;0;1;0;1;0;480000;100000;580000;1123;168450;748450;0;-
3;58675;22758;6725;30;15;0;0;2;0;2;19199,999999999996;95999,99999999999;0;115199,99999999999;1978;296700;411900,0;0;-
4;71456;14409;3918;0;0;15;0;1;0;1;0;0;100000;100000;1219;182850;282850;0;-
5;71925;14167;5278;0;15;0;0;1;0;1;0;480000;0;480000;1197;179550;659550;0;-
6;64024;43152;17258;15;0;15;0;3;0;3;9599,999999999998;0;100000;109600,0;3832;574800;684400,0;0;-
7;64819;12979;3245;15;15;0;0;1;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1089;163350;268950,0;0;-
8;64718;14310;3436;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1210;181500;287100,0;0;-
9;65428;21295;6155;15;15;15;0;1;1;2;9599,999999999998;480000;100000;589600,0;1845;276750;866350,0;0; 
10;65171;12704;2655;15;15;15;1;0;0;1;9599,999999999998;95999,99999999999;100000;205600,0;1064;159600;365200,0;0;E
11;58358;23165;6223;30;0;15;1;1;0;2;19199,999999999996;0;100000;119200,0;2015;302250;421450,0;0;p
12;64960;13672;2939;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1152;172800;282400,0;0;o
13;71581;13474;3609;0;0;15;0;0;1;1;0;0;100000;100000;1134;170100;270100;0;c
14;64701;14684;3643;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1244;186600;292200,0;0;h
15;64993;14728;3127;15;15;15;1;0;0;1;9599,999999999998;95999,99999999999;100000;205600,0;1248;187200;392800,0;0;s
16;70955;12704;3507;0;0;15;1;0;0;1;0;0;100000;100000;1064;159600;259600;0;:
17;62735;56660;21339;15;0;15;1;2;1;4;9599,999999999998;0;100000;109600,0;5060;759000;868600,0;0; 
18;71205;13331;3629;0;0;15;1;0;0;1;0;0;100000;100000;1121;168150;268150;0;2
19;65376;13936;2933;15;15;15;1;0;0;1;9599,999999999998;95999,99999999999;100000;205600,0;1176;176400;382000,0;0;0
20;64902;13925;2955;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1175;176250;285850,0;0;0
21;65186;14717;3257;15;0;15;1;0;0;1;9599,999999999998;0;100000;109600,0;1247;187050;296650,0;0;,
22;65285;12968;2763;15;0;15;1;0;0;1;9599,999999999998;0;100000;109600,0;1088;163200;272800,0;0; 
23;65112;21229;6194;15;0;15;0;1;1;2;9599,999999999998;0;100000;109600,0;1839;275850;385450,0;0;S
24;71543;14233;3989;0;0;15;0;0;1;1;0;0;100000;100000;1203;180450;280450;0;t
25;71210;14222;5326;0;15;0;1;0;0;1;0;480000;0;480000;1202;180300;660300;0;a
26;58021;36607;12932;30;15;15;1;2;0;3;19199,999999999996;95999,99999999999;100000;215200,0;3237;485550;700750,0;0;r
27;65142;13529;3322;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1139;170850;276450,0;0;t
28;51695;29886;9529;45;15;0;1;2;0;3;28799,999999999996;95999,99999999999;0;124799,99999999999;2626;393900;518700,0;0;i
29;71581;13243;5092;0;15;0;1;0;0;1;0;480000;0;480000;1113;166950;646950;0;n
30;64816;21603;7223;15;15;0;1;1;0;2;9599,999999999998;480000;0;489600,0;1873;280950;770550,0;0;g
31;64937;20503;5775;15;15;15;0;1;1;2;9599,999999999998;480000;100000;589600,0;1773;265950;855550,0;0; 
32;65421;13309;2898;15;0;15;1;0;0;1;9599,999999999998;0;100000;109600,0;1119;167850;277450,0;0;E
33;64802;13870;3474;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1170;175500;281100,0;0;p
34;71669;14189;5270;0;15;0;1;0;0;1;0;480000;0;480000;1199;179850;659850;0;s
35;64859;14343;3596;15;15;0;1;0;0;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1213;181950;287550,0;0;i
36;65543;13815;2839;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1165;174750;284350,0;0;l
37;71352;13540;3780;0;0;15;0;0;1;1;0;0;100000;100000;1140;171000;271000;0;o
38;64783;14552;3623;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1232;184800;290400,0;0;n
39;71479;13034;3622;0;0;15;0;0;1;1;0;0;100000;100000;1094;164100;264100;0;:
40;71283;13320;3659;0;0;15;0;0;1;1;0;0;100000;100000;1120;168000;268000;0; 
41;71371;13650;3741;0;0;15;0;0;1;1;0;0;100000;100000;1150;172500;272500;0;0
42;64112;13232;3201;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1112;166800;272400,0;0;,
43;64930;14508;3583;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1228;184200;289800,0;0;2
44;71176;13672;3794;0;0;15;0;0;1;1;0;0;100000;100000;1152;172800;272800;0; 
45;64809;12627;3116;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1057;158550;264150,0;0;-
46;64665;13188;3362;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1108;166200;271800,0;0;-
47;64600;13408;3341;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1128;169200;274800,0;0;-
48;71267;12902;3578;0;0;15;0;0;1;1;0;0;100000;100000;1082;162300;262300;0;-
49;71468;14079;3884;0;0;15;1;0;0;1;0;0;100000;100000;1189;178350;278350;0;-
50;65078;13254;3205;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1114;167100;272700,0;0;-
51;64777;12957;3284;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1087;163050;268650,0;0;-
52;64642;15003;3747;15;15;0;0;0;1;1;9599,999999999998;95999,99999999999;0;105599,99999999999;1273;190950;296550,0;0;-
53;71056;28863;11382;0;15;15;1;1;0;2;0;480000;100000;580000;2533;379950;959950;0;-
54;58720;21515;5960;30;0;15;0;1;1;2;19199,999999999996;0;100000;119200,0;1865;279750;398950,0;0;-
55;65290;13408;2926;15;0;15;1;0;0;1;9599,999999999998;0;100000;109600,0;1128;169200;278800,0;0;-
56;65817;13727;2894;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1157;173550;283150,0;0;-
57;65038;21779;6383;15;0;15;0;0;2;2;9599,999999999998;0;100000;109600,0;1889;283350;392950,0;0;-
58;58369;21922;6354;30;15;0;0;0;2;2;19199,999999999996;95999,99999999999;0;115199,99999999999;1902;285300;400500,0;0;-
59;58811;21097;5764;30;0;15;0;0;2;2;19199,999999999996;0;100000;119200,0;1827;274050;393250,0;0;-
60;65127;13661;2949;15;0;15;1;0;0;1;9599,999999999998;0;100000;109600,0;1151;172650;282250,0;0;-
61;65361;13991;2995;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1181;177150;286750,0;0;-
