Epoch id,t,Attendance,Contagion,Present contagion,New infections,New infections cost,Recovered,Revenues,Total costs
5,1,1193,100,64,0,0,0,0,0
5,2,763,100,0,0,0,0,0,0
5,3,903,100,0,0,0,0,0,0
5,4,924,100,0,0,0,0,0,0
5,5,807,100,0,0,0,0,0,0
5,6,1108,168,68,68,10200,0,0,10200
5,7,666,226,79,58,8700,0,0,8700
5,8,1004,226,108,0,0,0,0,0
5,9,815,226,56,0,0,0,0,0
5,10,975,226,56,0,0,0,0,0
5,11,866,126,0,0,0,100,0,0
5,12,1007,185,59,59,8850,0,0,8850
5,13,918,284,134,99,14850,0,0,14850
5,14,904,359,145,75,11250,0,0,11250
5,15,907,359,143,0,0,0,0,0
5,16,863,359,92,0,0,0,0,0
5,17,906,291,46,0,0,68,0,0
5,18,943,280,47,47,7050,58,0,7050
5,19,935,398,144,118,17700,0,0,17700
5,20,960,551,224,153,22950,0,0,22950
5,21,887,645,224,94,14100,0,0,14100
5,22,837,645,215,0,0,0,0,0
5,23,843,586,127,0,0,59,0,0
5,24,898,487,88,0,0,99,0,0
5,25,946,538,126,126,18900,75,0,18900
5,26,998,920,268,382,57300,0,0,57300
5,27,901,1113,397,193,28950,0,0,28950
5,28,765,1238,336,125,18750,0,0,18750
5,29,791,1191,337,0,0,47,0,0
5,30,739,1073,171,0,0,118,0,0
5,31,878,1010,171,90,13500,153,0,13500
5,32,1065,1064,395,148,22200,94,0,22200
5,33,848,1130,417,66,9900,0,0,9900
5,34,1001,1148,515,18,2700,0,0,2700
5,35,906,1173,442,25,3750,0,0,3750
5,36,901,1047,377,0,0,126,0,0
5,37,1034,716,242,51,7650,382,0,7650
5,38,945,575,223,52,7800,193,0,7800
5,39,957,478,187,28,4200,125,0,4200
5,40,931,495,176,17,2550,0,0,2550
5,41,932,495,185,0,0,0,0,0
5,42,884,405,119,0,0,90,0,0
5,43,1009,257,75,0,0,148,0,0
5,44,916,243,72,52,7800,66,0,7800
5,45,978,283,100,58,8700,18,0,8700
5,46,935,258,90,0,0,25,0,0
5,47,892,258,75,0,0,0,0,0
5,48,905,207,46,0,0,51,0,0
5,49,900,155,22,0,0,52,0,0
5,50,960,127,42,0,0,28,0,0
5,51,949,174,64,64,9600,17,0,9600
5,52,898,174,87,0,0,0,0,0
5,53,923,174,59,0,0,0,0,0
5,54,866,174,54,0,0,0,0,0
5,55,932,122,33,0,0,52,0,0
5,56,935,64,0,0,0,58,0,0
5,57,940,64,40,0,0,0,0,0
5,58,956,64,29,0,0,0,0,0
5,59,875,64,37,0,0,0,0,0
5,60,943,64,40,0,0,0,0,0
5,61,916,64,27,0,0,0,0,0
5,62,945,0,0,0,0,64,0,0
5,63,842,0,0,0,0,0,0,0
5,64,923,0,0,0,0,0,0,0
5,65,960,0,0,0,0,0,0,0
5,66,891,0,0,0,0,0,0,0
5,67,916,0,0,0,0,0,0,0
5,68,943,0,0,0,0,0,0,0
5,69,879,0,0,0,0,0,0,0
5,70,923,0,0,0,0,0,0,0
5,71,883,0,0,0,0,0,0,0
5,72,936,0,0,0,0,0,0,0
5,73,920,0,0,0,0,0,0,0
5,74,829,0,0,0,0,0,0,0
5,75,1017,0,0,0,0,0,0,0
5,76,805,0,0,0,0,0,0,0
5,77,873,0,0,0,0,0,0,0
5,78,952,0,0,0,0,0,0,0
5,79,922,0,0,0,0,0,0,0
5,80,858,0,0,0,0,0,0,0
5,81,946,0,0,0,0,0,0,0
5,82,883,0,0,0,0,0,0,0
5,83,886,0,0,0,0,0,0,0
5,84,921,0,0,0,0,0,0,0
5,85,838,0,0,0,0,0,0,0
5,86,951,0,0,0,0,0,0,0
5,87,880,0,0,0,0,0,0,0
5,88,918,0,0,0,0,0,0,0
5,89,906,0,0,0,0,0,0,0
5,90,887,0,0,0,0,0,0,0
5,91,904,0,0,0,0,0,0,0
5,92,929,0,0,0,0,0,0,0
5,93,913,0,0,0,0,0,0,0
5,94,848,0,0,0,0,0,0,0
5,95,959,0,0,0,0,0,0,0
5,96,914,0,0,0,0,0,0,0
5,97,879,0,0,0,0,0,0,0
5,98,909,0,0,0,0,0,0,0
5,99,879,0,0,0,0,0,0,0
5,100,922,0,0,0,0,0,0,0
