Epoch id,t,Attendance,Contagion,Present contagion,New infections,New infections cost,Recovered,Revenues,Total costs
3,1,1192,100,57,0,0,0,0,0
3,2,774,100,0,0,0,0,0,0
3,3,893,100,0,0,0,0,0,0
3,4,899,100,0,0,0,0,0,0
3,5,823,100,0,0,0,0,0,0
3,6,1136,721,69,621,93150,0,0,93150
3,7,551,941,191,220,33000,0,0,33000
3,8,660,1017,267,76,11400,0,0,11400
3,9,635,1017,142,0,0,0,0,0
3,10,632,1017,62,0,0,0,0,0
3,11,710,917,0,0,0,100,0,0
3,12,1266,1613,501,696,104400,0,0,104400
3,13,880,1703,790,90,13500,0,0,13500
3,14,697,1758,642,55,8250,0,0,8250
3,15,792,1798,752,40,6000,0,0,6000
3,16,785,1798,752,0,0,0,0,0
3,17,801,1177,288,0,0,621,0,0
3,18,1439,1001,701,44,6600,220,0,6600
3,19,500,1049,241,124,18600,76,0,18600
3,20,1065,1441,606,392,58800,0,0,58800
3,21,1046,1690,797,249,37350,0,0,37350
3,22,597,1734,516,44,6600,0,0,6600
3,23,747,1058,167,20,3000,696,0,3000
3,24,784,1052,114,84,12600,90,0,12600
3,25,910,1570,237,573,85950,55,0,85950
3,26,1057,1676,837,146,21900,40,0,21900
3,27,663,1759,557,83,12450,0,0,12450
3,28,785,1840,704,81,12150,0,0,12150
3,29,804,1828,737,32,4800,44,0,4800
3,30,799,1733,636,29,4350,124,0,4350
3,31,1257,1383,794,42,6300,392,0,6300
3,32,706,1208,388,74,11100,249,0,11100
3,33,1060,1430,609,266,39900,44,0,39900
3,34,976,1674,671,264,39600,20,0,39600
3,35,784,1704,617,114,17100,84,0,17100
3,36,807,1208,324,77,11550,573,0,11550
3,37,801,1148,219,86,12900,146,0,12900
3,38,834,1508,235,443,66450,83,0,66450
3,39,937,1619,629,192,28800,81,0,28800
3,40,722,1724,517,137,20550,32,0,20550
3,41,792,1807,642,112,16800,29,0,16800
3,42,781,1835,666,70,10500,42,0,10500
3,43,803,1807,666,46,6900,74,0,6900
3,44,1065,1593,764,52,7800,266,0,7800
3,45,941,1387,576,58,8700,264,0,8700
3,46,942,1426,596,153,22950,114,0,22950
3,47,1029,1579,698,230,34500,77,0,34500
3,48,879,1656,637,163,24450,86,0,24450
3,49,843,1332,425,119,17850,443,0,17850
3,50,858,1248,350,108,16200,192,0,16200
3,51,806,1413,285,302,45300,137,0,45300
3,52,888,1538,473,237,35550,112,0,35550
3,53,797,1645,503,177,26550,70,0,26550
3,54,809,1756,586,157,23550,46,0,23550
3,55,790,1797,630,93,13950,52,0,13950
3,56,760,1798,616,59,8850,58,0,8850
3,57,972,1710,744,65,9750,153,0,9750
3,58,952,1541,646,61,9150,230,0,9150
3,59,904,1489,583,111,16650,163,0,16650
3,60,1058,1553,709,183,27450,119,0,27450
3,61,863,1596,603,151,22650,108,0,22650
3,62,928,1447,555,153,22950,302,0,22950
3,63,860,1332,430,122,18300,237,0,18300
3,64,837,1370,364,215,32250,177,0,32250
3,65,874,1475,392,262,39300,157,0,39300
3,66,840,1569,498,187,28050,93,0,28050
3,67,781,1694,503,184,27600,59,0,27600
3,68,825,1761,611,132,19800,65,0,19800
3,69,784,1791,601,91,13650,61,0,13650
3,70,847,1756,654,76,11400,111,0,11400
3,71,938,1645,668,72,10800,183,0,10800
3,72,919,1585,634,91,13650,151,0,13650
3,73,941,1561,645,129,19350,153,0,19350
3,74,977,1585,684,146,21900,122,0,21900
3,75,919,1527,576,157,23550,215,0,23550
3,76,851,1390,478,125,18750,262,0,18750
3,77,930,1394,449,191,28650,187,0,28650
3,78,869,1438,414,228,34200,184,0,34200
3,79,839,1504,453,198,29700,132,0,29700
3,80,835,1624,477,211,31650,91,0,31650
3,81,803,1704,534,156,23400,76,0,23400
3,82,792,1755,566,123,18450,72,0,18450
3,83,833,1756,625,92,13800,91,0,13800
3,84,882,1702,647,75,11250,129,0,11250
3,85,918,1647,648,91,13650,146,0,13650
3,86,939,1591,662,101,15150,157,0,15150
3,87,936,1602,661,136,20400,125,0,20400
3,88,921,1557,610,146,21900,191,0,21900
3,89,896,1460,552,131,19650,228,0,19650
3,90,901,1409,504,147,22050,198,0,22050
3,91,873,1407,425,209,31350,211,0,31350
3,92,858,1428,450,177,26550,156,0,26550
3,93,828,1526,441,221,33150,123,0,33150
3,94,877,1635,539,201,30150,92,0,30150
3,95,774,1687,545,127,19050,75,0,19050
3,96,807,1725,554,129,19350,91,0,19350
3,97,856,1729,613,105,15750,101,0,15750
3,98,869,1677,618,84,12600,136,0,12600
3,99,926,1633,647,102,15300,146,0,15300
3,100,966,1628,668,126,18900,131,0,18900
