Epoch id,t,Attendance,Contagion,Present contagion,New infections,New infections cost,Recovered,Revenues,Capacity,A1,A1 cost,A2,A2 cost,A3,A3 cost,Random action,Random action on zero,Random on max,Total A costs,Total costs
1,1,1017,100,48,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0
1,2,536,100,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0
1,3,656,100,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0
1,4,715,100,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0
1,5,617,100,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0
1,6,771,358,43,258,38700,0,0,1500,0,0,0,0,0,0,0,0,0,0,38700
1,7,735,478,190,120,18000,0,0,1500,0,0,0,0,0,0,0,0,0,0,18000
1,8,563,522,84,44,6600,0,0,1500,0,0,0,0,0,0,0,0,0,0,6600
1,9,600,522,89,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0
1,10,591,522,44,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0
1,11,627,422,0,0,0,100,0,1500,0,0,0,0,0,0,0,0,0,0,0
1,12,830,1060,155,638,95700,0,0,1500,0,0,0,0,0,0,0,0,0,0,95700
1,13,794,1336,518,276,41400,0,0,1500,0,0,0,0,0,0,0,0,0,0,41400
1,14,461,1500,297,164,24600,0,0,1500,0,0,0,0,0,0,0,0,0,0,24600
1,15,439,1610,329,110,16500,0,0,1500,0,0,0,0,0,0,0,0,0,0,16500
1,16,390,1610,322,0,0,0,0,1500,0,0,0,0,0,0,0,1,0,0,0
1,17,300,1352,82,0,0,258,0,299.99999999999994,1,525.0,0,0,0,0,0,0,0,525.0,525.0
1,18,300,1288,134,56,8400,120,0,299.99999999999994,1,525.0,0,0,0,0,0,0,0,525.0,8925.0
1,19,300,1315,195,71,10650,44,0,299.99999999999994,1,525.0,0,0,0,0,0,0,0,525.0,11175.0
1,20,300,1364,244,49,7350,0,0,299.99999999999994,1,525.0,0,0,0,0,0,0,0,525.0,7875.0
1,21,300,1391,273,27,4050,0,0,299.99999999999994,1,525.0,0,0,0,0,0,0,0,525.0,4575.0
1,22,300,1391,285,0,0,0,0,299.99999999999994,1,525.0,0,0,0,0,0,0,0,525.0,525.0
1,23,300,772,136,19,2850,638,0,299.99999999999994,1,525.0,0,0,0,0,0,0,0,525.0,3375.0
1,24,300,503,97,7,1050,276,0,299.99999999999994,1,525.0,0,0,0,0,0,0,0,525.0,1575.0
1,25,300,460,80,121,18150,164,0,299.99999999999994,1,525.0,0,0,0,0,0,0,0,525.0,18675.0
1,26,300,414,183,64,9600,110,0,299.99999999999994,1,525.0,0,0,0,0,0,0,0,525.0,10125.0
