Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;65328;13331;2836;15;0;15;0;1;0;1;9600,0;0;100000;109600,0;1121;168150;277750,0;0;"
"
2;71624;14167;5347;0;15;0;0;1;0;1;0;408000;0;408000;1197;179550;587550;0;-
3;71754;15388;4213;0;0;15;0;1;0;1;0;0;100000;100000;1308;196200;296200;0;-
4;65007;22428;7278;15;15;0;0;2;0;2;9600,0;408000;0;417600,0;1948;292200;709800,0;0;-
5;71492;14574;3964;0;15;15;0;1;0;1;0;408000;100000;508000;1234;185100;693100;0;-
6;64902;13551;3420;15;15;0;0;1;0;1;9600,0;81600,0;0;91200,0;1141;171150;262350,0;0;-
7;64848;13342;2897;15;15;15;0;1;0;1;9600,0;81600,0;100000;191200,0;1122;168300;359500,0;0;-
8;64099;45275;18175;15;15;0;0;2;1;3;9600,0;81600,0;0;91200,0;4025;603750;694950,0;0;-
9;65293;13496;2774;15;0;15;1;0;0;1;9600,0;0;100000;109600,0;1136;170400;280000,0;0; 
10;64840;14266;2993;15;15;15;1;0;0;1;9600,0;81600,0;100000;191200,0;1206;180900;372100,0;0;E
11;64978;37971;13488;15;0;15;1;2;0;3;9600,0;0;100000;109600,0;3361;504150;613750,0;0;p
12;65159;29325;10182;15;15;15;1;1;0;2;9600,0;81600,0;100000;191200,0;2575;386250;577450,0;0;o
13;64804;15256;3641;15;15;0;1;0;0;1;9600,0;81600,0;0;91200,0;1296;194400;285600,0;0;c
14;64992;22307;7315;15;15;0;1;1;0;2;9600,0;408000;0;417600,0;1937;290550;708150,0;0;h
15;65415;13496;2853;15;0;15;1;0;0;1;9600,0;0;100000;109600,0;1136;170400;280000,0;0;s
16;64785;13419;3307;15;15;0;0;0;1;1;9600,0;81600,0;0;91200,0;1129;169350;260550,0;0;:
17;64916;13408;2790;15;15;15;1;0;0;1;9600,0;81600,0;100000;191200,0;1128;169200;360400,0;0; 
18;71238;13694;3669;0;15;15;1;0;0;1;0;408000;100000;508000;1154;173100;681100;0;2
19;65208;13606;2949;15;0;15;1;0;0;1;9600,0;0;100000;109600,0;1146;171900;281500,0;0;0
20;64867;13342;3411;15;15;0;1;0;0;1;9600,0;81600,0;0;91200,0;1122;168300;259500,0;0;0
21;71562;13738;5224;0;15;0;1;0;0;1;0;408000;0;408000;1158;173700;581700;0;,
22;65311;12715;2583;15;0;15;1;0;0;1;9600,0;0;100000;109600,0;1065;159750;269350,0;0; 
23;64823;14772;3743;15;15;0;0;0;1;1;9600,0;81600,0;0;91200,0;1252;187800;279000,0;0;S
24;64746;14079;3533;15;15;0;0;0;1;1;9600,0;81600,0;0;91200,0;1189;178350;269550,0;0;t
25;65829;11978;2413;15;15;15;0;1;0;1;9600,0;81600,0;100000;191200,0;998;149700;340900,0;0;a
26;64757;13672;3346;15;15;0;0;0;1;1;9600,0;81600,0;0;91200,0;1152;172800;264000,0;0;r
27;64456;13793;3309;15;15;0;0;0;1;1;9600,0;81600,0;0;91200,0;1163;174450;265650,0;0;t
28;71532;13892;3765;0;15;15;1;0;0;1;0;408000;100000;508000;1172;175800;683800;0;i
29;71427;14398;3920;0;15;15;1;0;0;1;0;408000;100000;508000;1218;182700;690700;0;n
30;65459;12792;2765;15;0;15;1;0;0;1;9600,0;0;100000;109600,0;1072;160800;270400,0;0;g
31;64873;14552;3539;15;15;0;0;0;1;1;9600,0;81600,0;0;91200,0;1232;184800;276000,0;0; 
