Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;71290;30029;12918;0;15;0;0;2;0;2;0;480000;0;480000;2639;395850;875850;0;"
"
2;65042;14134;3091;15;0;15;0;1;0;1;9600,0;0;100000;109600,0;1194;179100;288700,0;0;-
3;71548;14266;3826;0;0;15;0;1;0;1;0;0;100000;100000;1206;180900;280900;0;-
4;71726;14321;3887;0;15;15;0;1;0;1;0;480000;100000;580000;1211;181650;761650;0;-
5;64612;14222;3565;15;15;0;0;1;0;1;9600,0;96000,0;0;105600,0;1202;180300;285900,0;0;-
6;71139;13364;5097;0;15;0;0;1;0;1;0;480000;0;480000;1124;168600;648600;0;-
7;64759;20745;6740;15;15;0;0;2;0;2;9600,0;480000;0;489600,0;1795;269250;758850,0;0;-
8;65445;12913;2647;15;15;15;0;1;0;1;9600,0;96000,0;100000;205600,0;1083;162450;368050,0;0;-
9;71176;31030;11916;0;0;15;1;1;0;2;0;0;100000;100000;2730;409500;509500;0; 
10;65050;14783;3147;15;0;15;1;0;0;1;9600,0;0;100000;109600,0;1253;187950;297550,0;0;E
11;71626;13727;3797;0;0;15;1;0;0;1;0;0;100000;100000;1157;173550;273550;0;p
12;70943;12099;3226;0;0;15;0;0;1;1;0;0;100000;100000;1009;151350;251350;0;o
13;71139;14431;5342;0;15;0;1;0;0;1;0;480000;0;480000;1221;183150;663150;0;c
14;71236;29600;11485;0;0;15;1;1;0;2;0;0;100000;100000;2600;390000;490000;0;h
15;64601;13771;3503;15;15;0;1;0;0;1;9600,0;96000,0;0;105600,0;1161;174150;279750,0;0;s
16;64746;20492;5887;15;15;15;1;1;0;2;9600,0;480000;100000;589600,0;1772;265800;855400,0;0;:
17;71192;12770;3517;0;0;15;0;0;1;1;0;0;100000;100000;1070;160500;260500;0; 
18;65398;14398;3085;15;0;15;1;0;0;1;9600,0;0;100000;109600,0;1218;182700;292300,0;0;2
19;71209;13540;3755;0;15;15;1;0;0;1;0;480000;100000;580000;1140;171000;751000;0;0
20;58920;21449;5867;30;0;15;1;1;0;2;19200,0;0;100000;119200,0;1859;278850;398050,0;0;0
21;72023;14376;5361;0;15;0;1;0;0;1;0;480000;0;480000;1216;182400;662400;0;,
22;64829;12990;3260;15;15;0;1;0;0;1;9600,0;96000,0;0;105600,0;1090;163500;269100,0;0; 
23;71259;13672;3719;0;0;15;0;0;1;1;0;0;100000;100000;1152;172800;272800;0;S
24;71429;13793;3799;0;0;15;0;0;1;1;0;0;100000;100000;1163;174450;274450;0;t
25;64880;14376;3483;15;15;0;1;0;0;1;9600,0;96000,0;0;105600,0;1216;182400;288000,0;0;a
26;71397;13375;3608;0;0;15;0;0;1;1;0;0;100000;100000;1125;168750;268750;0;r
27;71466;13837;3749;0;0;15;1;0;0;1;0;0;100000;100000;1167;175050;275050;0;t
28;58510;29248;9125;30;0;15;1;2;0;3;19200,0;0;100000;119200,0;2568;385200;504400,0;0;i
29;71739;14486;4040;0;0;15;0;0;1;1;0;0;100000;100000;1226;183900;283900;0;n
30;58472;19865;6113;30;15;0;1;1;0;2;19200,0;96000,0;0;115200,0;1715;257250;372450,0;0;g
31;71411;12869;3485;0;0;15;0;0;1;1;0;0;100000;100000;1079;161850;261850;0; 
32;71263;13804;3928;0;0;15;0;0;1;1;0;0;100000;100000;1164;174600;274600;0;E
33;71479;14255;4025;0;0;15;0;0;1;1;0;0;100000;100000;1205;180750;280750;0;p
34;64963;14596;3116;15;0;15;1;0;0;1;9600,0;0;100000;109600,0;1236;185400;295000,0;0;s
35;71495;13705;3817;0;0;15;0;0;1;1;0;0;100000;100000;1155;173250;273250;0;i
36;71528;13881;3851;0;0;15;0;0;1;1;0;0;100000;100000;1171;175650;275650;0;l
37;71415;12858;3553;0;0;15;0;0;1;1;0;0;100000;100000;1078;161700;261700;0;o
38;71476;13914;3845;0;0;15;0;0;1;1;0;0;100000;100000;1174;176100;276100;0;n
39;71489;13463;3774;0;0;15;0;0;1;1;0;0;100000;100000;1133;169950;269950;0;:
40;71344;12880;3545;0;0;15;0;0;1;1;0;0;100000;100000;1080;162000;262000;0; 
41;64688;13375;3335;15;15;0;1;0;0;1;9600,0;96000,0;0;105600,0;1125;168750;274350,0;0;0
42;71034;13441;3653;0;0;15;0;0;1;1;0;0;100000;100000;1131;169650;269650;0;,
43;71010;12528;4781;0;15;0;1;0;0;1;0;480000;0;480000;1048;157200;637200;0;2
44;71744;14574;3917;0;0;15;0;0;1;1;0;0;100000;100000;1234;185100;285100;0; 
45;70986;13804;3783;0;0;15;0;0;1;1;0;0;100000;100000;1164;174600;274600;0;-
46;71557;13980;3873;0;0;15;0;0;1;1;0;0;100000;100000;1180;177000;277000;0;-
47;71470;13980;3923;0;0;15;0;0;1;1;0;0;100000;100000;1180;177000;277000;0;-
48;71641;14057;3700;0;0;15;0;0;1;1;0;0;100000;100000;1187;178050;278050;0;-
49;64468;14013;3467;15;15;0;1;0;0;1;9600,0;96000,0;0;105600,0;1183;177450;283050,0;0;-
50;71516;14640;4032;0;0;15;0;0;1;1;0;0;100000;100000;1240;186000;286000;0;-
51;71691;14596;3958;0;0;15;0;0;1;1;0;0;100000;100000;1236;185400;285400;0;-
52;71325;13331;3710;0;0;15;0;0;1;1;0;0;100000;100000;1121;168150;268150;0;-
53;71433;13991;3751;0;0;15;0;0;1;1;0;0;100000;100000;1181;177150;277150;0;-
54;71824;13749;3775;0;0;15;0;0;1;1;0;0;100000;100000;1159;173850;273850;0;-
55;71107;13837;3784;0;0;15;0;0;1;1;0;0;100000;100000;1167;175050;275050;0;-
56;71483;13969;3913;0;0;15;0;0;1;1;0;0;100000;100000;1179;176850;276850;0;-
57;71519;14211;3873;0;0;15;0;0;1;1;0;0;100000;100000;1201;180150;280150;0;-
58;70911;14046;3820;0;0;15;0;0;1;1;0;0;100000;100000;1186;177900;277900;0;-
59;71491;14959;4168;0;0;15;0;0;1;1;0;0;100000;100000;1269;190350;290350;0;-
60;64566;13782;3432;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1162;174300;279900,0;0;-
61;64805;13925;3433;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1175;176250;281850,0;0;-
62;64686;13463;3292;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1133;169950;275550,0;0;-
63;64693;12539;3114;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1049;157350;262950,0;0;-
64;64309;12451;3053;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1041;156150;261750,0;0;-
65;64277;13980;3432;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1180;177000;282600,0;0;-
66;64421;14915;3595;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1265;189750;295350,0;0;-
67;64951;13507;3328;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1137;170550;276150,0;0;-
68;64637;13958;3523;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1178;176700;282300,0;0;-
69;64754;13705;3402;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1155;173250;278850,0;0;-
70;64812;14046;3579;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1186;177900;283500,0;0;-
71;64595;14794;3662;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1254;188100;293700,0;0;-
72;64443;13793;3384;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1163;174450;280050,0;0;-
73;64734;13155;3199;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1105;165750;271350,0;0;-
74;64815;12473;3199;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1043;156450;262050,0;0;-
75;65139;12297;3064;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1027;154050;259650,0;0;-
76;64821;13650;3423;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1150;172500;278100,0;0;-
77;64615;14475;3637;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1225;183750;289350,0;0;-
78;64084;14222;3437;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1202;180300;285900,0;0;-
79;65232;12891;3199;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1081;162150;267750,0;0;-
80;64662;13133;3324;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1103;165450;271050,0;0;-
81;64640;14354;3484;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1214;182100;287700,0;0;-
82;64660;13837;3409;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1167;175050;280650,0;0;-
83;64631;13837;3399;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1167;175050;280650,0;0;-
84;64781;13870;3485;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1170;175500;281100,0;0;-
85;64481;14321;3564;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1211;181650;287250,0;0;-
86;64510;14376;3578;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1216;182400;288000,0;0;-
87;64438;14134;3535;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1194;179100;284700,0;0;-
88;64665;14970;3698;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1270;190500;296100,0;0;-
89;64725;14288;3455;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1208;181200;286800,0;0;-
90;64225;13738;3474;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1158;173700;279300,0;0;-
91;64776;13793;3417;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1163;174450;280050,0;0;-
92;64647;12242;3001;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1022;153300;258900,0;0;-
93;64635;13254;3280;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1114;167100;272700,0;0;-
94;64716;13419;3382;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1129;169350;274950,0;0;-
95;64707;13969;3441;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1179;176850;282450,0;0;-
96;64802;13485;3352;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1135;170250;275850,0;0;-
97;64839;14057;3398;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1187;178050;283650,0;0;-
98;64661;14156;3481;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1196;179400;285000,0;0;-
99;64889;13397;3335;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1127;169050;274650,0;0;-
100;64754;14398;3595;15;15;0;0;0;1;1;9600,0;96000,0;0;105600,0;1218;182700;288300,0;0;-
