Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64771;21317;7024;15;15;0;0;2;0;2;9599,999999999998;456000;0;465600,0;1847;277050;742650,0;0;"
"
2;65078;29138;10137;15;0;15;0;2;0;2;9599,999999999998;0;100000;109600,0;2558;383700;493300,0;0;-
3;71658;13210;5062;0;15;0;0;1;0;1;0;456000;0;456000;1110;166500;622500;0;-
4;71510;13210;3652;0;0;15;0;1;0;1;0;0;100000;100000;1110;166500;266500;0;-
5;64994;13210;3302;15;15;0;0;1;0;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;-
6;65112;13210;2860;15;0;15;0;1;0;1;9599,999999999998;0;100000;109600,0;1110;166500;276100,0;0;-
7;71510;13210;3652;0;15;15;0;1;0;1;0;456000;100000;556000;1110;166500;722500;0;-
8;65112;13210;2860;15;15;15;0;1;0;1;9599,999999999998;91199,99999999999;100000;200800,0;1110;166500;367300,0;0;-
9;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0; 
10;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;E
11;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;p
12;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;o
13;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;c
14;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;h
15;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;s
16;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;:
17;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0; 
18;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;2
19;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;0
20;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;0
21;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;,
22;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0; 
23;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;S
24;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;t
25;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;a
26;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;r
27;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;t
28;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;i
29;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;n
30;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;g
31;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0; 
32;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;E
33;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;p
34;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;s
35;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;i
36;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;l
37;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;o
38;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;n
39;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;:
40;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0; 
41;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;0
42;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;,
43;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0;2
44;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;91199,99999999999;0;100799,99999999999;1110;166500;267300,0;0; 
