Epoch;Attendance;Contagion;Present contagion;A1;A2;A3;Action on random;Action on random zero;Action on max;Actions;A1 cost;A2 cost;A3 cost;Action cost;New infections;New infected cost;Total cost;Total revenues;Epoch txt
1;64771;21317;7024;15;15;0;0;2;0;2;9599,999999999998;528000;0;537600,0;1847;277050;814650,0;0;"
"
2;65078;29138;10137;15;0;15;0;2;0;2;9599,999999999998;0;100000;109600,0;2558;383700;493300,0;0;-
3;71658;13210;5062;0;15;0;0;1;0;1;0;528000;0;528000;1110;166500;694500;0;-
4;71510;13210;3652;0;0;15;0;1;0;1;0;0;100000;100000;1110;166500;266500;0;-
5;64994;13210;3302;15;15;0;0;1;0;1;9599,999999999998;105599,99999999999;0;115199,99999999999;1110;166500;281700,0;0;-
6;65112;13210;2860;15;0;15;0;1;0;1;9599,999999999998;0;100000;109600,0;1110;166500;276100,0;0;-
7;71510;13210;3652;0;15;15;0;1;0;1;0;528000;100000;628000;1110;166500;794500;0;-
8;65112;13210;2860;15;15;15;0;1;0;1;9599,999999999998;105599,99999999999;100000;215200,0;1110;166500;381700,0;0;-
9;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0; 
10;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;105599,99999999999;0;115199,99999999999;1110;166500;281700,0;0;E
11;65112;13210;2860;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1110;166500;276100,0;0;p
12;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;o
13;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;105599,99999999999;0;115199,99999999999;1110;166500;281700,0;0;c
14;65112;13210;2860;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1110;166500;276100,0;0;h
15;65112;13210;2860;15;15;15;0;0;1;1;9599,999999999998;105599,99999999999;100000;215200,0;1110;166500;381700,0;0;s
16;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;:
17;58322;29204;9185;30;15;15;0;2;1;3;19199,999999999996;528000;100000;647200,0;2564;384600;1031800,0;0; 
18;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;105599,99999999999;0;115199,99999999999;1110;166500;281700,0;0;2
19;65112;13210;2860;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1110;166500;276100,0;0;0
20;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;0
21;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;105599,99999999999;0;115199,99999999999;1110;166500;281700,0;0;,
22;65112;13210;2860;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1110;166500;276100,0;0; 
23;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;S
24;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;t
25;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;105599,99999999999;0;115199,99999999999;1110;166500;281700,0;0;a
26;65112;13210;2860;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1110;166500;276100,0;0;r
27;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;t
28;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;i
29;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;105599,99999999999;0;115199,99999999999;1110;166500;281700,0;0;n
30;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;g
31;65112;13210;2860;15;0;15;0;0;1;1;9599,999999999998;0;100000;109600,0;1110;166500;276100,0;0; 
32;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;E
33;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;p
34;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;s
35;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;i
36;64994;13210;3302;15;15;0;0;0;1;1;9599,999999999998;105599,99999999999;0;115199,99999999999;1110;166500;281700,0;0;l
37;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;o
38;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;n
39;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;:
40;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0; 
41;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;0
42;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;,
43;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;2
44;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0; 
45;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
46;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
47;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
48;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
49;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
50;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
51;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
52;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
53;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
54;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
55;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
56;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
57;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
58;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
59;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
60;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
61;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
62;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
63;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
64;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
65;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
66;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
67;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
68;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
69;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
70;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
71;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
72;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
73;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
74;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
75;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
76;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
77;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
78;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
79;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
80;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
81;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
82;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
83;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
84;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
85;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
86;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
87;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
88;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
89;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
90;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
91;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
92;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
93;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
94;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
95;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
96;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
97;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
98;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
99;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
100;71510;13210;3652;0;0;15;0;0;1;1;0;0;100000;100000;1110;166500;266500;0;-
