,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
0,71314620,6,0,200,2000,2000,0.04,0.13,1,8,0.54,0.46,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
1,26069578,6,1,200,2000,2000,0.06,0.91,9,1,0.82,0.28,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2,59456909,6,2,200,2000,2000,0.36,0.63,1,3,0.01,0.45,50,623.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
3,87333117,6,3,200,2000,2000,0.44,0.02,6,10,0.7,0.85,50,365.91,153.91,153.2,0.9496841580230766,118.7617863624491,118.8767428894315,3,0.5239572014635767,17,0.8292640110858188
4,11724956,6,4,200,2000,2000,0.11,0.85,3,10,1.0,0.7,50,219.71,0.0,0.0,13.860227270863925,0.0,0.0,7,0.18388770464623938,0,0.0
5,27221832,6,5,200,2000,2000,0.35,0.98,9,5,0.37,0.56,50,350.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
6,18607720,6,6,200,2000,2000,0.02,0.5,6,7,0.4,0.77,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
7,85069258,6,7,200,2000,2000,0.41,0.25,9,7,0.63,0.64,50,308.01,184.13,184.04,0.09949874371066196,108.28117611108588,108.35348817643113,30,-0.0030303030303067023,17,0.8270788919441284
8,25869549,6,8,200,2000,2000,0.91,0.22,7,8,0.25,0.63,50,1827.33,0.0,0.0,23.47767237185152,0.0,0.0,2,0.3903983899886991,0,0.0
9,65125756,6,9,200,2000,2000,0.53,0.45,5,3,1.0,0.42,50,1063.09,0.0,0.0,20.337204822688886,0.0,0.0,11,0.21446397852621082,0,0.0
10,2712998,6,10,200,2000,2000,0.5,0.3,4,1,0.72,0.46,50,704.67,663.22,590.8,10.822250228117996,38.29479860242118,38.687465670420956,4,0.5646193896744482,6,0.9006102019268301
11,13635558,6,11,200,2000,2000,0.51,0.29,5,9,0.29,0.01,50,1020.36,0.0,0.0,9.42180449807785,0.0,0.0,46,0.19233870749709364,0,0.0
12,8429846,6,12,200,2000,2000,0.3,0.76,5,1,0.32,0.1,50,225.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
13,8413671,6,13,200,2000,2000,0.23,0.17,9,4,0.65,0.98,50,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
14,80192804,6,14,200,2000,2000,0.67,0.27,5,1,0.78,0.31,50,1234.09,0.0,0.0,18.263677066790244,0.0,0.0,41,0.18221799012417197,0,0.0
15,34144761,6,15,200,2000,2000,0.6,0.31,4,7,0.11,0.93,50,1246.79,711.26,586.4,27.906019063994062,24.994647426999247,24.165678140701946,2,0.27620077100887463,12,0.6178496393015631
16,7873999,6,16,200,2000,2000,0.2,0.66,7,3,0.61,0.89,50,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
17,44704475,6,17,200,2000,2000,0.91,0.43,7,6,0.91,0.41,50,1810.81,0.0,0.0,12.255362091753959,0.0,0.0,36,0.16529835099827647,0,0.0
18,23900768,6,18,200,2000,2000,0.7,0.86,9,4,0.63,0.22,50,1352.21,0.0,0.0,18.835761200439975,0.0,0.0,7,0.25584926853068296,0,0.0
19,42529207,6,19,200,2000,2000,0.16,0.61,5,9,0.44,0.36,50,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
20,30380008,6,20,200,2000,2000,0.21,0.07,9,3,0.83,0.8,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
21,64926428,6,21,200,2000,2000,0.37,0.79,3,10,0.75,0.63,50,87.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
22,14772097,6,22,200,2000,2000,0.66,0.38,2,7,0.36,0.02,50,1322.24,0.0,0.0,21.752296430492116,0.0,0.0,5,0.21177659087028045,0,0.0
23,99080692,6,23,200,2000,2000,0.26,0.98,1,2,0.96,0.14,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
24,95911259,6,24,200,2000,2000,0.37,0.22,2,5,0.42,0.41,50,376.0,12.0,12.0,0.0,0.0,0.0,0,0.0,0,0.0
25,626482,6,25,200,2000,2000,1.0,0.84,6,6,0.01,0.46,50,2000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
26,46727316,6,26,200,2000,2000,0.05,0.19,3,3,0.91,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
27,97071738,6,27,200,2000,2000,0.21,0.98,9,2,0.06,0.06,50,161.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
28,37206260,6,28,200,2000,2000,0.8,0.38,4,6,0.7,0.37,50,1572.18,0.0,0.0,20.327508455292794,0.0,0.0,15,0.23166016307541298,0,0.0
29,59189755,6,29,200,2000,2000,0.34,0.42,4,10,0.64,0.56,50,125.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
30,75238323,6,30,200,2000,2000,0.37,0.72,4,10,0.81,0.63,50,49.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
31,35251907,6,31,200,2000,2000,0.73,0.2,8,6,0.01,0.88,50,1557.86,1148.31,933.5,212.52270561048292,408.6094882647734,347.10265052286763,11,0.30495385505477496,15,0.8315320329554906
32,77546648,6,32,200,2000,2000,0.62,0.52,5,9,0.4,0.13,50,1238.71,0.0,0.0,14.935390855280621,0.0,0.0,29,0.15393437992987719,0,0.0
33,1913832,6,33,200,2000,2000,0.68,0.63,8,8,0.8,0.27,50,1255.97,0.0,0.0,18.566881806054564,0.0,0.0,6,0.25899161399487297,0,0.0
34,19791132,6,34,200,2000,2000,0.37,0.48,3,1,0.43,0.53,50,361.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
35,27921835,6,35,200,2000,2000,0.73,0.78,6,10,0.56,0.7,50,1435.49,0.0,0.0,18.38069367570223,0.0,0.0,12,0.16123724766530934,0,0.0
36,21781665,6,36,200,2000,2000,0.17,0.84,1,8,0.25,0.61,50,63.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
37,7925764,6,37,200,2000,2000,0.56,0.81,5,8,0.01,0.89,50,1180.54,0.0,0.0,153.48787704571328,0.0,0.0,3,0.3242337518840947,0,0.0
38,26024111,6,38,200,2000,2000,0.9,0.1,8,3,0.94,0.45,50,1801.76,1478.62,1293.62,255.5213149621769,624.7652964113804,609.0541154938534,12,0.8800241652380708,12,0.8822980152523394
39,48565128,6,39,200,2000,2000,0.33,0.06,8,4,0.21,0.27,50,292.68,297.1,165.78,111.30066307080116,108.6985280489115,100.88989840415145,13,0.8731039134707415,13,0.8668242044049405
40,14050575,6,40,200,2000,2000,0.05,0.58,1,4,0.59,0.78,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
41,98480000,6,41,200,2000,2000,0.44,0.26,1,6,0.03,0.75,50,879.55,0.0,0.0,1.5771810295587503,0.0,0.0,2,0.5752562814070339,0,0.0
42,51581220,6,42,200,2000,2000,0.41,0.48,5,7,0.31,0.25,50,719.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
43,8444323,6,43,200,2000,2000,0.75,0.62,9,3,0.41,0.03,50,1499.6,0.0,0.0,21.40840956259946,0.0,0.0,22,0.20137633094780952,0,0.0
44,23671270,6,44,200,2000,2000,0.09,0.84,9,6,0.08,0.09,50,28.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
45,98694822,6,45,200,2000,2000,0.16,0.62,1,5,0.9,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
46,12638694,6,46,200,2000,2000,0.02,0.56,1,5,0.47,0.78,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
47,26484068,6,47,200,2000,2000,0.46,0.48,1,9,0.72,0.34,50,463.28,0.0,0.0,3.3349062955351534,0.0,0.0,2,0.7505423680046037,0,0.0
48,81199856,6,48,200,2000,2000,0.2,0.74,6,10,0.69,0.11,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
49,30795852,6,49,200,2000,2000,0.26,0.28,8,2,0.72,0.11,50,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
50,92496511,6,50,200,2000,2000,0.06,0.69,6,5,0.34,0.54,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
51,28114364,6,51,200,2000,2000,0.21,0.32,7,2,0.26,0.99,50,82.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
52,4222502,6,52,200,2000,2000,0.56,0.27,8,9,0.48,0.54,50,1082.78,757.81,541.73,12.405305316678021,315.36768049373734,315.60579383148206,2,0.33900116705525185,18,0.8197197526633228
53,41252680,6,53,200,2000,2000,0.5,0.35,5,8,0.99,0.47,50,727.82,0.0,0.0,43.4958342832966,0.0,0.0,4,0.6561251862954227,0,0.0
54,74944849,6,54,200,2000,2000,0.63,0.72,9,7,0.26,0.54,50,1284.71,0.0,0.0,23.439409122245383,0.0,0.0,4,0.17154008721056688,0,0.0
55,57639689,6,55,200,2000,2000,0.66,0.93,4,2,0.7,0.95,50,1235.88,0.0,0.0,18.539298800116473,0.0,0.0,12,0.17320134440637544,0,0.0
56,99633651,6,56,200,2000,2000,0.14,0.91,9,6,0.79,0.48,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
57,40803287,6,57,200,2000,2000,0.5,0.93,4,1,0.36,0.71,50,990.61,0.0,0.0,6.251231878598009,0.0,0.0,2,0.3866803999191357,0,0.0
58,19470841,6,58,200,2000,2000,0.38,0.04,7,7,0.7,0.15,50,153.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
59,50142082,6,59,200,2000,2000,0.5,0.09,9,5,0.59,0.35,50,903.44,806.36,534.31,132.6765480407144,176.20576154030832,175.44410477414166,15,0.8425556447369872,15,0.8536077500294508
60,97977989,6,60,200,2000,2000,0.13,0.23,9,6,0.38,0.6,50,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
61,67726020,6,61,200,2000,2000,0.96,0.76,9,7,0.17,0.34,50,1923.96,0.0,0.0,18.214785203235312,0.0,0.0,2,0.4327007665357359,0,0.0
62,77484158,6,62,200,2000,2000,0.13,0.86,9,8,0.24,0.59,50,16.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
63,96508221,6,63,200,2000,2000,0.14,0.6,8,2,0.8,0.73,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
64,7446569,6,64,200,2000,2000,0.57,0.19,6,8,0.08,0.14,50,1180.0,0.0,0.0,30.32391795266568,0.0,0.0,2,0.3275115818778956,0,0.0
65,69615378,6,65,200,2000,2000,0.39,0.84,6,2,0.9,0.18,50,17.91,0.0,0.0,0.42649736224272233,0.0,0.0,7,0.21733369983507422,0,0.0
66,96973822,6,66,200,2000,2000,0.17,0.48,6,4,0.83,0.4,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
67,47810885,6,67,200,2000,2000,0.05,0.96,9,5,0.44,0.82,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
68,82213899,6,68,200,2000,2000,0.14,0.37,2,6,0.33,0.34,50,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
69,6601502,6,69,200,2000,2000,0.88,0.51,2,10,0.97,0.05,50,1744.26,0.0,0.0,15.62025607984709,0.0,0.0,20,0.13865874510845425,0,0.0
70,26084372,6,70,200,2000,2000,0.19,0.22,1,10,0.98,0.26,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
71,18222624,6,71,200,2000,2000,0.91,0.65,1,9,0.06,0.99,50,1857.29,0.0,0.0,83.4491815418222,0.0,0.0,2,0.8047247995513462,0,0.0
72,88299576,6,72,200,2000,2000,0.94,0.95,9,3,0.36,1.0,50,1880.56,0.0,0.0,18.059523803245753,0.0,0.0,2,0.2894139809606973,0,0.0
73,94737924,6,73,200,2000,2000,0.03,0.84,3,9,0.12,0.08,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
74,79059815,6,74,200,2000,2000,0.91,0.34,2,5,0.98,0.94,50,1811.21,0.0,0.0,12.029376542448075,0.0,0.0,50,0.14455492139574133,0,0.0
75,71427576,6,75,200,2000,2000,0.95,0.53,3,9,0.3,0.94,50,1900.79,0.0,0.0,16.327458467256932,0.0,0.0,24,0.22992219768562405,0,0.0
76,7383472,6,76,200,2000,2000,0.13,0.65,6,10,0.99,0.59,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
77,13390234,6,77,200,2000,2000,0.91,0.29,6,5,0.4,0.72,50,1820.11,0.0,0.0,18.957265098109485,0.0,0.0,15,0.2881044855568471,0,0.0
